name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1999 Malaysian Grand Prix 🇲🇾,1:36:38.494,15,56,Ferrari 🇮🇹,1999-10-17T00:00:00.000Z,Sepang International Circuit,Eddie Irvine 🇬🇧,1999
2000 Malaysian Grand Prix 🇲🇾,1:35:54.235,17,56,Ferrari 🇮🇹,2000-10-22T00:00:00.000Z,Sepang International Circuit,Michael Schumacher 🇩🇪,2000
2001 Malaysian Grand Prix 🇲🇾,1:47:34.801,2,55,Ferrari 🇮🇹,2001-03-18T00:00:00.000Z,Sepang International Circuit,Michael Schumacher 🇩🇪,2001
2002 Malaysian Grand Prix 🇲🇾,1:34:12.912,2,56,Williams 🇬🇧,2002-03-17T00:00:00.000Z,Sepang International Circuit,Ralf Schumacher 🇩🇪,2002
2003 Malaysian Grand Prix 🇲🇾,1:32:22.195,2,56,McLaren 🇬🇧,2003-03-23T00:00:00.000Z,Sepang International Circuit,Kimi Räikkönen 🇫🇮,2003
2004 Malaysian Grand Prix 🇲🇾,1:31:07.490,2,56,Ferrari 🇮🇹,2004-03-21T00:00:00.000Z,Sepang International Circuit,Michael Schumacher 🇩🇪,2004
2005 Malaysian Grand Prix 🇲🇾,1:31:33.736,2,56,Renault 🇫🇷,2005-03-20T00:00:00.000Z,Sepang International Circuit,Fernando Alonso 🇪🇸,2005
2006 Malaysian Grand Prix 🇲🇾,1:30:40.529,2,56,Renault 🇫🇷,2006-03-19T00:00:00.000Z,Sepang International Circuit,Giancarlo Fisichella 🇮🇹,2006
2007 Malaysian Grand Prix 🇲🇾,1:32:14.930,2,56,McLaren 🇬🇧,2007-04-08T00:00:00.000Z,Sepang International Circuit,Fernando Alonso 🇪🇸,2007
2008 Malaysian Grand Prix 🇲🇾,1:31:18.555,2,56,Ferrari 🇮🇹,2008-03-23T00:00:00.000Z,Sepang International Circuit,Kimi Räikkönen 🇫🇮,2008
2009 Malaysian Grand Prix 🇲🇾,1:10:52.092,2,31,Brawn 🇬🇧,2009-04-05T00:00:00.000Z,Sepang International Circuit,Jenson Button 🇬🇧,2009
2010 Malaysian Grand Prix 🇲🇾,1:33:48.412,3,56,Red Bull 🇦🇹,2010-04-04T00:00:00.000Z,Sepang International Circuit,Sebastian Vettel 🇩🇪,2010
2011 Malaysian Grand Prix 🇲🇾,1:37:39.832,2,56,Red Bull 🇦🇹,2011-04-10T00:00:00.000Z,Sepang International Circuit,Sebastian Vettel 🇩🇪,2011
2012 Malaysian Grand Prix 🇲🇾,2:44:51.812,2,56,Ferrari 🇮🇹,2012-03-25T00:00:00.000Z,Sepang International Circuit,Fernando Alonso 🇪🇸,2012
2013 Malaysian Grand Prix 🇲🇾,1:38:56.681,2,56,Red Bull 🇦🇹,2013-03-24T00:00:00.000Z,Sepang International Circuit,Sebastian Vettel 🇩🇪,2013
2014 Malaysian Grand Prix 🇲🇾,1:40:25.974,2,56,Mercedes 🇩🇪,2014-03-30T00:00:00.000Z,Sepang International Circuit,Lewis Hamilton 🇬🇧,2014
2015 Malaysian Grand Prix 🇲🇾,1:41:05.793,2,56,Ferrari 🇮🇹,2015-03-29T00:00:00.000Z,Sepang International Circuit,Sebastian Vettel 🇩🇪,2015
2016 Malaysian Grand Prix 🇲🇾,1:37:12.776,16,56,Red Bull 🇦🇹,2016-10-02T00:00:00.000Z,Sepang International Circuit,Daniel Ricciardo 🇦🇺,2016
2017 Malaysian Grand Prix 🇲🇾,,15,,,2017-10-01T00:00:00.000Z,Sepang International Circuit,,2017
