position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,amon,0.0,6,gb,9,4.0,16191A,EB212E,Chris Amon 🇳🇿,🇬🇧,UK
,hulme,0.0,6,gb,7,11.0,444444,AAAAAA,Denny Hulme 🇳🇿,🇬🇧,UK
,miles,0.0,11,mx,21,0.0,444444,025839,John Miles 🇬🇧,🇲🇽,Mexico
,siffert,0.0,11,mx,9,15.0,444444,025839,Jo Siffert 🇨🇭,🇲🇽,Mexico
,eaton,0.0,11,mx,24,0.0,444444,144D44,George Eaton 🇨🇦,🇲🇽,Mexico
,rindt,0.0,11,mx,4,22.0,444444,025839,Jochen Rindt 🇦🇹,🇲🇽,Mexico
,surtees,0.0,11,mx,11,6.0,444444,144D44,John Surtees 🇬🇧,🇲🇽,Mexico
,mclaren,0.0,10,us,3,26.0,444444,AAAAAA,Bruce McLaren 🇳🇿,🇺🇸,USA
,klerk,0.0,1,za,9,0.0,444444,243F73,Peter de Klerk 🇿🇦,🇿🇦,South Africa
,rindt,0.0,1,za,10,0.0,444444,025839,Jochen Rindt 🇦🇹,🇿🇦,South Africa
,surtees,0.0,1,za,11,0.0,444444,144D44,John Surtees 🇬🇧,🇿🇦,South Africa
,rodriguez,0.0,1,za,12,0.0,444444,144D44,Pedro Rodríguez 🇲🇽,🇿🇦,South Africa
,amon,0.0,1,za,13,0.0,16191A,EB212E,Chris Amon 🇳🇿,🇿🇦,South Africa
,mario_andretti,0.0,1,za,15,0.0,444444,025839,Mario Andretti 🇺🇸,🇿🇦,South Africa
,love,0.0,1,za,16,0.0,444444,025839,John Love 🇿🇼,🇿🇦,South Africa
,ickx,0.0,1,za,17,0.0,444444,07316F,Jacky Ickx 🇧🇪,🇿🇦,South Africa
,rooyen,0.0,1,za,18,0.0,444444,AAAAAA,Basil van Rooyen 🇿🇦,🇿🇦,South Africa
,mario_andretti,0.0,10,us,26,0.0,444444,025839,Mario Andretti 🇺🇸,🇺🇸,USA
,siffert,0.0,10,us,8,15.0,444444,025839,Jo Siffert 🇨🇭,🇺🇸,USA
,oliver,0.0,10,us,18,0.0,444444,144D44,Jackie Oliver 🇬🇧,🇺🇸,USA
,lovely,0.0,10,us,19,0.0,444444,025839,Pete Lovely 🇺🇸,🇺🇸,USA
,stewart,0.0,10,us,1,60.0,444444,3FB2B3,Jackie Stewart 🇬🇧,🇺🇸,USA
,hulme,0.0,10,us,9,11.0,444444,AAAAAA,Denny Hulme 🇳🇿,🇺🇸,USA
,rodriguez,0.0,2,es,11,0.0,444444,144D44,Pedro Rodríguez 🇲🇽,🇪🇸,Spain
,amon,0.0,2,es,12,0.0,16191A,EB212E,Chris Amon 🇳🇿,🇪🇸,Spain
,jack_brabham,0.0,2,es,13,0.0,444444,07316F,Jack Brabham 🇦🇺,🇪🇸,Spain
,siffert,0.0,2,es,6,3.0,444444,025839,Jo Siffert 🇨🇭,🇪🇸,Spain
,rindt,0.0,2,es,15,0.0,444444,025839,Jochen Rindt 🇦🇹,🇪🇸,Spain
,courage,0.0,2,es,16,0.0,444444,07316F,Piers Courage 🇬🇧,🇪🇸,Spain
,hill,0.0,2,es,4,6.0,444444,025839,Graham Hill 🇬🇧,🇪🇸,Spain
,oliver,0.0,2,es,9,0.0,444444,144D44,Jackie Oliver 🇬🇧,🇪🇸,Spain
,beltoise,0.0,10,us,6,19.0,444444,3FB2B3,Jean-Pierre Beltoise 🇫🇷,🇺🇸,USA
,eaton,0.0,10,us,25,0.0,444444,144D44,George Eaton 🇨🇦,🇺🇸,USA
,ickx,0.0,10,us,2,31.0,444444,07316F,Jacky Ickx 🇧🇪,🇺🇸,USA
,hill,0.0,10,us,5,19.0,444444,025839,Graham Hill 🇬🇧,🇺🇸,USA
,gavin,0.0,10,us,17,1.0,444444,3FB2B3,Johnny Servoz-Gavin 🇫🇷,🇺🇸,USA
,moser,0.0,9,ca,18,0.0,444444,07316F,Silvio Moser 🇨🇭,🇨🇦,Canada
,oliver,0.0,9,ca,17,0.0,444444,144D44,Jackie Oliver 🇬🇧,🇨🇦,Canada
,ickx,0.0,3,mc,10,1.0,444444,07316F,Jacky Ickx 🇧🇪,🇲🇨,Monaco
