raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
200101,Australian Grand Prix,1,au,2001,2001-03-04T00:00:00.000Z,albert_park,,🇦🇺,Australia
200102,Malaysian Grand Prix,2,my,2001,2001-03-18T00:00:00.000Z,sepang,,🇲🇾,Malaysia
200103,Brazilian Grand Prix,3,br,2001,2001-04-01T00:00:00.000Z,interlagos,,🇧🇷,Brazil
200104,San Marino Grand Prix,4,it,2001,2001-04-15T00:00:00.000Z,imola,,🇮🇹,Italy
200105,Spanish Grand Prix,5,es,2001,2001-04-29T00:00:00.000Z,catalunya,,🇪🇸,Spain
200106,Austrian Grand Prix,6,at,2001,2001-05-13T00:00:00.000Z,osterreichring,,🇦🇹,Austria
200107,Monaco Grand Prix,7,mc,2001,2001-05-27T00:00:00.000Z,monaco,,🇲🇨,Monaco
200108,Canadian Grand Prix,8,ca,2001,2001-06-10T00:00:00.000Z,villeneuve,,🇨🇦,Canada
200109,European Grand Prix,9,de,2001,2001-06-24T00:00:00.000Z,nurburgring,,🇩🇪,Germany
200110,French Grand Prix,10,fr,2001,2001-07-01T00:00:00.000Z,magny_cours,,🇫🇷,France
200111,British Grand Prix,11,gb,2001,2001-07-15T00:00:00.000Z,silverstone,,🇬🇧,UK
200112,German Grand Prix,12,de,2001,2001-07-29T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
200113,Hungarian Grand Prix,13,hu,2001,2001-08-19T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
200114,Belgian Grand Prix,14,be,2001,2001-09-02T00:00:00.000Z,spa,,🇧🇪,Belgium
200115,Italian Grand Prix,15,it,2001,2001-09-16T00:00:00.000Z,monza,,🇮🇹,Italy
200116,United States Grand Prix,16,us,2001,2001-09-30T00:00:00.000Z,indianapolis,,🇺🇸,USA
200117,Japanese Grand Prix,17,jp,2001,2001-10-14T00:00:00.000Z,suzuka,,🇯🇵,Japan
