AGS 🇫🇷,2.0
ATS 🇮🇹,7.0
Alfa Romeo 🇮🇹,217.0
Arrows 🇬🇧,142.0
BAR 🇬🇧,227.0
BMW Sauber 🇩🇪,308.0
BRM 🇬🇧,537.5
BRP 🇬🇧,11.0
Benetton 🇮🇹,861.5
Brabham 🇬🇧,631.0
Brabham-Alfa Romeo 🇬🇧,18.0
Brabham-BRM 🇬🇧,13.0
Brabham-Climax 🇬🇧,78.0
Brabham-Ford 🇬🇧,68.0
Brabham-Repco 🇬🇧,175.0
Brawn 🇬🇧,172.0
Connaught 🇬🇧,17.0
Cooper 🇬🇧,52.0
Cooper-BRM 🇬🇧,20.0
Cooper-Castellotti 🇬🇧,3.0
Cooper-Climax 🇬🇧,336.5
Cooper-Maserati 🇬🇧,83.0
Dallara 🇮🇹,15.0
Deidt 🇺🇸,10.0
Eagle-Climax 🇺🇸,4.0
Eagle-Weslake 🇺🇸,13.0
Embassy Hill 🇬🇧,3.0
Ensign 🇬🇧,19.0
Epperly 🇺🇸,44.0
Ferrari 🇮🇹,7714.77
Fittipaldi 🇧🇷,44.0
Footwork 🇬🇧,25.0
Force India 🇮🇳,853.0
Frazer Nash 🇬🇧,3.0
Gordini 🇫🇷,25.0
HWM 🇬🇧,2.0
Haas F1 Team 🇺🇸,38.0
Hesketh 🇬🇧,48.0
Honda 🇯🇵,156.0
Iso Marlboro 🇬🇧,6.0
Jaguar 🇬🇧,49.0
Jordan 🇮🇪,291.0
Kurtis Kraft 🇺🇸,130.0
Kuzma 🇺🇸,21.0
Lancia 🇮🇹,9.0
Larrousse 🇫🇷,22.0
Lesovsky 🇺🇸,10.0
Leyton House 🇬🇧,8.0
Ligier 🇫🇷,388.0
Lola 🇬🇧,27.0
Lotus F1 🇬🇧,706.0
Lotus-BRM 🇬🇧,29.0
Lotus-Climax 🇬🇧,281.0
Lotus-Ford 🇬🇧,209.0
Manor Marussia 🇬🇧,1.0
March 🇬🇧,148.0
March-Ford 🇬🇧,37.0
Marussia 🇷🇺,2.0
Maserati 🇮🇹,313.14
Matra 🇫🇷,54.0
Matra-Ford 🇫🇷,130.0
McLaren 🇬🇧,5284.5
McLaren-BRM 🇬🇧,6.0
McLaren-Ford 🇬🇧,143.0
McLaren-Serenissima 🇬🇧,1.0
Mercedes 🇩🇪,3350.14
Minardi 🇮🇹,38.0
Onyx 🇬🇧,6.0
Osella 🇮🇹,5.0
Parnelli 🇺🇸,6.0
Penske 🇺🇸,23.0
Phillips 🇺🇸,7.0
Porsche 🇩🇪,50.0
Prost 🇫🇷,35.0
Red Bull 🇦🇹,3592.5
Renault 🇫🇷,1340.0
Rial 🇩🇪,6.0
Sauber 🇨🇭,508.0
Schroeder 🇺🇸,2.0
Shadow 🇬🇧,59.0
Shadow-Ford 🇬🇧,9.5
Sherman 🇺🇸,3.0
Simca 🇫🇷,5.0
Spyker 🇳🇱,1.0
Stewart 🇬🇧,47.0
Super Aguri 🇯🇵,4.0
Surtees 🇬🇧,54.0
Talbot-Lago 🇫🇷,25.0
Team Lotus 🇬🇧,995.0
Tecno 🇮🇹,1.0
Toleman 🇬🇧,26.0
Toro Rosso 🇮🇹,350.0
Toyota 🇯🇵,278.5
Trevis 🇺🇸,1.0
Tyrrell 🇬🇧,711.0
Vanwall 🇬🇧,108.0
Watson 🇺🇸,36.0
Williams 🇬🇧,3494.0
Wolf 🇨🇦,79.0
Zakspeed 🇩🇪,2.0
