1951-10-28T00:00:00.000Z,Alfa Romeo 🇮🇹
1952-05-30T00:00:00.000Z,Kuzma 🇺🇸
1955-05-30T00:00:00.000Z,Kurtis Kraft 🇺🇸
1957-08-04T00:00:00.000Z,Maserati 🇮🇹
1958-05-18T00:00:00.000Z,Cooper 🇬🇧
1958-05-30T00:00:00.000Z,Epperly 🇺🇸
1958-10-19T00:00:00.000Z,Vanwall 🇬🇧
1960-05-30T00:00:00.000Z,Watson 🇺🇸
1962-06-03T00:00:00.000Z,Cooper-Climax 🇬🇧
1962-07-08T00:00:00.000Z,Porsche 🇩🇪
1964-10-25T00:00:00.000Z,Brabham-Climax 🇬🇧
1965-08-01T00:00:00.000Z,Lotus-Climax 🇬🇧
1966-10-02T00:00:00.000Z,Lotus-BRM 🇬🇧
1967-01-02T00:00:00.000Z,Cooper-Maserati 🇬🇧
1967-06-18T00:00:00.000Z,Eagle-Weslake 🇺🇸
1967-08-27T00:00:00.000Z,Brabham-Repco 🇬🇧
1969-09-07T00:00:00.000Z,Matra-Ford 🇫🇷
1969-09-20T00:00:00.000Z,Brabham-Ford 🇬🇧
1969-10-05T00:00:00.000Z,Lotus-Ford 🇬🇧
1969-10-19T00:00:00.000Z,McLaren-Ford 🇬🇧
1972-05-14T00:00:00.000Z,BRM 🇬🇧
1975-06-22T00:00:00.000Z,Hesketh 🇬🇧
1976-08-15T00:00:00.000Z,Penske 🇺🇸
1976-09-12T00:00:00.000Z,March 🇬🇧
1977-08-14T00:00:00.000Z,Shadow 🇬🇧
1977-10-09T00:00:00.000Z,Wolf 🇨🇦
1983-06-05T00:00:00.000Z,Tyrrell 🇬🇧
1985-07-07T00:00:00.000Z,Brabham 🇬🇧
1987-06-21T00:00:00.000Z,Team Lotus 🇬🇧
1996-05-19T00:00:00.000Z,Ligier 🇫🇷
1997-07-27T00:00:00.000Z,Benetton 🇮🇹
1999-09-26T00:00:00.000Z,Stewart 🇬🇧
2003-04-06T00:00:00.000Z,Jordan 🇮🇪
2006-08-06T00:00:00.000Z,Honda 🇯🇵
2008-06-08T00:00:00.000Z,BMW Sauber 🇩🇪
2008-09-14T00:00:00.000Z,Toro Rosso 🇮🇹
2008-10-12T00:00:00.000Z,Renault 🇫🇷
2009-09-13T00:00:00.000Z,Brawn 🇬🇧
2012-05-13T00:00:00.000Z,Williams 🇬🇧
2012-11-25T00:00:00.000Z,McLaren 🇬🇧
2013-03-17T00:00:00.000Z,Lotus F1 🇬🇧
2017-05-28T00:00:00.000Z,Ferrari 🇮🇹
2017-06-11T00:00:00.000Z,Mercedes 🇩🇪
2017-06-25T00:00:00.000Z,Red Bull 🇦🇹
