first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
,De Tomaso 🇮🇹,14,0,0,,0,1962-09-16T00:00:00.000Z,0,0,1970-10-04T00:00:00.000Z,Italy
,De Tomaso-Alfa Romeo 🇮🇹,3,0,0,,0,1961-09-10T00:00:00.000Z,0,0,1962-06-03T00:00:00.000Z,Italy
,De Tomaso-Ferrari 🇮🇹,1,0,0,,0,1963-09-08T00:00:00.000Z,0,0,1963-09-08T00:00:00.000Z,Italy
,De Tomaso-Osca 🇮🇹,3,0,0,,0,1961-07-02T00:00:00.000Z,0,0,1962-09-16T00:00:00.000Z,Italy
,Deidt 🇺🇸,8,0,3,,2,1950-05-30T00:00:00.000Z,0,0,1952-05-30T00:00:00.000Z,USA
,Del Roy 🇺🇸,1,0,0,,0,1953-05-30T00:00:00.000Z,0,0,1953-05-30T00:00:00.000Z,USA
,Derrington 🇬🇧,1,0,0,,0,1964-09-06T00:00:00.000Z,0,0,1964-09-06T00:00:00.000Z,UK
,Dunn 🇺🇸,3,0,0,,0,1957-05-30T00:00:00.000Z,0,0,1959-05-30T00:00:00.000Z,USA
,Eagle-Climax 🇺🇸,13,0,3,,0,1966-06-12T00:00:00.000Z,0,0,1969-09-20T00:00:00.000Z,USA
,Talbot-Lago 🇫🇷,82,0,36,,2,1950-05-13T00:00:00.000Z,0,0,1951-10-28T00:00:00.000Z,France
,Elder 🇺🇸,1,0,0,,0,1959-05-30T00:00:00.000Z,0,0,1959-05-30T00:00:00.000Z,USA
,Embassy Hill 🇬🇧,19,0,6,,0,1975-03-01T00:00:00.000Z,0,0,1975-10-05T00:00:00.000Z,UK
,Emeryson 🇬🇧,11,0,0,,0,1956-07-14T00:00:00.000Z,0,0,1962-12-29T00:00:00.000Z,UK
,EMW 🇩🇪,1,0,0,,0,1953-08-02T00:00:00.000Z,0,0,1953-08-02T00:00:00.000Z,Germany
,Ensign 🇬🇧,154,0,24,,0,1973-07-01T00:00:00.000Z,0,0,1982-09-25T00:00:00.000Z,UK
,Sutton 🇺🇸,1,0,0,,0,1959-05-30T00:00:00.000Z,0,0,1959-05-30T00:00:00.000Z,USA
,ERA 🇬🇧,13,0,4,,0,1950-05-13T00:00:00.000Z,0,0,1952-08-17T00:00:00.000Z,UK
,Euro Brun 🇮🇹,76,0,0,,0,1988-04-03T00:00:00.000Z,0,0,1990-09-30T00:00:00.000Z,Italy
,Ewing 🇺🇸,3,1,0,,0,1950-05-30T00:00:00.000Z,0,0,1960-05-30T00:00:00.000Z,USA
,Ferguson 🇬🇧,2,0,0,,0,1961-07-15T00:00:00.000Z,0,0,1961-07-15T00:00:00.000Z,UK
,Surtees 🇬🇧,260,0,66,,2,1970-07-18T00:00:00.000Z,0,0,1978-10-08T00:00:00.000Z,UK
,Fittipaldi 🇧🇷,155,0,40,,3,1975-01-12T00:00:00.000Z,0,0,1982-09-25T00:00:00.000Z,Brazil
,Fondmetal 🇮🇹,42,0,2,,0,1991-03-10T00:00:00.000Z,0,0,1992-09-13T00:00:00.000Z,Italy
,Footwork 🇬🇧,194,0,50,,1,1991-03-10T00:00:00.000Z,0,0,1996-10-13T00:00:00.000Z,UK
,Force India 🇮🇳,358,1,167,,5,2008-03-16T00:00:00.000Z,0,0,2017-06-25T00:00:00.000Z,India
,Forti 🇮🇹,54,0,6,,0,1995-03-26T00:00:00.000Z,0,0,1996-07-14T00:00:00.000Z,Italy
,Frazer Nash 🇬🇧,4,0,1,,0,1952-05-18T00:00:00.000Z,0,0,1952-08-17T00:00:00.000Z,UK
,Fry 🇬🇧,1,0,0,,0,1959-07-18T00:00:00.000Z,0,0,1959-07-18T00:00:00.000Z,UK
,Gilby 🇬🇧,7,0,0,,0,1961-07-15T00:00:00.000Z,0,0,1963-09-08T00:00:00.000Z,UK
,Gordini 🇫🇷,102,0,36,,2,1952-05-18T00:00:00.000Z,0,0,1956-09-02T00:00:00.000Z,France
,Haas F1 Team 🇺🇸,58,0,12,,0,2016-03-20T00:00:00.000Z,0,0,2017-06-25T00:00:00.000Z,USA
,Hall 🇺🇸,1,0,0,,0,1951-05-30T00:00:00.000Z,0,0,1951-05-30T00:00:00.000Z,USA
,Super Aguri 🇯🇵,78,0,3,,0,2006-03-12T00:00:00.000Z,0,0,2008-04-27T00:00:00.000Z,Japan
,Stevens 🇺🇸,10,1,3,,0,1950-05-30T00:00:00.000Z,0,0,1956-05-30T00:00:00.000Z,USA
,HRT 🇪🇸,114,0,0,,0,2010-03-14T00:00:00.000Z,0,0,2012-11-25T00:00:00.000Z,Spain
,HWM 🇬🇧,47,0,11,,0,1951-05-27T00:00:00.000Z,0,0,1955-05-22T00:00:00.000Z,UK
,Iso Marlboro 🇬🇧,55,0,14,,0,1973-01-28T00:00:00.000Z,0,0,1974-10-06T00:00:00.000Z,UK
,Jaguar 🇬🇧,170,0,61,,2,2000-03-12T00:00:00.000Z,0,0,2004-10-24T00:00:00.000Z,UK
,JBW 🇬🇧,6,0,0,,0,1959-07-18T00:00:00.000Z,0,0,1961-09-10T00:00:00.000Z,UK
,Stebro 🇨🇦,2,0,1,,0,1963-10-06T00:00:00.000Z,0,0,1963-10-06T00:00:00.000Z,Canada
,Kauhsen 🇩🇪,2,0,0,,0,1979-04-29T00:00:00.000Z,0,0,1979-05-13T00:00:00.000Z,Germany
,Klenk 🇩🇪,1,0,0,,0,1954-08-01T00:00:00.000Z,0,0,1954-08-01T00:00:00.000Z,Germany
