raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
200301,Australian Grand Prix,1,au,2003,2003-03-09T00:00:00.000Z,albert_park,,🇦🇺,Australia
200302,Malaysian Grand Prix,2,my,2003,2003-03-23T00:00:00.000Z,sepang,,🇲🇾,Malaysia
200303,Brazilian Grand Prix,3,br,2003,2003-04-06T00:00:00.000Z,interlagos,,🇧🇷,Brazil
200304,San Marino Grand Prix,4,it,2003,2003-04-20T00:00:00.000Z,imola,,🇮🇹,Italy
200305,Spanish Grand Prix,5,es,2003,2003-05-04T00:00:00.000Z,catalunya,,🇪🇸,Spain
200306,Austrian Grand Prix,6,at,2003,2003-05-18T00:00:00.000Z,osterreichring,,🇦🇹,Austria
200307,Monaco Grand Prix,7,mc,2003,2003-06-01T00:00:00.000Z,monaco,,🇲🇨,Monaco
200308,Canadian Grand Prix,8,ca,2003,2003-06-15T00:00:00.000Z,villeneuve,,🇨🇦,Canada
200309,European Grand Prix,9,de,2003,2003-06-29T00:00:00.000Z,nurburgring,,🇩🇪,Germany
200310,French Grand Prix,10,fr,2003,2003-07-06T00:00:00.000Z,magny_cours,,🇫🇷,France
200311,British Grand Prix,11,gb,2003,2003-07-20T00:00:00.000Z,silverstone,,🇬🇧,UK
200312,German Grand Prix,12,de,2003,2003-08-03T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
200313,Hungarian Grand Prix,13,hu,2003,2003-08-24T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
200314,Italian Grand Prix,14,it,2003,2003-09-14T00:00:00.000Z,monza,,🇮🇹,Italy
200315,United States Grand Prix,15,us,2003,2003-09-28T00:00:00.000Z,indianapolis,,🇺🇸,USA
200316,Japanese Grand Prix,16,jp,2003,2003-10-12T00:00:00.000Z,suzuka,,🇯🇵,Japan
