raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
195801,Argentine Grand Prix,1,ar,1958,1958-01-19T00:00:00.000Z,galvez,,🇦🇷,Argentina
195802,Monaco Grand Prix,2,mc,1958,1958-05-18T00:00:00.000Z,monaco,,🇲🇨,Monaco
195803,Dutch Grand Prix,3,nl,1958,1958-05-26T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
195804,Indianapolis 500,4,us,1958,1958-05-30T00:00:00.000Z,indianapolis,,🇺🇸,USA
195805,Belgian Grand Prix,5,be,1958,1958-06-15T00:00:00.000Z,spa,,🇧🇪,Belgium
195806,French Grand Prix,6,fr,1958,1958-07-06T00:00:00.000Z,reims,,🇫🇷,France
195807,British Grand Prix,7,gb,1958,1958-07-19T00:00:00.000Z,silverstone,,🇬🇧,UK
195808,German Grand Prix,8,de,1958,1958-08-03T00:00:00.000Z,nurburgring,,🇩🇪,Germany
195809,Portuguese Grand Prix,9,pt,1958,1958-08-24T00:00:00.000Z,boavista,,🇵🇹,Portugal
195810,Italian Grand Prix,10,it,1958,1958-09-07T00:00:00.000Z,monza,,🇮🇹,Italy
195811,Moroccan Grand Prix,11,ma,1958,1958-10-19T00:00:00.000Z,ain-diab,,🇲🇦,Morocco
