name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1973 Brazilian Grand Prix 🇧🇷,1:43:55.6,2,40,Team Lotus 🇬🇧,1973-02-11,Autódromo José Carlos Pace,Emerson Fittipaldi 🇧🇷,1973
1974 Brazilian Grand Prix 🇧🇷,1:24:37.06,2,32,McLaren 🇬🇧,1974-01-27,Autódromo José Carlos Pace,Emerson Fittipaldi 🇧🇷,1974
1975 Brazilian Grand Prix 🇧🇷,1:44:41.17,2,40,Brabham 🇬🇧,1975-01-26,Autódromo José Carlos Pace,Carlos Pace 🇧🇷,1975
1976 Brazilian Grand Prix 🇧🇷,1:45:16.78,1,40,Ferrari 🇮🇹,1976-01-25,Autódromo José Carlos Pace,Niki Lauda 🇦🇹,1976
1977 Brazilian Grand Prix 🇧🇷,1:45:07.72,2,40,Ferrari 🇮🇹,1977-01-23,Autódromo José Carlos Pace,Carlos Reutemann 🇦🇷,1977
1978 Brazilian Grand Prix 🇧🇷,1:49:59.86,2,63,Ferrari 🇮🇹,1978-01-29,Autódromo Internacional Nelson Piquet,Carlos Reutemann 🇦🇷,1978
1979 Brazilian Grand Prix 🇧🇷,1:40:09.64,2,40,Ligier 🇫🇷,1979-02-04,Autódromo José Carlos Pace,Jacques Laffite 🇫🇷,1979
1980 Brazilian Grand Prix 🇧🇷,1:40:01.33,2,40,Renault 🇫🇷,1980-01-27,Autódromo José Carlos Pace,René Arnoux 🇫🇷,1980
1981 Brazilian Grand Prix 🇧🇷,2:00:23.66,2,62,Williams 🇬🇧,1981-03-29,Autódromo Internacional Nelson Piquet,Carlos Reutemann 🇦🇷,1981
1982 Brazilian Grand Prix 🇧🇷,1:44:33.134,2,63,Renault 🇫🇷,1982-03-21,Autódromo Internacional Nelson Piquet,Alain Prost 🇫🇷,1982
1983 Brazilian Grand Prix 🇧🇷,1:48:27.731,1,63,Brabham 🇬🇧,1983-03-13,Autódromo Internacional Nelson Piquet,Nelson Piquet 🇧🇷,1983
1984 Brazilian Grand Prix 🇧🇷,1:42:34.492,1,61,McLaren 🇬🇧,1984-03-25,Autódromo Internacional Nelson Piquet,Alain Prost 🇫🇷,1984
1985 Brazilian Grand Prix 🇧🇷,1:41:26.115,1,61,McLaren 🇬🇧,1985-04-07,Autódromo Internacional Nelson Piquet,Alain Prost 🇫🇷,1985
1986 Brazilian Grand Prix 🇧🇷,1:39:32.583,1,61,Williams 🇬🇧,1986-03-23,Autódromo Internacional Nelson Piquet,Nelson Piquet 🇧🇷,1986
1987 Brazilian Grand Prix 🇧🇷,1:39:45.141,1,61,McLaren 🇬🇧,1987-04-12,Autódromo Internacional Nelson Piquet,Alain Prost 🇫🇷,1987
1988 Brazilian Grand Prix 🇧🇷,1:36:06.857,1,60,McLaren 🇬🇧,1988-04-03,Autódromo Internacional Nelson Piquet,Alain Prost 🇫🇷,1988
1989 Brazilian Grand Prix 🇧🇷,1:38:58.744,1,61,Ferrari 🇮🇹,1989-03-26,Autódromo Internacional Nelson Piquet,Nigel Mansell 🇬🇧,1989
1990 Brazilian Grand Prix 🇧🇷,1:37:21.258,2,71,Ferrari 🇮🇹,1990-03-25,Autódromo José Carlos Pace,Alain Prost 🇫🇷,1990
1991 Brazilian Grand Prix 🇧🇷,1:38:28.128,2,71,McLaren 🇬🇧,1991-03-24,Autódromo José Carlos Pace,Ayrton Senna 🇧🇷,1991
1992 Brazilian Grand Prix 🇧🇷,1:36:51.856,3,71,Williams 🇬🇧,1992-04-05,Autódromo José Carlos Pace,Nigel Mansell 🇬🇧,1992
1993 Brazilian Grand Prix 🇧🇷,1:51:15.485,2,71,McLaren 🇬🇧,1993-03-28,Autódromo José Carlos Pace,Ayrton Senna 🇧🇷,1993
1994 Brazilian Grand Prix 🇧🇷,1:35:39.2,1,71,Benetton 🇮🇹,1994-03-27,Autódromo José Carlos Pace,Michael Schumacher 🇩🇪,1994
1995 Brazilian Grand Prix 🇧🇷,+1:38:34.154,1,71,Benetton 🇮🇹,1995-03-26,Autódromo José Carlos Pace,Michael Schumacher 🇩🇪,1995
1996 Brazilian Grand Prix 🇧🇷,1:49:52.976,2,71,Williams 🇬🇧,1996-03-31,Autódromo José Carlos Pace,Damon Hill 🇬🇧,1996
1997 Brazilian Grand Prix 🇧🇷,1:36:06.990,2,72,Williams 🇬🇧,1997-03-30,Autódromo José Carlos Pace,Jacques Villeneuve 🇨🇦,1997
1998 Brazilian Grand Prix 🇧🇷,1:37:12.2,2,72,McLaren 🇬🇧,1998-03-29,Autódromo José Carlos Pace,Mika Häkkinen 🇫🇮,1998
1999 Brazilian Grand Prix 🇧🇷,1:36:03.785,2,72,McLaren 🇬🇧,1999-04-11,Autódromo José Carlos Pace,Mika Häkkinen 🇫🇮,1999
2000 Brazilian Grand Prix 🇧🇷,1:31:35.271,2,71,Ferrari 🇮🇹,2000-03-26,Autódromo José Carlos Pace,Michael Schumacher 🇩🇪,2000
2001 Brazilian Grand Prix 🇧🇷,1:39:00.834,3,71,McLaren 🇬🇧,2001-04-01,Autódromo José Carlos Pace,David Coulthard 🇬🇧,2001
