name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1950 Belgian Grand Prix 🇧🇪,2:47:26.0,5,35,Alfa Romeo 🇮🇹,1950-06-18,Circuit de Spa-Francorchamps,Juan Fangio 🇦🇷,1950
1951 Belgian Grand Prix 🇧🇪,2:45:46.2,3,36,Alfa Romeo 🇮🇹,1951-06-17,Circuit de Spa-Francorchamps,Nino Farina 🇮🇹,1951
1952 Belgian Grand Prix 🇧🇪,3:03:46.3,3,36,Ferrari 🇮🇹,1952-06-22,Circuit de Spa-Francorchamps,Alberto Ascari 🇮🇹,1952
1953 Belgian Grand Prix 🇧🇪,2:48:30.3,4,36,Ferrari 🇮🇹,1953-06-21,Circuit de Spa-Francorchamps,Alberto Ascari 🇮🇹,1953
1954 Belgian Grand Prix 🇧🇪,2:44:42.4,3,36,Maserati 🇮🇹,1954-06-20,Circuit de Spa-Francorchamps,Juan Fangio 🇦🇷,1954
1955 Belgian Grand Prix 🇧🇪,2:39:29.0,4,36,Mercedes 🇩🇪,1955-06-05,Circuit de Spa-Francorchamps,Juan Fangio 🇦🇷,1955
1956 Belgian Grand Prix 🇧🇪,2:40:00.3,4,36,Ferrari 🇮🇹,1956-06-03,Circuit de Spa-Francorchamps,Peter Collins 🇬🇧,1956
1958 Belgian Grand Prix 🇧🇪,1:37:06.3,5,24,Vanwall 🇬🇧,1958-06-15,Circuit de Spa-Francorchamps,Tony Brooks 🇬🇧,1958
1960 Belgian Grand Prix 🇧🇪,2:21:37.3,5,36,Cooper-Climax 🇬🇧,1960-06-19,Circuit de Spa-Francorchamps,Jack Brabham 🇦🇺,1960
1961 Belgian Grand Prix 🇧🇪,2:03:03.8,3,30,Ferrari 🇮🇹,1961-06-18,Circuit de Spa-Francorchamps,Phil Hill 🇺🇸,1961
1962 Belgian Grand Prix 🇧🇪,2:07:32.3,3,32,Lotus-Climax 🇬🇧,1962-06-17,Circuit de Spa-Francorchamps,Jim Clark 🇬🇧,1962
1963 Belgian Grand Prix 🇧🇪,2:27:47.6,2,32,Lotus-Climax 🇬🇧,1963-06-09,Circuit de Spa-Francorchamps,Jim Clark 🇬🇧,1963
1964 Belgian Grand Prix 🇧🇪,2:06:40.5,3,32,Lotus-Climax 🇬🇧,1964-06-14,Circuit de Spa-Francorchamps,Jim Clark 🇬🇧,1964
1965 Belgian Grand Prix 🇧🇪,2:23:34.8,3,32,Lotus-Climax 🇬🇧,1965-06-13,Circuit de Spa-Francorchamps,Jim Clark 🇬🇧,1965
1966 Belgian Grand Prix 🇧🇪,2:09:11.3,2,28,Ferrari 🇮🇹,1966-06-12,Circuit de Spa-Francorchamps,John Surtees 🇬🇧,1966
1967 Belgian Grand Prix 🇧🇪,1:40:49.4,4,28,Eagle-Weslake 🇺🇸,1967-06-18,Circuit de Spa-Francorchamps,Dan Gurney 🇺🇸,1967
1968 Belgian Grand Prix 🇧🇪,1:40:02.1,4,28,McLaren-Ford 🇬🇧,1968-06-09,Circuit de Spa-Francorchamps,Bruce McLaren 🇳🇿,1968
1970 Belgian Grand Prix 🇧🇪,1:38:10.1,4,28,BRM 🇬🇧,1970-06-07,Circuit de Spa-Francorchamps,Pedro Rodríguez 🇲🇽,1970
1972 Belgian Grand Prix 🇧🇪,1:44:07.3,5,85,Team Lotus 🇬🇧,1972-06-04,Nivelles-Baulers,Emerson Fittipaldi 🇧🇷,1972
1973 Belgian Grand Prix 🇧🇪,1:42:13.43,5,70,Tyrrell 🇬🇧,1973-05-20,Zolder,Jackie Stewart 🇬🇧,1973
1974 Belgian Grand Prix 🇧🇪,1:44:20.57,5,85,McLaren 🇬🇧,1974-05-12,Nivelles-Baulers,Emerson Fittipaldi 🇧🇷,1974
1975 Belgian Grand Prix 🇧🇪,1:43:53.98,6,70,Ferrari 🇮🇹,1975-05-25,Zolder,Niki Lauda 🇦🇹,1975
1976 Belgian Grand Prix 🇧🇪,1:42:53.23,5,70,Ferrari 🇮🇹,1976-05-16,Zolder,Niki Lauda 🇦🇹,1976
1977 Belgian Grand Prix 🇧🇪,1:55:05.71,7,70,Team Lotus 🇬🇧,1977-06-05,Zolder,Gunnar Nilsson 🇸🇪,1977
1978 Belgian Grand Prix 🇧🇪,1:39:52.02,6,70,Team Lotus 🇬🇧,1978-05-21,Zolder,Mario Andretti 🇺🇸,1978
1979 Belgian Grand Prix 🇧🇪,1:39:59.53,6,70,Ferrari 🇮🇹,1979-05-13,Zolder,Jody Scheckter 🇿🇦,1979
1980 Belgian Grand Prix 🇧🇪,1:38:47.4,5,72,Ligier 🇫🇷,1980-05-04,Zolder,Didier Pironi 🇫🇷,1980
1981 Belgian Grand Prix 🇧🇪,1:16:31.61,5,54,Williams 🇬🇧,1981-05-17,Zolder,Carlos Reutemann 🇦🇷,1981
1982 Belgian Grand Prix 🇧🇪,1:35:41.995,5,70,McLaren 🇬🇧,1982-05-09,Zolder,John Watson 🇬🇧,1982
1983 Belgian Grand Prix 🇧🇪,1:27:11.502,6,40,Renault 🇫🇷,1983-05-22,Circuit de Spa-Francorchamps,Alain Prost 🇫🇷,1983
1984 Belgian Grand Prix 🇧🇪,1:36:32.048,3,70,Ferrari 🇮🇹,1984-04-29,Zolder,Michele Alboreto 🇮🇹,1984
1985 Belgian Grand Prix 🇧🇪,1:34:19.893,13,43,Team Lotus 🇬🇧,1985-09-15,Circuit de Spa-Francorchamps,Ayrton Senna 🇧🇷,1985
1986 Belgian Grand Prix 🇧🇪,1:27:57.925,5,43,Williams 🇬🇧,1986-05-25,Circuit de Spa-Francorchamps,Nigel Mansell 🇬🇧,1986
1987 Belgian Grand Prix 🇧🇪,1:27:03.217,3,43,McLaren 🇬🇧,1987-05-17,Circuit de Spa-Francorchamps,Alain Prost 🇫🇷,1987
1988 Belgian Grand Prix 🇧🇪,1:28:00.549,11,43,McLaren 🇬🇧,1988-08-28,Circuit de Spa-Francorchamps,Ayrton Senna 🇧🇷,1988
1989 Belgian Grand Prix 🇧🇪,1:40:54.196,11,44,McLaren 🇬🇧,1989-08-27,Circuit de Spa-Francorchamps,Ayrton Senna 🇧🇷,1989
1990 Belgian Grand Prix 🇧🇪,1:26:31.997,11,44,McLaren 🇬🇧,1990-08-26,Circuit de Spa-Francorchamps,Ayrton Senna 🇧🇷,1990
1991 Belgian Grand Prix 🇧🇪,1:27:17.669,11,44,McLaren 🇬🇧,1991-08-25,Circuit de Spa-Francorchamps,Ayrton Senna 🇧🇷,1991
1992 Belgian Grand Prix 🇧🇪,1:36:10.721,12,44,Benetton 🇮🇹,1992-08-30,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,1992
1993 Belgian Grand Prix 🇧🇪,1:24:32.124,12,44,Williams 🇬🇧,1993-08-29,Circuit de Spa-Francorchamps,Damon Hill 🇬🇧,1993
1994 Belgian Grand Prix 🇧🇪,1:28:47.1,11,44,Williams 🇬🇧,1994-08-28,Circuit de Spa-Francorchamps,Damon Hill 🇬🇧,1994
1995 Belgian Grand Prix 🇧🇪,1:36:47.875,11,44,Benetton 🇮🇹,1995-08-27,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,1995
1996 Belgian Grand Prix 🇧🇪,1:28:15.125,13,44,Ferrari 🇮🇹,1996-08-25,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,1996
1997 Belgian Grand Prix 🇧🇪,1:33:46.717,12,44,Ferrari 🇮🇹,1997-08-24,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,1997
1998 Belgian Grand Prix 🇧🇪,1:43:47.407,13,44,Jordan 🇮🇪,1998-08-30,Circuit de Spa-Francorchamps,Damon Hill 🇬🇧,1998
1999 Belgian Grand Prix 🇧🇪,1:25:43.057,12,44,McLaren 🇬🇧,1999-08-29,Circuit de Spa-Francorchamps,David Coulthard 🇬🇧,1999
2000 Belgian Grand Prix 🇧🇪,1:28:14.494,13,44,McLaren 🇬🇧,2000-08-27,Circuit de Spa-Francorchamps,Mika Häkkinen 🇫🇮,2000
2001 Belgian Grand Prix 🇧🇪,1:08:05.002,14,36,Ferrari 🇮🇹,2001-09-02,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,2001
2002 Belgian Grand Prix 🇧🇪,1:21:20.634,14,44,Ferrari 🇮🇹,2002-09-01,Circuit de Spa-Francorchamps,Michael Schumacher 🇩🇪,2002
2004 Belgian Grand Prix 🇧🇪,1:32:35.274,14,44,McLaren 🇬🇧,2004-08-29,Circuit de Spa-Francorchamps,Kimi Räikkönen 🇫🇮,2004
2005 Belgian Grand Prix 🇧🇪,1:30:01.295,16,44,McLaren 🇬🇧,2005-09-11,Circuit de Spa-Francorchamps,Kimi Räikkönen 🇫🇮,2005
2007 Belgian Grand Prix 🇧🇪,1:20:39.066,14,44,Ferrari 🇮🇹,2007-09-16,Circuit de Spa-Francorchamps,Kimi Räikkönen 🇫🇮,2007
2008 Belgian Grand Prix 🇧🇪,1:22:59.394,13,44,Ferrari 🇮🇹,2008-09-07,Circuit de Spa-Francorchamps,Felipe Massa 🇧🇷,2008
2009 Belgian Grand Prix 🇧🇪,1:23:50.995,12,44,Ferrari 🇮🇹,2009-08-30,Circuit de Spa-Francorchamps,Kimi Räikkönen 🇫🇮,2009
2010 Belgian Grand Prix 🇧🇪,1:29:04.268,13,44,McLaren 🇬🇧,2010-08-29,Circuit de Spa-Francorchamps,Lewis Hamilton 🇬🇧,2010
2011 Belgian Grand Prix 🇧🇪,1:26:44.893,12,44,Red Bull 🇦🇹,2011-08-28,Circuit de Spa-Francorchamps,Sebastian Vettel 🇩🇪,2011
2012 Belgian Grand Prix 🇧🇪,1:29:08.530,12,44,McLaren 🇬🇧,2012-09-02,Circuit de Spa-Francorchamps,Jenson Button 🇬🇧,2012
2013 Belgian Grand Prix 🇧🇪,1:23:42.196,11,44,Red Bull 🇦🇹,2013-08-25,Circuit de Spa-Francorchamps,Sebastian Vettel 🇩🇪,2013
2014 Belgian Grand Prix 🇧🇪,1:24:36.556,12,44,Red Bull 🇦🇹,2014-08-24,Circuit de Spa-Francorchamps,Daniel Ricciardo 🇦🇺,2014
2015 Belgian Grand Prix 🇧🇪,1:23:40.387,11,43,Mercedes 🇩🇪,2015-08-23,Circuit de Spa-Francorchamps,Lewis Hamilton 🇬🇧,2015
2016 Belgian Grand Prix 🇧🇪,1:44:51.058,13,44,Mercedes 🇩🇪,2016-08-28,Circuit de Spa-Francorchamps,Nico Rosberg 🇩🇪,2016
2017 Belgian Grand Prix 🇧🇪,,12,,,2017-08-27,Circuit de Spa-Francorchamps,,2017
