name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1973 Swedish Grand Prix 🇸🇪,1:56:46.049,7,80,McLaren 🇬🇧,1973-06-17,Scandinavian Raceway,Denny Hulme 🇳🇿,1973
1974 Swedish Grand Prix 🇸🇪,1:58:31.391,7,80,Tyrrell 🇬🇧,1974-06-09,Scandinavian Raceway,Jody Scheckter 🇿🇦,1974
1975 Swedish Grand Prix 🇸🇪,1:59:18.319,7,80,Ferrari 🇮🇹,1975-06-08,Scandinavian Raceway,Niki Lauda 🇦🇹,1975
1976 Swedish Grand Prix 🇸🇪,1:46:53.729,7,72,Tyrrell 🇬🇧,1976-06-13,Scandinavian Raceway,Jody Scheckter 🇿🇦,1976
1977 Swedish Grand Prix 🇸🇪,1:46:56.4,8,72,Ligier 🇫🇷,1977-06-19,Scandinavian Raceway,Jacques Laffite 🇫🇷,1977
1978 Swedish Grand Prix 🇸🇪,1:41:00.606,8,70,Brabham 🇬🇧,1978-06-17,Scandinavian Raceway,Niki Lauda 🇦🇹,1978
