name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1950 Belgian Grand Prix 🇧🇪,2:47:26.0,5,35,Alfa Romeo 🇮🇹,1950-06-18T00:00:00.000Z,Juan Fangio 🇦🇷,1950
1951 Belgian Grand Prix 🇧🇪,2:45:46.2,3,36,Alfa Romeo 🇮🇹,1951-06-17T00:00:00.000Z,Nino Farina 🇮🇹,1951
1952 Belgian Grand Prix 🇧🇪,3:03:46.3,3,36,Ferrari 🇮🇹,1952-06-22T00:00:00.000Z,Alberto Ascari 🇮🇹,1952
1953 Belgian Grand Prix 🇧🇪,2:48:30.3,4,36,Ferrari 🇮🇹,1953-06-21T00:00:00.000Z,Alberto Ascari 🇮🇹,1953
1954 Belgian Grand Prix 🇧🇪,2:44:42.4,3,36,Maserati 🇮🇹,1954-06-20T00:00:00.000Z,Juan Fangio 🇦🇷,1954
1955 Belgian Grand Prix 🇧🇪,2:39:29.0,4,36,Mercedes 🇩🇪,1955-06-05T00:00:00.000Z,Juan Fangio 🇦🇷,1955
1956 Belgian Grand Prix 🇧🇪,2:40:00.3,4,36,Ferrari 🇮🇹,1956-06-03T00:00:00.000Z,Peter Collins 🇬🇧,1956
1958 Belgian Grand Prix 🇧🇪,1:37:06.3,5,24,Vanwall 🇬🇧,1958-06-15T00:00:00.000Z,Tony Brooks 🇬🇧,1958
1960 Belgian Grand Prix 🇧🇪,2:21:37.3,5,36,Cooper-Climax 🇬🇧,1960-06-19T00:00:00.000Z,Jack Brabham 🇦🇺,1960
1961 Belgian Grand Prix 🇧🇪,2:03:03.8,3,30,Ferrari 🇮🇹,1961-06-18T00:00:00.000Z,Phil Hill 🇺🇸,1961
1962 Belgian Grand Prix 🇧🇪,2:07:32.3,3,32,Lotus-Climax 🇬🇧,1962-06-17T00:00:00.000Z,Jim Clark 🇬🇧,1962
1963 Belgian Grand Prix 🇧🇪,2:27:47.6,2,32,Lotus-Climax 🇬🇧,1963-06-09T00:00:00.000Z,Jim Clark 🇬🇧,1963
1964 Belgian Grand Prix 🇧🇪,2:06:40.5,3,32,Lotus-Climax 🇬🇧,1964-06-14T00:00:00.000Z,Jim Clark 🇬🇧,1964
