name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1967 South African Grand Prix 🇿🇦,2:05:45.9,1,80,Cooper-Maserati 🇬🇧,1967-01-02T00:00:00.000Z,Pedro Rodríguez 🇲🇽,1967
1968 South African Grand Prix 🇿🇦,1:53:56.6,1,80,Lotus-Ford 🇬🇧,1968-01-01T00:00:00.000Z,Jim Clark 🇬🇧,1968
1969 South African Grand Prix 🇿🇦,1:50:39.1,1,80,Matra-Ford 🇫🇷,1969-03-01T00:00:00.000Z,Jackie Stewart 🇬🇧,1969
1970 South African Grand Prix 🇿🇦,1:49:35.4,1,80,Brabham 🇬🇧,1970-03-07T00:00:00.000Z,Jack Brabham 🇦🇺,1970
1971 South African Grand Prix 🇿🇦,1:47:35.5,1,79,Ferrari 🇮🇹,1971-03-06T00:00:00.000Z,Mario Andretti 🇺🇸,1971
1972 South African Grand Prix 🇿🇦,1:45:49.1,2,79,McLaren 🇬🇧,1972-03-04T00:00:00.000Z,Denny Hulme 🇳🇿,1972
1973 South African Grand Prix 🇿🇦,1:43:11.07,3,79,Tyrrell 🇬🇧,1973-03-03T00:00:00.000Z,Jackie Stewart 🇬🇧,1973
1974 South African Grand Prix 🇿🇦,1:42:40.96,3,78,Brabham 🇬🇧,1974-03-30T00:00:00.000Z,Carlos Reutemann 🇦🇷,1974
1975 South African Grand Prix 🇿🇦,1:43:16.90,3,78,Tyrrell 🇬🇧,1975-03-01T00:00:00.000Z,Jody Scheckter 🇿🇦,1975
1976 South African Grand Prix 🇿🇦,1:42:18.4,2,78,Ferrari 🇮🇹,1976-03-06T00:00:00.000Z,Niki Lauda 🇦🇹,1976
1977 South African Grand Prix 🇿🇦,1:42:21.6,3,78,Ferrari 🇮🇹,1977-03-05T00:00:00.000Z,Niki Lauda 🇦🇹,1977
1978 South African Grand Prix 🇿🇦,1:42:15.767,3,78,Team Lotus 🇬🇧,1978-03-04T00:00:00.000Z,Ronnie Peterson 🇸🇪,1978
1979 South African Grand Prix 🇿🇦,1:41:49.96,3,78,Ferrari 🇮🇹,1979-03-03T00:00:00.000Z,Gilles Villeneuve 🇨🇦,1979
1980 South African Grand Prix 🇿🇦,1:36:52.54,3,78,Renault 🇫🇷,1980-03-01T00:00:00.000Z,René Arnoux 🇫🇷,1980
1982 South African Grand Prix 🇿🇦,1:32:08.401,1,77,Renault 🇫🇷,1982-01-23T00:00:00.000Z,Alain Prost 🇫🇷,1982
1983 South African Grand Prix 🇿🇦,1:33:25.708,15,77,Brabham 🇬🇧,1983-10-15T00:00:00.000Z,Riccardo Patrese 🇮🇹,1983
1984 South African Grand Prix 🇿🇦,1:29:23.430,2,75,McLaren 🇬🇧,1984-04-07T00:00:00.000Z,Niki Lauda 🇦🇹,1984
1985 South African Grand Prix 🇿🇦,1:28:22.866,15,75,Williams 🇬🇧,1985-10-19T00:00:00.000Z,Nigel Mansell 🇬🇧,1985
1992 South African Grand Prix 🇿🇦,1:36:45.320,1,72,Williams 🇬🇧,1992-03-01T00:00:00.000Z,Nigel Mansell 🇬🇧,1992
1993 South African Grand Prix 🇿🇦,1:38:45.082,1,72,Williams 🇬🇧,1993-03-14T00:00:00.000Z,Alain Prost 🇫🇷,1993
