name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1957 British Grand Prix 🇬🇧,5,19,71,Vanwall 🇬🇧,1957-07-20,8,,1957,Stirling Moss 🇬🇧
1957 Monaco Grand Prix 🇲🇨,2,16,47,Maserati 🇮🇹,1957-05-19,R,,1957,Juan Fangio 🇦🇷
1958 British Grand Prix 🇬🇧,7,17,19,Ferrari 🇮🇹,1958-07-19,R,,1958,Peter Collins 🇬🇧
1958 German Grand Prix 🇩🇪,8,16,13,Vanwall 🇬🇧,1958-08-03,11,,1958,Tony Brooks 🇬🇧
1959 British Grand Prix 🇬🇧,5,18,69,Cooper-Climax 🇬🇧,1959-07-18,13,,1959,Jack Brabham 🇦🇺
1959 Monaco Grand Prix 🇲🇨,1,0,0,Cooper-Climax 🇬🇧,1959-05-10,F,,1959,Jack Brabham 🇦🇺
