raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
197001,South African Grand Prix,1,za,1970,1970-03-07T00:00:00.000Z,kyalami,,🇿🇦,South Africa
197002,Spanish Grand Prix,2,es,1970,1970-04-19T00:00:00.000Z,jarama,,🇪🇸,Spain
197003,Monaco Grand Prix,3,mc,1970,1970-05-10T00:00:00.000Z,monaco,,🇲🇨,Monaco
197004,Belgian Grand Prix,4,be,1970,1970-06-07T00:00:00.000Z,spa,,🇧🇪,Belgium
197005,Dutch Grand Prix,5,nl,1970,1970-06-21T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
197006,French Grand Prix,6,fr,1970,1970-07-05T00:00:00.000Z,charade,,🇫🇷,France
197007,British Grand Prix,7,gb,1970,1970-07-18T00:00:00.000Z,brands_hatch,,🇬🇧,UK
197008,German Grand Prix,8,de,1970,1970-08-02T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
197009,Austrian Grand Prix,9,at,1970,1970-08-16T00:00:00.000Z,osterreichring,,🇦🇹,Austria
197010,Italian Grand Prix,10,it,1970,1970-09-06T00:00:00.000Z,monza,,🇮🇹,Italy
197011,Canadian Grand Prix,11,ca,1970,1970-09-20T00:00:00.000Z,tremblant,,🇨🇦,Canada
197012,United States Grand Prix,12,us,1970,1970-10-04T00:00:00.000Z,watkins_glen,,🇺🇸,USA
197013,Mexican Grand Prix,13,mx,1970,1970-10-25T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
