name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1999 Malaysian Grand Prix 🇲🇾,1:36:38.494,15,56,Ferrari 🇮🇹,1999-10-17,Eddie Irvine 🇬🇧,1999
2000 Malaysian Grand Prix 🇲🇾,1:35:54.235,17,56,Ferrari 🇮🇹,2000-10-22,Michael Schumacher 🇩🇪,2000
2001 Malaysian Grand Prix 🇲🇾,1:47:34.801,2,55,Ferrari 🇮🇹,2001-03-18,Michael Schumacher 🇩🇪,2001
2002 Malaysian Grand Prix 🇲🇾,1:34:12.912,2,56,Williams 🇬🇧,2002-03-17,Ralf Schumacher 🇩🇪,2002
2003 Malaysian Grand Prix 🇲🇾,1:32:22.195,2,56,McLaren 🇬🇧,2003-03-23,Kimi Räikkönen 🇫🇮,2003
2004 Malaysian Grand Prix 🇲🇾,1:31:07.490,2,56,Ferrari 🇮🇹,2004-03-21,Michael Schumacher 🇩🇪,2004
2005 Malaysian Grand Prix 🇲🇾,1:31:33.736,2,56,Renault 🇫🇷,2005-03-20,Fernando Alonso 🇪🇸,2005
2006 Malaysian Grand Prix 🇲🇾,1:30:40.529,2,56,Renault 🇫🇷,2006-03-19,Giancarlo Fisichella 🇮🇹,2006
2007 Malaysian Grand Prix 🇲🇾,1:32:14.930,2,56,McLaren 🇬🇧,2007-04-08,Fernando Alonso 🇪🇸,2007
2008 Malaysian Grand Prix 🇲🇾,1:31:18.555,2,56,Ferrari 🇮🇹,2008-03-23,Kimi Räikkönen 🇫🇮,2008
2009 Malaysian Grand Prix 🇲🇾,1:10:52.092,2,31,Brawn 🇬🇧,2009-04-05,Jenson Button 🇬🇧,2009
2010 Malaysian Grand Prix 🇲🇾,1:33:48.412,3,56,Red Bull 🇦🇹,2010-04-04,Sebastian Vettel 🇩🇪,2010
2011 Malaysian Grand Prix 🇲🇾,1:37:39.832,2,56,Red Bull 🇦🇹,2011-04-10,Sebastian Vettel 🇩🇪,2011
2012 Malaysian Grand Prix 🇲🇾,2:44:51.812,2,56,Ferrari 🇮🇹,2012-03-25,Fernando Alonso 🇪🇸,2012
2013 Malaysian Grand Prix 🇲🇾,1:38:56.681,2,56,Red Bull 🇦🇹,2013-03-24,Sebastian Vettel 🇩🇪,2013
2014 Malaysian Grand Prix 🇲🇾,1:40:25.974,2,56,Mercedes 🇩🇪,2014-03-30,Lewis Hamilton 🇬🇧,2014
2015 Malaysian Grand Prix 🇲🇾,1:41:05.793,2,56,Ferrari 🇮🇹,2015-03-29,Sebastian Vettel 🇩🇪,2015
2016 Malaysian Grand Prix 🇲🇾,1:37:12.776,16,56,Red Bull 🇦🇹,2016-10-02,Daniel Ricciardo 🇦🇺,2016
2017 Malaysian Grand Prix 🇲🇾,,15,,,2017-10-01,,2017
