name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1966 Mexican Grand Prix 🇲🇽,9,11,33,Cooper-Maserati 🇬🇧,1966-10-23,R,,1966,John Surtees 🇬🇧
1966 Monaco Grand Prix 🇲🇨,1,13,35,BRM 🇬🇧,1966-05-22,R,,1966,Jackie Stewart 🇬🇧
1966 United States Grand Prix 🇺🇸,8,13,105,Lotus-BRM 🇬🇧,1966-10-02,4,,1966,Jim Clark 🇬🇧
1967 Belgian Grand Prix 🇧🇪,4,16,27,Eagle-Weslake 🇺🇸,1967-06-18,7,,1967,Dan Gurney 🇺🇸
1967 British Grand Prix 🇬🇧,6,18,10,Lotus-Ford 🇬🇧,1967-07-15,R,,1967,Jim Clark 🇬🇧
1967 Dutch Grand Prix 🇳🇱,3,16,83,Lotus-Ford 🇬🇧,1967-06-04,10,,1967,Jim Clark 🇬🇧
1967 French Grand Prix 🇫🇷,5,11,77,Brabham-Repco 🇬🇧,1967-07-02,4,,1967,Jack Brabham 🇦🇺
1967 German Grand Prix 🇩🇪,7,12,12,Brabham-Repco 🇬🇧,1967-08-06,R,,1967,Denny Hulme 🇳🇿
1967 Italian Grand Prix 🇮🇹,9,13,50,Honda 🇯🇵,1967-09-10,R,,1967,John Surtees 🇬🇧
1967 Mexican Grand Prix 🇲🇽,11,10,59,Lotus-Ford 🇬🇧,1967-10-22,12,,1967,Jim Clark 🇬🇧
1967 Monaco Grand Prix 🇲🇨,2,9,31,Brabham-Repco 🇬🇧,1967-05-07,R,,1967,Denny Hulme 🇳🇿
1967 South African Grand Prix 🇿🇦,1,16,41,Cooper-Maserati 🇬🇧,1967-01-02,R,,1967,Pedro Rodríguez 🇲🇽
1967 United States Grand Prix 🇺🇸,10,12,106,Lotus-Ford 🇬🇧,1967-10-01,4,,1967,Jim Clark 🇬🇧
1968 Belgian Grand Prix 🇧🇪,4,9,25,McLaren-Ford 🇬🇧,1968-06-09,7,,1968,Bruce McLaren 🇳🇿
1968 British Grand Prix 🇬🇧,7,4,80,Lotus-Ford 🇬🇧,1968-07-20,1,2:01:20.3,1968,Jo Siffert 🇨🇭
1968 Canadian Grand Prix 🇨🇦,10,3,29,McLaren-Ford 🇬🇧,1968-09-22,R,,1968,Denny Hulme 🇳🇿
1968 Dutch Grand Prix 🇳🇱,5,13,55,Matra-Ford 🇫🇷,1968-06-23,R,,1968,Jackie Stewart 🇬🇧
1968 French Grand Prix 🇫🇷,6,11,54,Ferrari 🇮🇹,1968-07-07,11,,1968,Jacky Ickx 🇧🇪
1968 German Grand Prix 🇩🇪,8,9,6,Matra-Ford 🇫🇷,1968-08-04,R,,1968,Jackie Stewart 🇬🇧
1968 Italian Grand Prix 🇮🇹,9,9,58,McLaren-Ford 🇬🇧,1968-09-08,R,,1968,Denny Hulme 🇳🇿
1968 Mexican Grand Prix 🇲🇽,12,1,64,Lotus-Ford 🇬🇧,1968-11-03,6,,1968,Graham Hill 🇬🇧
1968 Monaco Grand Prix 🇲🇨,3,3,17,Lotus-Ford 🇬🇧,1968-05-26,R,,1968,Graham Hill 🇬🇧
1968 South African Grand Prix 🇿🇦,1,16,77,Lotus-Ford 🇬🇧,1968-01-01,7,,1968,Jim Clark 🇬🇧
1968 Spanish Grand Prix 🇪🇸,2,10,62,Lotus-Ford 🇬🇧,1968-05-12,R,,1968,Graham Hill 🇬🇧
1968 United States Grand Prix 🇺🇸,11,12,105,Matra-Ford 🇫🇷,1968-10-06,5,,1968,Jackie Stewart 🇬🇧
1969 British Grand Prix 🇬🇧,6,9,81,Matra-Ford 🇫🇷,1969-07-19,8,,1969,Jackie Stewart 🇬🇧
1969 Canadian Grand Prix 🇨🇦,9,8,40,Brabham-Ford 🇬🇧,1969-09-20,R,,1969,Jacky Ickx 🇧🇪
1969 Dutch Grand Prix 🇳🇱,4,10,90,Matra-Ford 🇫🇷,1969-06-21,2,+24.52,1969,Jackie Stewart 🇬🇧
1969 French Grand Prix 🇫🇷,5,9,34,Matra-Ford 🇫🇷,1969-07-06,9,,1969,Jackie Stewart 🇬🇧
1969 German Grand Prix 🇩🇪,7,4,12,Brabham-Ford 🇬🇧,1969-08-03,5,,1969,Jacky Ickx 🇧🇪
1969 Italian Grand Prix 🇮🇹,8,8,64,Matra-Ford 🇫🇷,1969-09-07,8,,1969,Jackie Stewart 🇬🇧
1969 Mexican Grand Prix 🇲🇽,11,5,4,McLaren-Ford 🇬🇧,1969-10-19,R,,1969,Denny Hulme 🇳🇿
1969 Monaco Grand Prix 🇲🇨,3,5,80,Lotus-Ford 🇬🇧,1969-05-18,3,+34.6,1969,Graham Hill 🇬🇧
1969 South African Grand Prix 🇿🇦,1,12,80,Matra-Ford 🇫🇷,1969-03-01,4,+49.2,1969,Jackie Stewart 🇬🇧
1969 Spanish Grand Prix 🇪🇸,2,6,30,Matra-Ford 🇫🇷,1969-05-04,R,,1969,Jackie Stewart 🇬🇧
1969 United States Grand Prix 🇺🇸,10,13,3,Lotus-Ford 🇬🇧,1969-10-05,R,,1969,Jochen Rindt 🇦🇹
1970 Austrian Grand Prix 🇦🇹,9,20,59,Ferrari 🇮🇹,1970-08-16,9,,1970,Jacky Ickx 🇧🇪
1970 Belgian Grand Prix 🇧🇪,4,10,26,BRM 🇬🇧,1970-06-07,7,,1970,Pedro Rodríguez 🇲🇽
1970 British Grand Prix 🇬🇧,7,20,19,Team Lotus 🇬🇧,1970-07-18,R,,1970,Jochen Rindt 🇦🇹
1970 Canadian Grand Prix 🇨🇦,11,14,21,Ferrari 🇮🇹,1970-09-20,R,,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,17,22,Team Lotus 🇬🇧,1970-06-21,R,,1970,Jochen Rindt 🇦🇹
1970 French Grand Prix 🇫🇷,6,16,23,Team Lotus 🇬🇧,1970-07-05,R,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,4,47,Team Lotus 🇬🇧,1970-08-02,8,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,7,3,Ferrari 🇮🇹,1970-09-06,R,,1970,Clay Regazzoni 🇨🇭
1970 Mexican Grand Prix 🇲🇽,13,16,3,Ferrari 🇮🇹,1970-10-25,R,,1970,Jacky Ickx 🇧🇪
1970 Monaco Grand Prix 🇲🇨,3,11,76,Team Lotus 🇬🇧,1970-05-10,8,,1970,Jochen Rindt 🇦🇹
1970 South African Grand Prix 🇿🇦,1,9,75,Brabham 🇬🇧,1970-03-07,10,,1970,Jack Brabham 🇦🇺
