raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
196701,South African Grand Prix,1,za,1967,1967-01-02T00:00:00.000Z,kyalami,,🇿🇦,South Africa
196702,Monaco Grand Prix,2,mc,1967,1967-05-07T00:00:00.000Z,monaco,,🇲🇨,Monaco
196703,Dutch Grand Prix,3,nl,1967,1967-06-04T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
196704,Belgian Grand Prix,4,be,1967,1967-06-18T00:00:00.000Z,spa,,🇧🇪,Belgium
196705,French Grand Prix,5,fr,1967,1967-07-02T00:00:00.000Z,lemans,,🇫🇷,France
196706,British Grand Prix,6,gb,1967,1967-07-15T00:00:00.000Z,silverstone,,🇬🇧,UK
196707,German Grand Prix,7,de,1967,1967-08-06T00:00:00.000Z,nurburgring,,🇩🇪,Germany
196708,Canadian Grand Prix,8,ca,1967,1967-08-27T00:00:00.000Z,mosport,,🇨🇦,Canada
196709,Italian Grand Prix,9,it,1967,1967-09-10T00:00:00.000Z,monza,,🇮🇹,Italy
196710,United States Grand Prix,10,us,1967,1967-10-01T00:00:00.000Z,watkins_glen,,🇺🇸,USA
196711,Mexican Grand Prix,11,mx,1967,1967-10-22T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
