surname,flag,forename,country
Branca,🇨🇭,Toni,Switzerland
Buemi,🇨🇭,Sébastien,Switzerland
Chiesa,🇨🇭,Andrea,Switzerland
Délétraz,🇨🇭,Jean-Denis,Switzerland
Fischer,🇨🇭,Rudi,Switzerland
Foitek,🇨🇭,Gregor,Switzerland
Forini,🇨🇭,Franco,Switzerland
Hirt,🇨🇭,Peter,Switzerland
Kessel,🇨🇭,Loris,Switzerland
May,🇨🇭,Michael,Switzerland
Monteverdi,🇨🇭,Peter,Switzerland
Moser,🇨🇭,Silvio,Switzerland
Regazzoni,🇨🇭,Clay,Switzerland
Scherrer,🇨🇭,Albert,Switzerland
Schiller,🇨🇭,Heinz,Switzerland
Schoeller,🇨🇭,Rudolf,Switzerland
Siffert,🇨🇭,Jo,Switzerland
Surer,🇨🇭,Marc,Switzerland
Volonterio,🇨🇭,Ottorino,Switzerland
Vonlanthen,🇨🇭,Jo,Switzerland
Walter,🇨🇭,Heini,Switzerland
de Graffenried,🇨🇭,Toulo,Switzerland
de Terra,🇨🇭,Max,Switzerland
