1950,6.0
1951,7.0
1952,14.0
1953,8.5
1954,17.3600006103516
1955,28.0
1956,5.0
1957,24.0
1958,18.0
1959,5.5
1960,24.0
1961,13.0
1962,15.0
1963,25.0
1964,8.0
1965,21.0
1966,20.0
1967,10.0
1968,15.0
1969,37.0
1970,12.0
1971,36.0
1972,22.0
1973,19.0
1974,10.0
1975,27.5
1976,20.0
1977,25.0
1978,16.0
1979,11.0
1980,25.0
1981,4.0
1982,5.0
1983,10.0
1984,38.0
1985,33.0
1986,3.0
1987,16.0
1988,49.0
1989,36.0
1990,35.0
1991,43.0
1992,55.0
1993,30.0
1994,51.0
1995,53.0
1996,38.0
1997,45.0
1998,44.0
1999,22.0
2000,35.0
2001,67.0
2002,94.0
2003,11.0
2004,63.0
2005,71.0
2006,54.0
2007,1.0
2008,23.0
2009,18.0
2010,14.0
2011,134.0
2012,74.0
2013,198.0
2014,146.0
2015,103.0
2016,129.0
