1950,2
1951,2
1952,2
1953,1
1954,1
1955,2
1956,3
1957,1
1958,3
1959,1
1960,2
1961,3
1962,1
1963,3
1964,3
1965,2
1966,3
1967,2
1968,2
1969,1
1970,3
1971,2
1972,3
1973,2
1974,4
1975,2
1976,2
1977,3
1978,3
1979,3
1980,3
1981,3
1982,4
1983,3
1984,2
1985,3
1986,4
1987,4
1988,2
1989,3
1990,2
1991,1
1992,1
1993,2
1994,1
1995,2
1996,1
1997,3
1998,1
1999,3
2000,2
2001,1
2002,1
2003,3
2004,1
2005,2
2006,2
2007,3
2008,4
2009,1
2010,6
2011,1
2012,4
2013,2
2014,2
2015,1
2016,2
2017,1
