1950,3.0
1951,6.0
1952,12.0
1953,6.5
1954,16.8600006103516
1955,17.0
1956,3.0
1957,15.0
1958,1.0
1959,4.0
1960,9.0
1961,1.0
1962,12.0
1963,25.0
1964,1.0
1965,14.0
1966,14.0
1967,5.0
1968,12.0
1969,26.0
1970,5.0
1971,29.0
1972,16.0
1973,16.0
1974,3.0
1975,19.5
1976,1.0
1977,17.0
1978,13.0
1979,4.0
1980,13.0
1981,1.0
1982,5.0
1983,2.0
1984,0.5
1985,20.0
1986,2.0
1987,12.0
1988,3.0
1989,16.0
1990,7.0
1991,24.0
1992,52.0
1993,26.0
1994,1.0
1995,33.0
1996,19.0
1997,39.0
1998,14.0
1999,2.0
2000,19.0
2001,58.0
2002,67.0
2003,2.0
2004,34.0
2005,21.0
2006,13.0
2007,1.0
2008,1.0
2009,11.0
2010,4.0
2011,122.0
2012,3.0
2013,155.0
2014,67.0
2015,59.0
2016,5.0
