position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,hakkinen,0.0,17,au,7,17.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇦🇺,Australia
,badoer,0.0,17,au,23,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇦🇺,Australia
,montermini,0.0,17,au,25,0.0,444444,888888,Andrea Montermini 🇮🇹,🇦🇺,Australia
,wendlinger,0.0,17,au,28,0.0,A17A5D,0736A5,Karl Wendlinger 🇦🇹,🇦🇺,Australia
,inoue,0.0,17,au,24,0.0,444444,888888,Taki Inoue 🇯🇵,🇦🇺,Australia
,coulthard,0.0,17,au,3,49.0,082957,EAE4ED,David Coulthard 🇬🇧,🇦🇺,Australia
,barrichello,0.0,17,au,11,11.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇦🇺,Australia
,moreno,0.0,17,au,32,0.0,444444,888888,Roberto Moreno 🇧🇷,🇦🇺,Australia
,alesi,0.0,17,au,5,42.0,16191A,EB212E,Jean Alesi 🇫🇷,🇦🇺,Australia
,michael_schumacher,0.0,17,au,1,102.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇦🇺,Australia
,brundle,0.0,17,au,13,7.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇦🇺,Australia
,berger,0.0,17,au,6,31.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇦🇺,Australia
,frentzen,0.0,17,au,9,15.0,A17A5D,0736A5,Heinz-Harald Frentzen 🇩🇪,🇦🇺,Australia
,irvine,0.0,17,au,12,10.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇦🇺,Australia
,herbert,0.0,17,au,4,45.0,444444,73C2FB,Johnny Herbert 🇬🇧,🇦🇺,Australia
,suzuki,0.0,16,jp,16,1.0,444444,0F5DBB,Aguri Suzuki 🇯🇵,🇯🇵,Japan
,morbidelli,0.0,16,jp,17,1.0,444444,888888,Gianni Morbidelli 🇮🇹,🇯🇵,Japan
,moreno,0.0,16,jp,32,0.0,444444,888888,Roberto Moreno 🇧🇷,🇯🇵,Japan
,diniz,0.0,2,ar,16,0.0,444444,888888,Pedro Diniz 🇧🇷,🇦🇷,Argentina
,salo,0.0,2,ar,11,0.0,444444,274B72,Mika Salo 🇫🇮,🇦🇷,Argentina
,suzuki,0.0,2,ar,13,0.0,444444,0F5DBB,Aguri Suzuki 🇯🇵,🇦🇷,Argentina
,coulthard,0.0,2,ar,4,6.0,082957,EAE4ED,David Coulthard 🇬🇧,🇦🇷,Argentina
,blundell,0.0,2,ar,9,1.0,0D1D20,FCA13B,Mark Blundell 🇬🇧,🇦🇷,Argentina
,montermini,0.0,2,ar,14,0.0,444444,888888,Andrea Montermini 🇮🇹,🇦🇷,Argentina
,hakkinen,0.0,2,ar,6,3.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇦🇷,Argentina
,gachot,0.0,16,jp,30,0.0,444444,888888,Bertrand Gachot 🇧🇪,🇯🇵,Japan
,katayama,0.0,16,jp,19,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇯🇵,Japan
,barrichello,0.0,16,jp,9,11.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇯🇵,Japan
,berger,0.0,16,jp,6,31.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇯🇵,Japan
,montermini,0.0,16,jp,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇯🇵,Japan
,alesi,0.0,16,jp,5,42.0,16191A,EB212E,Jean Alesi 🇫🇷,🇯🇵,Japan
,diniz,0.0,16,jp,25,0.0,444444,888888,Pedro Diniz 🇧🇷,🇯🇵,Japan
,coulthard,0.0,16,jp,3,49.0,082957,EAE4ED,David Coulthard 🇬🇧,🇯🇵,Japan
,damon_hill,0.0,16,jp,2,59.0,082957,EAE4ED,Damon Hill 🇬🇧,🇯🇵,Japan
,gachot,0.0,15,jp,29,0.0,444444,888888,Bertrand Gachot 🇧🇪,🇯🇵,Japan
,boullion,0.0,15,jp,14,3.0,A17A5D,0736A5,Jean-Christophe Boullion 🇫🇷,🇯🇵,Japan
,suzuki,0.0,15,jp,16,1.0,444444,0F5DBB,Aguri Suzuki 🇯🇵,🇯🇵,Japan
,montermini,0.0,15,jp,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇯🇵,Japan
,inoue,0.0,15,jp,22,0.0,444444,888888,Taki Inoue 🇯🇵,🇯🇵,Japan
,diniz,0.0,3,it,17,0.0,444444,888888,Pedro Diniz 🇧🇷,🇮🇹,Italy
,schiattarella,0.0,3,it,16,0.0,444444,888888,Domenico Schiattarella 🇮🇹,🇮🇹,Italy
,katayama,0.0,3,it,14,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇮🇹,Italy
,salo,0.0,3,it,11,0.0,444444,274B72,Mika Salo 🇫🇮,🇮🇹,Italy
,montermini,0.0,3,it,15,0.0,444444,888888,Andrea Montermini 🇮🇹,🇮🇹,Italy
,michael_schumacher,0.0,3,it,2,14.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇮🇹,Italy
,morbidelli,0.0,15,jp,17,1.0,444444,888888,Gianni Morbidelli 🇮🇹,🇯🇵,Japan
,barrichello,0.0,15,jp,9,11.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇯🇵,Japan
,inoue,0.0,14,de,22,0.0,444444,888888,Taki Inoue 🇯🇵,🇩🇪,Germany
,blundell,0.0,14,de,10,10.0,0D1D20,FCA13B,Mark Blundell 🇬🇧,🇩🇪,Germany
,panis,0.0,14,de,11,8.0,444444,0F5DBB,Olivier Panis 🇫🇷,🇩🇪,Germany
,frentzen,0.0,14,de,7,15.0,A17A5D,0736A5,Heinz-Harald Frentzen 🇩🇪,🇩🇪,Germany
,moreno,0.0,14,de,31,0.0,444444,888888,Roberto Moreno 🇧🇷,🇩🇪,Germany
,berger,0.0,14,de,6,28.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇩🇪,Germany
,boullion,0.0,14,de,14,3.0,A17A5D,0736A5,Jean-Christophe Boullion 🇫🇷,🇩🇪,Germany
,montermini,0.0,14,de,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇩🇪,Germany
,damon_hill,0.0,14,de,2,55.0,082957,EAE4ED,Damon Hill 🇬🇧,🇩🇪,Germany
,papis,0.0,13,pt,20,0.0,444444,888888,Massimiliano Papis 🇮🇹,🇵🇹,Portugal
,katayama,0.0,13,pt,19,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇵🇹,Portugal
,lamy,0.0,13,pt,25,0.0,444444,1B1D1D,Pedro Lamy 🇵🇹,🇵🇹,Portugal
,panis,0.0,13,pt,11,8.0,444444,0F5DBB,Olivier Panis 🇫🇷,🇵🇹,Portugal
,katayama,0.0,4,es,15,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇪🇸,Spain
,coulthard,0.0,4,es,6,9.0,082957,EAE4ED,David Coulthard 🇬🇧,🇪🇸,Spain
,hakkinen,0.0,4,es,7,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇪🇸,Spain
,alesi,0.0,4,es,3,14.0,16191A,EB212E,Jean Alesi 🇫🇷,🇪🇸,Spain
,badoer,0.0,4,es,25,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇪🇸,Spain
,mansell,0.0,4,es,20,0.0,0D1D20,FCA13B,Nigel Mansell 🇬🇧,🇪🇸,Spain
,diniz,0.0,4,es,19,0.0,444444,888888,Pedro Diniz 🇧🇷,🇪🇸,Spain
,montermini,0.0,4,es,18,0.0,444444,888888,Andrea Montermini 🇮🇹,🇪🇸,Spain
,hakkinen,0.0,13,pt,8,11.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇵🇹,Portugal
,montermini,0.0,13,pt,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇵🇹,Portugal
,moreno,0.0,12,it,31,0.0,444444,888888,Roberto Moreno 🇧🇷,🇮🇹,Italy
,montermini,0.0,12,it,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇮🇹,Italy
,lamy,0.0,12,it,25,0.0,444444,1B1D1D,Pedro Lamy 🇵🇹,🇮🇹,Italy
,brundle,0.0,12,it,12,7.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇮🇹,Italy
,coulthard,0.0,12,it,5,29.0,082957,EAE4ED,David Coulthard 🇬🇧,🇮🇹,Italy
,panis,0.0,12,it,11,8.0,444444,0F5DBB,Olivier Panis 🇫🇷,🇮🇹,Italy
,damon_hill,0.0,12,it,2,51.0,082957,EAE4ED,Damon Hill 🇬🇧,🇮🇹,Italy
,michael_schumacher,0.0,12,it,1,66.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇮🇹,Italy
,badoer,0.0,5,mc,26,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇲🇨,Monaco
,panis,0.0,5,mc,11,1.0,444444,0F5DBB,Olivier Panis 🇫🇷,🇲🇨,Monaco
,salo,0.0,5,mc,12,0.0,444444,274B72,Mika Salo 🇫🇮,🇲🇨,Monaco
,barrichello,0.0,5,mc,14,0.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇲🇨,Monaco
,alesi,0.0,5,mc,4,14.0,16191A,EB212E,Jean Alesi 🇫🇷,🇲🇨,Monaco
,brundle,0.0,5,mc,20,0.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇲🇨,Monaco
,katayama,0.0,5,mc,17,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇲🇨,Monaco
,montermini,0.0,5,mc,21,0.0,444444,888888,Andrea Montermini 🇮🇹,🇲🇨,Monaco
,irvine,0.0,5,mc,10,2.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇲🇨,Monaco
,coulthard,0.0,5,mc,6,9.0,082957,EAE4ED,David Coulthard 🇬🇧,🇲🇨,Monaco
,hakkinen,0.0,5,mc,7,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇲🇨,Monaco
,verstappen,0.0,5,mc,24,0.0,444444,888888,Jos Verstappen 🇳🇱,🇲🇨,Monaco
,schiattarella,0.0,5,mc,19,0.0,444444,888888,Domenico Schiattarella 🇮🇹,🇲🇨,Monaco
,badoer,0.0,12,it,21,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇮🇹,Italy
,berger,0.0,12,it,6,25.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇮🇹,Italy
,irvine,0.0,12,it,13,6.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇮🇹,Italy
,barrichello,0.0,12,it,10,8.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇮🇹,Italy
,alesi,0.0,12,it,4,32.0,16191A,EB212E,Jean Alesi 🇫🇷,🇮🇹,Italy
,hakkinen,0.0,11,be,13,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇧🇪,Belgium
,alesi,0.0,11,be,3,32.0,16191A,EB212E,Jean Alesi 🇫🇷,🇧🇪,Belgium
,coulthard,0.0,11,be,4,29.0,082957,EAE4ED,David Coulthard 🇬🇧,🇧🇪,Belgium
,montermini,0.0,11,be,21,0.0,444444,888888,Andrea Montermini 🇮🇹,🇧🇪,Belgium
,irvine,0.0,11,be,12,6.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇧🇪,Belgium
,berger,0.0,11,be,6,25.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇧🇪,Belgium
,martini,0.0,6,ca,15,0.0,444444,1B1D1D,Pierluigi Martini 🇮🇹,🇨🇦,Canada
,damon_hill,0.0,6,ca,2,29.0,082957,EAE4ED,Damon Hill 🇬🇧,🇨🇦,Canada
,blundell,0.0,6,ca,12,3.0,0D1D20,FCA13B,Mark Blundell 🇬🇧,🇨🇦,Canada
,katayama,0.0,6,ca,19,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇨🇦,Canada
,frentzen,0.0,6,ca,11,4.0,A17A5D,0736A5,Heinz-Harald Frentzen 🇩🇪,🇨🇦,Canada
,diniz,0.0,6,ca,24,0.0,444444,888888,Pedro Diniz 🇧🇷,🇨🇦,Canada
,boullion,0.0,6,ca,18,0.0,A17A5D,0736A5,Jean-Christophe Boullion 🇫🇷,🇨🇦,Canada
,montermini,0.0,6,ca,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇨🇦,Canada
,coulthard,0.0,6,ca,6,9.0,082957,EAE4ED,David Coulthard 🇬🇧,🇨🇦,Canada
,herbert,0.0,6,ca,5,12.0,444444,73C2FB,Johnny Herbert 🇬🇧,🇨🇦,Canada
,hakkinen,0.0,6,ca,9,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇨🇦,Canada
,badoer,0.0,11,be,20,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇧🇪,Belgium
,katayama,0.0,11,be,19,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇧🇪,Belgium
,hakkinen,0.0,10,hu,11,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇭🇺,Hungary
,moreno,0.0,10,hu,30,0.0,444444,888888,Roberto Moreno 🇧🇷,🇭🇺,Hungary
,inoue,0.0,10,hu,23,0.0,444444,888888,Taki Inoue 🇯🇵,🇭🇺,Hungary
,diniz,0.0,10,hu,25,0.0,444444,888888,Pedro Diniz 🇧🇷,🇭🇺,Hungary
,alesi,0.0,10,hu,3,32.0,16191A,EB212E,Jean Alesi 🇫🇷,🇭🇺,Hungary
,katayama,0.0,10,hu,19,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇭🇺,Hungary
,blundell,0.0,10,hu,12,5.0,0D1D20,FCA13B,Mark Blundell 🇬🇧,🇭🇺,Hungary
,salo,0.0,10,hu,17,0.0,444444,274B72,Mika Salo 🇫🇮,🇭🇺,Hungary
,brundle,0.0,10,hu,13,3.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇭🇺,Hungary
,irvine,0.0,10,hu,10,6.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇭🇺,Hungary
,salo,0.0,9,de,17,0.0,444444,274B72,Mika Salo 🇫🇮,🇩🇪,Germany
,damon_hill,0.0,9,de,2,35.0,082957,EAE4ED,Damon Hill 🇬🇧,🇩🇪,Germany
,diniz,0.0,9,de,24,0.0,444444,888888,Pedro Diniz 🇧🇷,🇩🇪,Germany
,inoue,0.0,9,de,23,0.0,444444,888888,Taki Inoue 🇯🇵,🇩🇪,Germany
,montermini,0.0,7,fr,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇫🇷,France
,boullion,0.0,7,fr,19,0.0,A17A5D,0736A5,Jean-Christophe Boullion 🇫🇷,🇫🇷,France
,martini,0.0,7,fr,16,0.0,444444,1B1D1D,Pierluigi Martini 🇮🇹,🇫🇷,France
,herbert,0.0,7,fr,6,12.0,444444,73C2FB,Johnny Herbert 🇬🇧,🇫🇷,France
,inoue,0.0,7,fr,22,0.0,444444,888888,Taki Inoue 🇯🇵,🇫🇷,France
,katayama,0.0,7,fr,20,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇫🇷,France
,diniz,0.0,7,fr,24,0.0,444444,888888,Pedro Diniz 🇧🇷,🇫🇷,France
,martini,0.0,9,de,18,0.0,444444,1B1D1D,Pierluigi Martini 🇮🇹,🇩🇪,Germany
,alesi,0.0,9,de,3,32.0,16191A,EB212E,Jean Alesi 🇫🇷,🇩🇪,Germany
,panis,0.0,9,de,8,7.0,444444,0F5DBB,Olivier Panis 🇫🇷,🇩🇪,Germany
,blundell,0.0,9,de,11,5.0,0D1D20,FCA13B,Mark Blundell 🇬🇧,🇩🇪,Germany
,barrichello,0.0,9,de,7,7.0,444444,FFFF01,Rubens Barrichello 🇧🇷,🇩🇪,Germany
,moreno,0.0,9,de,29,0.0,444444,888888,Roberto Moreno 🇧🇷,🇩🇪,Germany
,badoer,0.0,9,de,21,0.0,444444,1B1D1D,Luca Badoer 🇮🇹,🇩🇪,Germany
,frentzen,0.0,9,de,12,5.0,A17A5D,0736A5,Heinz-Harald Frentzen 🇩🇪,🇩🇪,Germany
,hakkinen,0.0,9,de,10,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇩🇪,Germany
,irvine,0.0,8,gb,9,6.0,444444,FFFF01,Eddie Irvine 🇬🇧,🇬🇧,UK
,diniz,0.0,8,gb,24,0.0,444444,888888,Pedro Diniz 🇧🇷,🇬🇧,UK
,inoue,0.0,8,gb,22,0.0,444444,888888,Taki Inoue 🇯🇵,🇬🇧,UK
,moreno,0.0,8,gb,29,0.0,444444,888888,Roberto Moreno 🇧🇷,🇬🇧,UK
,michael_schumacher,0.0,8,gb,1,46.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇬🇧,UK
,damon_hill,0.0,8,gb,2,35.0,082957,EAE4ED,Damon Hill 🇬🇧,🇬🇧,UK
,katayama,0.0,8,gb,20,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇬🇧,UK
,montermini,0.0,8,gb,23,0.0,444444,888888,Andrea Montermini 🇮🇹,🇬🇧,UK
,hakkinen,0.0,8,gb,10,5.0,0D1D20,FCA13B,Mika Häkkinen 🇫🇮,🇬🇧,UK
,berger,0.0,8,gb,6,17.0,16191A,EB212E,Gerhard Berger 🇦🇹,🇬🇧,UK
,brundle,0.0,8,gb,13,3.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇬🇧,UK
,katayama,0.0,17,au,20,0.0,444444,274B72,Ukyo Katayama 🇯🇵,🇦🇺,Australia
1,michael_schumacher,10.0,7,fr,1,46.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇫🇷,France
1,michael_schumacher,10.0,5,mc,1,34.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇲🇨,Monaco
1,alesi,10.0,6,ca,3,24.0,16191A,EB212E,Jean Alesi 🇫🇷,🇨🇦,Canada
1,michael_schumacher,10.0,9,de,1,56.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇩🇪,Germany
1,michael_schumacher,10.0,14,de,1,82.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇩🇪,Germany
1,damon_hill,10.0,2,ar,2,10.0,082957,EAE4ED,Damon Hill 🇬🇧,🇦🇷,Argentina
1,damon_hill,10.0,17,au,2,69.0,082957,EAE4ED,Damon Hill 🇬🇧,🇦🇺,Australia
1,damon_hill,10.0,3,it,1,20.0,082957,EAE4ED,Damon Hill 🇬🇧,🇮🇹,Italy
1,michael_schumacher,10.0,1,br,1,10.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇧🇷,Brazil
1,damon_hill,10.0,10,hu,2,45.0,082957,EAE4ED,Damon Hill 🇬🇧,🇭🇺,Hungary
1,herbert,10.0,12,it,3,38.0,444444,73C2FB,Johnny Herbert 🇬🇧,🇮🇹,Italy
1,michael_schumacher,10.0,16,jp,1,102.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇯🇵,Japan
1,michael_schumacher,10.0,15,jp,1,92.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇯🇵,Japan
1,coulthard,10.0,13,pt,3,39.0,082957,EAE4ED,David Coulthard 🇬🇧,🇵🇹,Portugal
1,herbert,10.0,8,gb,4,22.0,444444,73C2FB,Johnny Herbert 🇬🇧,🇬🇧,UK
1,michael_schumacher,10.0,11,be,1,66.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇧🇪,Belgium
1,michael_schumacher,10.0,4,es,1,24.0,444444,73C2FB,Michael Schumacher 🇩🇪,🇪🇸,Spain
10,magnussen,0.0,15,jp,27,0.0,0D1D20,FCA13B,Jan Magnussen 🇩🇰,🇯🇵,Japan
10,brundle,0.0,6,ca,20,0.0,444444,0F5DBB,Martin Brundle 🇬🇧,🇨🇦,Canada
10,boullion,0.0,10,hu,14,2.0,A17A5D,0736A5,Jean-Christophe Boullion 🇫🇷,🇭🇺,Hungary
10,lamy,0.0,11,be,22,0.0,444444,1B1D1D,Pedro Lamy 🇵🇹,🇧🇪,Belgium
