raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
199501,Brazilian Grand Prix,1,br,1995,1995-03-26T00:00:00.000Z,interlagos,,🇧🇷,Brazil
199502,Argentine Grand Prix,2,ar,1995,1995-04-09T00:00:00.000Z,galvez,,🇦🇷,Argentina
199503,San Marino Grand Prix,3,it,1995,1995-04-30T00:00:00.000Z,imola,,🇮🇹,Italy
199504,Spanish Grand Prix,4,es,1995,1995-05-14T00:00:00.000Z,catalunya,,🇪🇸,Spain
199505,Monaco Grand Prix,5,mc,1995,1995-05-28T00:00:00.000Z,monaco,,🇲🇨,Monaco
199506,Canadian Grand Prix,6,ca,1995,1995-06-11T00:00:00.000Z,villeneuve,,🇨🇦,Canada
199507,French Grand Prix,7,fr,1995,1995-07-02T00:00:00.000Z,magny_cours,,🇫🇷,France
199508,British Grand Prix,8,gb,1995,1995-07-16T00:00:00.000Z,silverstone,,🇬🇧,UK
199509,German Grand Prix,9,de,1995,1995-07-30T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
199510,Hungarian Grand Prix,10,hu,1995,1995-08-13T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
199511,Belgian Grand Prix,11,be,1995,1995-08-27T00:00:00.000Z,spa,,🇧🇪,Belgium
199512,Italian Grand Prix,12,it,1995,1995-09-10T00:00:00.000Z,monza,,🇮🇹,Italy
199513,Portuguese Grand Prix,13,pt,1995,1995-09-24T00:00:00.000Z,estoril,,🇵🇹,Portugal
199514,European Grand Prix,14,de,1995,1995-10-01T00:00:00.000Z,nurburgring,,🇩🇪,Germany
199515,Pacific Grand Prix,15,jp,1995,1995-10-22T00:00:00.000Z,okayama,,🇯🇵,Japan
199516,Japanese Grand Prix,16,jp,1995,1995-10-29T00:00:00.000Z,suzuka,,🇯🇵,Japan
199517,Australian Grand Prix,17,au,1995,1995-11-12T00:00:00.000Z,adelaide,,🇦🇺,Australia
