name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1951 German Grand Prix 🇩🇪,6,22,18,Ferrari 🇮🇹,1951-07-29,10,,1951,Alberto Ascari 🇮🇹
1951 Italian Grand Prix 🇮🇹,7,22,7,Ferrari 🇮🇹,1951-09-16,R,,1951,Alberto Ascari 🇮🇹
1953 German Grand Prix 🇩🇪,7,19,17,Ferrari 🇮🇹,1953-08-02,7,,1953,Nino Farina 🇮🇹
1953 Swiss Grand Prix 🇨🇭,8,13,0,Ferrari 🇮🇹,1953-08-23,R,,1953,Alberto Ascari 🇮🇹
1954 Belgian Grand Prix 🇧🇪,3,14,1,Maserati 🇮🇹,1954-06-20,R,,1954,Juan Fangio 🇦🇷
1954 Spanish Grand Prix 🇪🇸,9,19,16,Ferrari 🇮🇹,1954-10-24,R,,1954,Mike Hawthorn 🇬🇧
1954 Swiss Grand Prix 🇨🇭,7,16,58,Mercedes 🇩🇪,1954-08-22,8,,1954,Juan Fangio 🇦🇷
