raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198201,South African Grand Prix,1,za,1982,1982-01-23T00:00:00.000Z,kyalami,,🇿🇦,South Africa
198202,Brazilian Grand Prix,2,br,1982,1982-03-21T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
198203,United States Grand Prix West,3,us,1982,1982-04-04T00:00:00.000Z,long_beach,,🇺🇸,USA
198204,San Marino Grand Prix,4,it,1982,1982-04-25T00:00:00.000Z,imola,,🇮🇹,Italy
198205,Belgian Grand Prix,5,be,1982,1982-05-09T00:00:00.000Z,zolder,,🇧🇪,Belgium
198206,Monaco Grand Prix,6,mc,1982,1982-05-23T00:00:00.000Z,monaco,,🇲🇨,Monaco
198207,Detroit Grand Prix,7,us,1982,1982-06-06T00:00:00.000Z,detroit,,🇺🇸,USA
198208,Canadian Grand Prix,8,ca,1982,1982-06-13T00:00:00.000Z,villeneuve,,🇨🇦,Canada
198209,Dutch Grand Prix,9,nl,1982,1982-07-03T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
198210,British Grand Prix,10,gb,1982,1982-07-18T00:00:00.000Z,brands_hatch,,🇬🇧,UK
198211,French Grand Prix,11,fr,1982,1982-07-25T00:00:00.000Z,ricard,,🇫🇷,France
198212,German Grand Prix,12,de,1982,1982-08-08T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198213,Austrian Grand Prix,13,at,1982,1982-08-15T00:00:00.000Z,osterreichring,,🇦🇹,Austria
198214,Swiss Grand Prix,14,fr,1982,1982-08-29T00:00:00.000Z,dijon,,🇫🇷,France
198215,Italian Grand Prix,15,it,1982,1982-09-12T00:00:00.000Z,monza,,🇮🇹,Italy
198216,Caesars Palace Grand Prix,16,us,1982,1982-09-25T00:00:00.000Z,las_vegas,,🇺🇸,USA
