raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
197101,South African Grand Prix,1,za,1971,1971-03-06T00:00:00.000Z,kyalami,,🇿🇦,South Africa
197102,Spanish Grand Prix,2,es,1971,1971-04-18T00:00:00.000Z,montjuic,,🇪🇸,Spain
197103,Monaco Grand Prix,3,mc,1971,1971-05-23T00:00:00.000Z,monaco,,🇲🇨,Monaco
197104,Dutch Grand Prix,4,nl,1971,1971-06-20T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
197105,French Grand Prix,5,fr,1971,1971-07-04T00:00:00.000Z,ricard,,🇫🇷,France
197106,British Grand Prix,6,gb,1971,1971-07-17T00:00:00.000Z,silverstone,,🇬🇧,UK
197107,German Grand Prix,7,de,1971,1971-08-01T00:00:00.000Z,nurburgring,,🇩🇪,Germany
197108,Austrian Grand Prix,8,at,1971,1971-08-15T00:00:00.000Z,osterreichring,,🇦🇹,Austria
197109,Italian Grand Prix,9,it,1971,1971-09-05T00:00:00.000Z,monza,,🇮🇹,Italy
197110,Canadian Grand Prix,10,ca,1971,1971-09-19T00:00:00.000Z,mosport,,🇨🇦,Canada
197111,United States Grand Prix,11,us,1971,1971-10-03T00:00:00.000Z,watkins_glen,,🇺🇸,USA
