name,race_duration,round,season,laps_completed
Mexican Grand Prix,1:40:31.402,19,2016,71
Mexican Grand Prix,1:42:35.038,17,2015,71
Mexican Grand Prix,1:31:53.587,2,1992,69
Mexican Grand Prix,1:29:52.205,6,1991,67
Mexican Grand Prix,1:32:35.783,6,1990,69
Mexican Grand Prix,1:35:21.431,4,1989,69
Mexican Grand Prix,1:30:15.737,4,1988,67
Mexican Grand Prix,1:26:24.207,14,1987,63
Mexican Grand Prix,1:33:18.700,15,1986,68
Mexican Grand Prix,1:53:28.3,13,1970,65
Mexican Grand Prix,1:54:08.80,11,1969,65
Mexican Grand Prix,1:56:43.95,12,1968,65
Mexican Grand Prix,1:59:28.70,11,1967,65
Mexican Grand Prix,2:06:35.34,9,1966,65
Mexican Grand Prix,2:08:32.10,10,1965,65
Mexican Grand Prix,2:09:50.32,10,1964,65
Mexican Grand Prix,2:09:52.1,9,1963,65
