position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,trimmer,0.0,16,jp,47,0.0,444444,888888,Tony Trimmer 🇬🇧,🇯🇵,Japan
,peterson,0.0,16,jp,11,10.0,444444,E53524,Ronnie Peterson 🇸🇪,🇯🇵,Japan
,perkins,0.0,16,jp,24,0.0,444444,888888,Larry Perkins 🇦🇺,🇯🇵,Japan
,lauda,0.0,16,jp,2,68.0,16191A,EB212E,Niki Lauda 🇦🇹,🇯🇵,Japan
,pace,0.0,16,jp,14,7.0,444444,888888,Carlos Pace 🇧🇷,🇯🇵,Japan
,emerson_fittipaldi,0.0,16,jp,17,3.0,444444,888888,Emerson Fittipaldi 🇧🇷,🇯🇵,Japan
,merzario,0.0,16,jp,26,0.0,444444,A3805E,Arturo Merzario 🇮🇹,🇯🇵,Japan
,hoshino,0.0,16,jp,43,0.0,444444,274B72,Kazuyoshi Hoshino 🇯🇵,🇯🇵,Japan
,watson,0.0,16,jp,7,20.0,444444,2077C9,John Watson 🇬🇧,🇯🇵,Japan
,mass,0.0,16,jp,9,19.0,0D1D20,FCA13B,Jochen Mass 🇩🇪,🇯🇵,Japan
,stuck,0.0,16,jp,13,8.0,444444,E53524,Hans-Joachim Stuck 🇩🇪,🇯🇵,Japan
,brambilla,0.0,16,jp,19,1.0,444444,E53524,Vittorio Brambilla 🇮🇹,🇯🇵,Japan
,pryce,0.0,16,jp,12,10.0,444444,FA9B27,Tom Pryce 🇬🇧,🇯🇵,Japan
,binder,0.0,16,jp,41,0.0,444444,A3805E,Hans Binder 🇦🇹,🇯🇵,Japan
,jarier,0.0,1,br,15,0.0,444444,FA9B27,Jean-Pierre Jarier 🇫🇷,🇧🇷,Brazil
,brambilla,0.0,1,br,17,0.0,444444,E53524,Vittorio Brambilla 🇮🇹,🇧🇷,Brazil
,laffite,0.0,1,br,18,0.0,444444,0F5DBB,Jacques Laffite 🇫🇷,🇧🇷,Brazil
,peterson,0.0,1,br,19,0.0,444444,09630C,Ronnie Peterson 🇸🇪,🇧🇷,Brazil
,mario_andretti,0.0,1,br,20,0.0,444444,09630C,Mario Andretti 🇺🇸,🇧🇷,Brazil
,watson,0.0,1,br,21,0.0,444444,2077C9,John Watson 🇬🇧,🇧🇷,Brazil
,ashley,0.0,1,br,22,0.0,444444,144D44,Ian Ashley 🇬🇧,🇧🇷,Brazil
,scheckter,0.0,16,jp,3,49.0,444444,274B72,Jody Scheckter 🇿🇦,🇯🇵,Japan
,stuppacher,0.0,15,us,44,0.0,444444,274B72,Otto Stuppacher 🇦🇹,🇺🇸,USA
,depailler,0.0,15,us,4,33.0,444444,274B72,Patrick Depailler 🇫🇷,🇺🇸,USA
,merzario,0.0,15,us,26,0.0,444444,A3805E,Arturo Merzario 🇮🇹,🇺🇸,USA
,peterson,0.0,15,us,10,10.0,444444,E53524,Ronnie Peterson 🇸🇪,🇺🇸,USA
,nilsson,0.0,15,us,11,10.0,444444,09630C,Gunnar Nilsson 🇸🇪,🇺🇸,USA
,ickx,0.0,15,us,22,0.0,444444,888888,Jacky Ickx 🇧🇪,🇺🇸,USA
,mario_andretti,0.0,15,us,9,13.0,444444,09630C,Mario Andretti 🇺🇸,🇺🇸,USA
,perkins,0.0,15,us,24,0.0,444444,888888,Larry Perkins 🇦🇺,🇺🇸,USA
,pace,0.0,15,us,14,7.0,444444,888888,Carlos Pace 🇧🇷,🇺🇸,USA
,laffite,0.0,15,us,7,20.0,444444,0F5DBB,Jacques Laffite 🇫🇷,🇺🇸,USA
,brambilla,0.0,15,us,19,1.0,444444,E53524,Vittorio Brambilla 🇮🇹,🇺🇸,USA
,pryce,0.0,15,us,12,10.0,444444,FA9B27,Tom Pryce 🇬🇧,🇺🇸,USA
,pescarolo,0.0,15,us,25,0.0,444444,888888,Henri Pescarolo 🇫🇷,🇺🇸,USA
,stuppacher,0.0,14,ca,42,0.0,444444,274B72,Otto Stuppacher 🇦🇹,🇨🇦,Canada
,amon,0.0,14,ca,18,2.0,444444,A3805E,Chris Amon 🇳🇿,🇨🇦,Canada
,ertl,0.0,14,ca,23,0.0,444444,FFFFFF,Harald Ertl 🇦🇹,🇨🇦,Canada
,regazzoni,0.0,2,za,10,0.0,16191A,EB212E,Clay Regazzoni 🇨🇭,🇿🇦,South Africa
,laffite,0.0,2,za,25,0.0,444444,0F5DBB,Jacques Laffite 🇫🇷,🇿🇦,South Africa
,jarier,0.0,2,za,24,0.0,444444,FA9B27,Jean-Pierre Jarier 🇫🇷,🇿🇦,South Africa
,pace,0.0,2,za,14,0.0,444444,888888,Carlos Pace 🇧🇷,🇿🇦,South Africa
,nilsson,0.0,2,za,28,0.0,444444,09630C,Gunnar Nilsson 🇸🇪,🇿🇦,South Africa
,reutemann,0.0,2,za,18,0.0,444444,888888,Carlos Reutemann 🇦🇷,🇿🇦,South Africa
,peterson,0.0,2,za,26,0.0,444444,E53524,Ronnie Peterson 🇸🇪,🇿🇦,South Africa
,ian_scheckter,0.0,2,za,29,0.0,444444,274B72,Ian Scheckter 🇿🇦,🇿🇦,South Africa
,merzario,0.0,14,ca,26,0.0,444444,A3805E,Arturo Merzario 🇮🇹,🇨🇦,Canada
,stuck,0.0,14,ca,14,6.0,444444,E53524,Hans-Joachim Stuck 🇩🇪,🇨🇦,Canada
,emerson_fittipaldi,0.0,14,ca,17,3.0,444444,888888,Emerson Fittipaldi 🇧🇷,🇨🇦,Canada
,laffite,0.0,14,ca,6,20.0,444444,0F5DBB,Jacques Laffite 🇫🇷,🇨🇦,Canada
,stuppacher,0.0,13,it,47,0.0,444444,274B72,Otto Stuppacher 🇦🇹,🇮🇹,Italy
,merzario,0.0,13,it,26,0.0,444444,A3805E,Arturo Merzario 🇮🇹,🇮🇹,Italy
,edwards,0.0,13,it,35,0.0,444444,FFFFFF,Guy Edwards 🇬🇧,🇮🇹,Italy
,mass,0.0,13,it,8,14.0,0D1D20,FCA13B,Jochen Mass 🇩🇪,🇮🇹,Italy
,pace,0.0,13,it,13,7.0,444444,888888,Carlos Pace 🇧🇷,🇮🇹,Italy
,perkins,0.0,13,it,24,0.0,444444,888888,Larry Perkins 🇦🇺,🇮🇹,Italy
,jones,0.0,3,us,27,0.0,444444,888888,Alan Jones 🇦🇺,🇺🇸,USA
,watson,0.0,3,us,10,2.0,444444,2077C9,John Watson 🇬🇧,🇺🇸,USA
,scheckter,0.0,3,us,6,5.0,444444,274B72,Jody Scheckter 🇿🇦,🇺🇸,USA
,pryce,0.0,3,us,7,4.0,444444,FA9B27,Tom Pryce 🇬🇧,🇺🇸,USA
