name,race_duration,round,season,laps_completed
Belgian Grand Prix,1:39:52.02,6,1978,70
Belgian Grand Prix,1:27:03.217,3,1987,43
Belgian Grand Prix,1:37:06.3,5,1958,24
Belgian Grand Prix,1:44:51.058,13,2016,44
Belgian Grand Prix,1:28:00.549,11,1988,43
Belgian Grand Prix,2:21:37.3,5,1960,36
Belgian Grand Prix,1:29.04.268,13,2010,44
Belgian Grand Prix,2:03:03.8,3,1961,30
Belgian Grand Prix,1:40:54.196,11,1989,44
Belgian Grand Prix,1:20:39.066,14,2007,44
Belgian Grand Prix,1:55:05.71,7,1977,70
Belgian Grand Prix,1:08:05.002,14,2001,36
Belgian Grand Prix,1:26:31.997,11,1990,44
Belgian Grand Prix,2:07:32.3,3,1962,32
Belgian Grand Prix,2:27:47.6,2,1963,32
Belgian Grand Prix,1:28:14.494,13,2000,44
Belgian Grand Prix,1:42:53.23,5,1976,70
Belgian Grand Prix,1:27:17.669,11,1991,44
Belgian Grand Prix,2:06:40.5,3,1964,32
Belgian Grand Prix,1:24:36.556,12,2014,44
Belgian Grand Prix,1:36:10.721,12,1992,44
Belgian Grand Prix,1:25:43.057,12,1999,44
Belgian Grand Prix,1:43:53.98,6,1975,70
Belgian Grand Prix,1:24:32.124,12,1993,44
Belgian Grand Prix,1:23:50.995,12,2009,44
Belgian Grand Prix,2:23:34.8,3,1965,32
Belgian Grand Prix,2:09:11.3,2,1966,28
Belgian Grand Prix,1:28:47.1,11,1994,44
Belgian Grand Prix,1:40:49.4,4,1967,28
Belgian Grand Prix,1:40:02.1,4,1968,28
Belgian Grand Prix,1:44:20.57,5,1974,85
Belgian Grand Prix,1:23:42.196,11,2013,44
Belgian Grand Prix,1:43:47.407,13,1998,44
Belgian Grand Prix,1:36:47.875,11,1995,44
Belgian Grand Prix,1:38:10.1,4,1970,28
Belgian Grand Prix,1:28:15.125,13,1996,44
Belgian Grand Prix,1:22:59.394,13,2008,44
Belgian Grand Prix,1:42:13.43,5,1973,70
Belgian Grand Prix,1:44:07.3,5,1972,85
Belgian Grand Prix,1:38:47.4,5,1980,72
Brazilian Grand Prix,1:44:33.134,2,1982,63
Brazilian Grand Prix,3:01:01.335,20,2016,71
Brazilian Grand Prix,1:36:06.990,2,1997,72
Brazilian Grand Prix,1:49:52.976,2,1996,71
Brazilian Grand Prix,+1:38:34.154,1,1995,71
Brazilian Grand Prix,1:43:55.6,2,1973,40
Brazilian Grand Prix,1:30:02.555,18,2014,71
Brazilian Grand Prix,1:35:39.2,1,1994,71
Brazilian Grand Prix,1:34:11.435,18,2008,71
Brazilian Grand Prix,1:32:23.081,16,2009,71
Brazilian Grand Prix,1:37:12.2,2,1998,72
Brazilian Grand Prix,1:24:37.06,2,1974,32
Brazilian Grand Prix,1:51:15.485,2,1993,71
Brazilian Grand Prix,1:36:51.856,3,1992,71
Brazilian Grand Prix,1:36:03.785,2,1999,72
Brazilian Grand Prix,1:38:28.128,2,1991,71
Brazilian Grand Prix,1:32:36.300,19,2013,71
Brazilian Grand Prix,1:37:21.258,2,1990,71
Brazilian Grand Prix,1:31:35.271,2,2000,71
Brazilian Grand Prix,1:45:16.78,1,1976,40
Brazilian Grand Prix,1:33:11.803,18,2010,71
Brazilian Grand Prix,1:38:58.744,1,1989,61
Brazilian Grand Prix,1:45:07.72,2,1977,40
Brazilian Grand Prix,1:39:00.834,3,2001,71
Brazilian Grand Prix,1:28:15.270,17,2007,71
Brazilian Grand Prix,1:36:06.857,1,1988,60
Brazilian Grand Prix,1:39:45.141,1,1987,61
Brazilian Grand Prix,1:49:59.86,2,1978,63
Brazilian Grand Prix,1:39:32.583,1,1986,61
Brazilian Grand Prix,1:31:09.090,18,2015,71
Brazilian Grand Prix,1:31:43.662,3,2002,71
Brazilian Grand Prix,1:40:09.64,2,1979,40
Brazilian Grand Prix,1:32:17.464,19,2011,71
Brazilian Grand Prix,1:31:18.2,3,2003,54
Brazilian Grand Prix,1:40:01.33,2,1980,40
Brazilian Grand Prix,1:28:01.451,18,2004,71
Brazilian Grand Prix,1:41:26.115,1,1985,61
Brazilian Grand Prix,1:45:22.656,20,2012,71
Brazilian Grand Prix,1:42:34.492,1,1984,61
Brazilian Grand Prix,1:29:20.574,17,2005,71
Brazilian Grand Prix,2:00:23.66,2,1981,62
Brazilian Grand Prix,1:48:27.731,1,1983,63
Brazilian Grand Prix,1:31:53.751,18,2006,71
Brazilian Grand Prix,1:44:41.17,2,1975,40
British Grand Prix,1:31:27.729,9,2015,52
British Grand Prix,2:26:20.8,5,1962,75
British Grand Prix,1:31:46.06,10,1977,68
British Grand Prix,1:18:30.999,8,1990,64
British Grand Prix,3:06:37.8,5,1957,90
British Grand Prix,1:57:02.0,7,1970,80
British Grand Prix,1:30:03.640,8,1994,60
British Grand Prix,1:55:55.6,6,1969,84
British Grand Prix,1:32:30.144,8,1999,60
British Grand Prix,1:19:11.780,7,1987,65
British Grand Prix,1:24:29.588,11,2005,60
British Grand Prix,2:40:53.6,5,1961,75
British Grand Prix,1:30:38.471,9,1986,75
British Grand Prix,2:56:14.0,5,1954,90
British Grand Prix,2:14:09.6,5,1963,82
British Grand Prix,1:42:12.39,10,1978,76
British Grand Prix,2:13:23.6,1,1950,70
British Grand Prix,2:59:47.0,6,1956,101
British Grand Prix,1:25:38.189,9,1993,59
British Grand Prix,1:44:19.66,9,1976,76
British Grand Prix,2:09:04.2,7,1958,75
British Grand Prix,1:25:11.288,9,2012,52
British Grand Prix,1:34:35.093,8,1995,61
British Grand Prix,1:26:11.17,9,1979,68
British Grand Prix,1:21:43.074,9,2007,59
British Grand Prix,1:18:10.436,8,1985,65
British Grand Prix,2:26:52.094,9,2014,52
British Grand Prix,1:22:05.0,10,1975,56
British Grand Prix,1:31:31.5,6,1971,68
British Grand Prix,1:24.38.200,10,2010,52
British Grand Prix,2:04:24.3,7,1960,77
British Grand Prix,1:34:49.228,8,1980,76
British Grand Prix,2:42:18.2,5,1951,90
British Grand Prix,1:47:02.4,9,1998,60
British Grand Prix,1:33:16.367,8,1988,65
British Grand Prix,1:25:42.991,9,1992,59
British Grand Prix,1:26:54.80,9,1981,68
British Grand Prix,1:22:49.328,8,2009,60
British Grand Prix,1:28:50.108,4,2000,60
British Grand Prix,2:15:07.0,5,1964,80
British Grand Prix,2:46:11.0,5,1952,85
British Grand Prix,1:25:51.927,8,2006,60
British Grand Prix,1:43:02.2,10,1974,75
British Grand Prix,2:01:20.3,7,1968,80
British Grand Prix,3:07:21.2,6,1955,90
British Grand Prix,1:24:42.700,11,2004,60
British Grand Prix,1:28:37.554,11,2003,60
British Grand Prix,1:19:22.131,8,1989,64
British Grand Prix,1:33:00.874,10,1996,61
British Grand Prix,1:35:33.812,10,1982,76
British Grand Prix,1:29:28.532,10,1984,71
British Grand Prix,1:28:41.194,9,2011,52
British Grand Prix,1:27:35.479,8,1991,59
British Grand Prix,1:34:55.831,10,2016,52
British Grand Prix,2:50:00.0,6,1953,90
British Grand Prix,1:32:59.456,8,2013,52
British Grand Prix,1:29:18.5,9,1973,67
British Grand Prix,2:30:11.6,5,1959,75
British Grand Prix,2:05:25.4,5,1965,80
British Grand Prix,1:25:33.770,11,2001,60
British Grand Prix,1:28:01.665,9,1997,59
British Grand Prix,1:31:45.015,10,2002,60
British Grand Prix,2:13:13.4,4,1966,80
British Grand Prix,1:47:50.2,7,1972,76
British Grand Prix,1:39:09.440,9,2008,60
British Grand Prix,1:59:25.6,6,1967,80
British Grand Prix,1:24:39.780,9,1983,67
Caesars Palace Grand Prix,1:44:09.077,15,1981,75
Caesars Palace Grand Prix,1:41:56.888,16,1982,75
Canadian Grand Prix,1:21:18.4,11,1970,90
