raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198001,Argentine Grand Prix,1,ar,1980,1980-01-13T00:00:00.000Z,galvez,,🇦🇷,Argentina
198002,Brazilian Grand Prix,2,br,1980,1980-01-27T00:00:00.000Z,interlagos,,🇧🇷,Brazil
198003,South African Grand Prix,3,za,1980,1980-03-01T00:00:00.000Z,kyalami,,🇿🇦,South Africa
198004,United States Grand Prix West,4,us,1980,1980-03-30T00:00:00.000Z,long_beach,,🇺🇸,USA
198005,Belgian Grand Prix,5,be,1980,1980-05-04T00:00:00.000Z,zolder,,🇧🇪,Belgium
198006,Monaco Grand Prix,6,mc,1980,1980-05-18T00:00:00.000Z,monaco,,🇲🇨,Monaco
198007,French Grand Prix,7,fr,1980,1980-06-29T00:00:00.000Z,ricard,,🇫🇷,France
198008,British Grand Prix,8,gb,1980,1980-07-13T00:00:00.000Z,brands_hatch,,🇬🇧,UK
198009,German Grand Prix,9,de,1980,1980-08-10T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198010,Austrian Grand Prix,10,at,1980,1980-08-17T00:00:00.000Z,osterreichring,,🇦🇹,Austria
198011,Dutch Grand Prix,11,nl,1980,1980-08-31T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
198012,Italian Grand Prix,12,it,1980,1980-09-14T00:00:00.000Z,imola,,🇮🇹,Italy
198013,Canadian Grand Prix,13,ca,1980,1980-09-28T00:00:00.000Z,villeneuve,,🇨🇦,Canada
198014,United States Grand Prix,14,us,1980,1980-10-05T00:00:00.000Z,watkins_glen,,🇺🇸,USA
