name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
2014 Russian Grand Prix 🇷🇺,1:31:50.744,16,53,Mercedes 🇩🇪,2014-10-12T00:00:00.000Z,Sochi Autodrom,Lewis Hamilton 🇬🇧,2014
2015 Russian Grand Prix 🇷🇺,1:37:11.024,15,53,Mercedes 🇩🇪,2015-10-11T00:00:00.000Z,Sochi Autodrom,Lewis Hamilton 🇬🇧,2015
2016 Russian Grand Prix 🇷🇺,1:32:41.997,4,53,Mercedes 🇩🇪,2016-05-01T00:00:00.000Z,Sochi Autodrom,Nico Rosberg 🇩🇪,2016
2017 Russian Grand Prix 🇷🇺,1:28:08.743,4,52,Mercedes 🇩🇪,2017-04-30T00:00:00.000Z,Sochi Autodrom,Valtteri Bottas 🇫🇮,2017
