name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
Spanish Grand Prix,3:13:52.1,9,80,Ferrari 🇮🇹,1954-10-24,Mike Hawthorn 🇬🇧,1954
Spanish Grand Prix,2:46:54.10,8,70,Alfa Romeo 🇮🇹,1951-10-28,Juan Fangio 🇦🇷,1951
