raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
197301,Argentine Grand Prix,1,ar,1973,1973-01-28T00:00:00.000Z,galvez,,🇦🇷,Argentina
197302,Brazilian Grand Prix,2,br,1973,1973-02-11T00:00:00.000Z,interlagos,,🇧🇷,Brazil
197303,South African Grand Prix,3,za,1973,1973-03-03T00:00:00.000Z,kyalami,,🇿🇦,South Africa
197304,Spanish Grand Prix,4,es,1973,1973-04-29T00:00:00.000Z,montjuic,,🇪🇸,Spain
197305,Belgian Grand Prix,5,be,1973,1973-05-20T00:00:00.000Z,zolder,,🇧🇪,Belgium
197306,Monaco Grand Prix,6,mc,1973,1973-06-03T00:00:00.000Z,monaco,,🇲🇨,Monaco
197307,Swedish Grand Prix,7,se,1973,1973-06-17T00:00:00.000Z,anderstorp,,🇸🇪,Sweden
197308,French Grand Prix,8,fr,1973,1973-07-01T00:00:00.000Z,ricard,,🇫🇷,France
197309,British Grand Prix,9,gb,1973,1973-07-14T00:00:00.000Z,silverstone,,🇬🇧,UK
197310,Dutch Grand Prix,10,nl,1973,1973-07-29T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
197311,German Grand Prix,11,de,1973,1973-08-05T00:00:00.000Z,nurburgring,,🇩🇪,Germany
197312,Austrian Grand Prix,12,at,1973,1973-08-19T00:00:00.000Z,osterreichring,,🇦🇹,Austria
197313,Italian Grand Prix,13,it,1973,1973-09-09T00:00:00.000Z,monza,,🇮🇹,Italy
197314,Canadian Grand Prix,14,ca,1973,1973-09-23T00:00:00.000Z,mosport,,🇨🇦,Canada
197315,United States Grand Prix,15,us,1973,1973-10-07T00:00:00.000Z,watkins_glen,,🇺🇸,USA
