raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
200701,Australian Grand Prix,1,au,2007,2007-03-18T00:00:00.000Z,albert_park,03:00:00,🇦🇺,Australia
200702,Malaysian Grand Prix,2,my,2007,2007-04-08T00:00:00.000Z,sepang,07:00:00,🇲🇾,Malaysia
200703,Bahrain Grand Prix,3,bh,2007,2007-04-15T00:00:00.000Z,bahrain,11:30:00,🇧🇭,Bahrain
200704,Spanish Grand Prix,4,es,2007,2007-05-13T00:00:00.000Z,catalunya,12:00:00,🇪🇸,Spain
200705,Monaco Grand Prix,5,mc,2007,2007-05-27T00:00:00.000Z,monaco,12:00:00,🇲🇨,Monaco
200706,Canadian Grand Prix,6,ca,2007,2007-06-10T00:00:00.000Z,villeneuve,17:00:00,🇨🇦,Canada
200707,United States Grand Prix,7,us,2007,2007-06-17T00:00:00.000Z,indianapolis,17:00:00,🇺🇸,USA
200708,French Grand Prix,8,fr,2007,2007-07-01T00:00:00.000Z,magny_cours,12:00:00,🇫🇷,France
200709,British Grand Prix,9,gb,2007,2007-07-08T00:00:00.000Z,silverstone,12:00:00,🇬🇧,UK
200710,European Grand Prix,10,de,2007,2007-07-22T00:00:00.000Z,nurburgring,12:00:00,🇩🇪,Germany
200711,Hungarian Grand Prix,11,hu,2007,2007-08-05T00:00:00.000Z,hungaroring,12:00:00,🇭🇺,Hungary
200712,Turkish Grand Prix,12,tr,2007,2007-08-26T00:00:00.000Z,istanbul,12:00:00,🇹🇷,Turkey
200713,Italian Grand Prix,13,it,2007,2007-09-09T00:00:00.000Z,monza,12:00:00,🇮🇹,Italy
200714,Belgian Grand Prix,14,be,2007,2007-09-16T00:00:00.000Z,spa,12:00:00,🇧🇪,Belgium
200715,Japanese Grand Prix,15,jp,2007,2007-09-30T00:00:00.000Z,fuji,04:30:00,🇯🇵,Japan
200716,Chinese Grand Prix,16,cn,2007,2007-10-07T00:00:00.000Z,shanghai,06:00:00,🇨🇳,China
200717,Brazilian Grand Prix,17,br,2007,2007-10-21T00:00:00.000Z,interlagos,16:00:00,🇧🇷,Brazil
