name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1969 Spanish Grand Prix 🇪🇸,2:16:54.0,2,90,Matra-Ford 🇫🇷,1969-05-04T00:00:00.000Z,Jackie Stewart 🇬🇧,1969
1971 Spanish Grand Prix 🇪🇸,1:49:03.4,2,75,Tyrrell 🇬🇧,1971-04-18T00:00:00.000Z,Jackie Stewart 🇬🇧,1971
1973 Spanish Grand Prix 🇪🇸,1:48:18.7,4,75,Team Lotus 🇬🇧,1973-04-29T00:00:00.000Z,Emerson Fittipaldi 🇧🇷,1973
1975 Spanish Grand Prix 🇪🇸,42:53.7,4,29,McLaren 🇬🇧,1975-04-27T00:00:00.000Z,Jochen Mass 🇩🇪,1975
