name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
2005 Turkish Grand Prix 🇹🇷,1:24:34.454,14,58,McLaren 🇬🇧,2005-08-21T00:00:00.000Z,Istanbul Park,Kimi Räikkönen 🇫🇮,2005
2006 Turkish Grand Prix 🇹🇷,1:28:51.082,14,58,Ferrari 🇮🇹,2006-08-27T00:00:00.000Z,Istanbul Park,Felipe Massa 🇧🇷,2006
2007 Turkish Grand Prix 🇹🇷,1:26:42.161,12,58,Ferrari 🇮🇹,2007-08-26T00:00:00.000Z,Istanbul Park,Felipe Massa 🇧🇷,2007
2008 Turkish Grand Prix 🇹🇷,1:26:49.451,5,58,Ferrari 🇮🇹,2008-05-11T00:00:00.000Z,Istanbul Park,Felipe Massa 🇧🇷,2008
2009 Turkish Grand Prix 🇹🇷,1:26:24.848,7,58,Brawn 🇬🇧,2009-06-07T00:00:00.000Z,Istanbul Park,Jenson Button 🇬🇧,2009
2010 Turkish Grand Prix 🇹🇷,1:28:47.620,7,58,McLaren 🇬🇧,2010-05-30T00:00:00.000Z,Istanbul Park,Lewis Hamilton 🇬🇧,2010
2011 Turkish Grand Prix 🇹🇷,1:30:17.558,4,58,Red Bull 🇦🇹,2011-05-08T00:00:00.000Z,Istanbul Park,Sebastian Vettel 🇩🇪,2011
