raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
199301,South African Grand Prix,1,za,1993,1993-03-14T00:00:00.000Z,kyalami,,🇿🇦,South Africa
199302,Brazilian Grand Prix,2,br,1993,1993-03-28T00:00:00.000Z,interlagos,,🇧🇷,Brazil
199303,European Grand Prix,3,gb,1993,1993-04-11T00:00:00.000Z,donington,,🇬🇧,UK
199304,San Marino Grand Prix,4,it,1993,1993-04-25T00:00:00.000Z,imola,,🇮🇹,Italy
199305,Spanish Grand Prix,5,es,1993,1993-05-09T00:00:00.000Z,catalunya,,🇪🇸,Spain
199306,Monaco Grand Prix,6,mc,1993,1993-05-23T00:00:00.000Z,monaco,,🇲🇨,Monaco
199307,Canadian Grand Prix,7,ca,1993,1993-06-13T00:00:00.000Z,villeneuve,,🇨🇦,Canada
199308,French Grand Prix,8,fr,1993,1993-07-04T00:00:00.000Z,magny_cours,,🇫🇷,France
199309,British Grand Prix,9,gb,1993,1993-07-11T00:00:00.000Z,silverstone,,🇬🇧,UK
199310,German Grand Prix,10,de,1993,1993-07-25T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
199311,Hungarian Grand Prix,11,hu,1993,1993-08-15T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
199312,Belgian Grand Prix,12,be,1993,1993-08-29T00:00:00.000Z,spa,,🇧🇪,Belgium
199313,Italian Grand Prix,13,it,1993,1993-09-12T00:00:00.000Z,monza,,🇮🇹,Italy
199314,Portuguese Grand Prix,14,pt,1993,1993-09-26T00:00:00.000Z,estoril,,🇵🇹,Portugal
199315,Japanese Grand Prix,15,jp,1993,1993-10-24T00:00:00.000Z,suzuka,,🇯🇵,Japan
199316,Australian Grand Prix,16,au,1993,1993-11-07T00:00:00.000Z,adelaide,,🇦🇺,Australia
