surname,flag,forename,country
Abate,🇮🇹,Carlo,Italy
Alboreto,🇮🇹,Michele,Italy
Amati,🇮🇹,Giovanna,Italy
Apicella,🇮🇹,Marco,Italy
Ascari,🇮🇹,Alberto,Italy
Badoer,🇮🇹,Luca,Italy
Baghetti,🇮🇹,Giancarlo,Italy
Baldi,🇮🇹,Mauro,Italy
Bandini,🇮🇹,Lorenzo,Italy
Barbazza,🇮🇹,Fabrizio,Italy
Barilla,🇮🇹,Paolo,Italy
Bassi,🇮🇹,Giorgio,Italy
Bertaggia,🇮🇹,Enrico,Italy
Biondetti,🇮🇹,Clemente,Italy
Boffa,🇮🇹,Menato,Italy
Bonetto,🇮🇹,Felice,Italy
Brambilla,🇮🇹,Ernesto,Italy
Brambilla,🇮🇹,Vittorio,Italy
Brancatelli,🇮🇹,Gianfranco,Italy
Bruni,🇮🇹,Gianmaria,Italy
Bussinello,🇮🇹,Roberto,Italy
Cabianca,🇮🇹,Giulio,Italy
Caffi,🇮🇹,Alex,Italy
Capelli,🇮🇹,Ivan,Italy
Carini,🇮🇹,Piero,Italy
Castellotti,🇮🇹,Eugenio,Italy
Colombo,🇮🇹,Alberto,Italy
Comotti,🇮🇹,Franco,Italy
Drogo,🇮🇹,Piero,Italy
Dusio,🇮🇹,Piero,Italy
Fabi,🇮🇹,Corrado,Italy
Fabi,🇮🇹,Teo,Italy
Facetti,🇮🇹,Carlo,Italy
Fagioli,🇮🇹,Luigi,Italy
Farina,🇮🇹,Nino,Italy
Fisichella,🇮🇹,Giancarlo,Italy
Franchi,🇮🇹,Carlo,Italy
Francia,🇮🇹,Giorgio,Italy
Gabbiani,🇮🇹,Beppe,Italy
Galli,🇮🇹,Nanni,Italy
Gerini,🇮🇹,Gerino,Italy
Ghinzani,🇮🇹,Piercarlo,Italy
Giacomelli,🇮🇹,Bruno,Italy
Giovinazzi,🇮🇹,Antonio,Italy
Giunti,🇮🇹,Ignazio,Italy
Langes,🇮🇹,Claudio,Italy
Larini,🇮🇹,Nicola,Italy
Lavaggi,🇮🇹,Giovanni,Italy
Leoni,🇮🇹,Lamberto,Italy
Lippi,🇮🇹,Roberto,Italy
Liuzzi,🇮🇹,Vitantonio,Italy
Lombardi,🇮🇹,Lella,Italy
Maglioli,🇮🇹,Umberto,Italy
Mantovani,🇮🇹,Sergio,Italy
Martini,🇮🇹,Pierluigi,Italy
Merzario,🇮🇹,Arturo,Italy
Modena,🇮🇹,Stefano,Italy
Montermini,🇮🇹,Andrea,Italy
Morbidelli,🇮🇹,Gianni,Italy
Munaron,🇮🇹,Gino,Italy
Musso,🇮🇹,Luigi,Italy
Nannini,🇮🇹,Alessandro,Italy
Naspetti,🇮🇹,Emanuele,Italy
Natili,🇮🇹,Massimo,Italy
Pagani,🇮🇹,Nello,Italy
Paletti,🇮🇹,Riccardo,Italy
Pantano,🇮🇹,Giorgio,Italy
Papis,🇮🇹,Massimiliano,Italy
Patrese,🇮🇹,Riccardo,Italy
Perdisa,🇮🇹,Cesare,Italy
Pesenti-Rossi,🇮🇹,Alessandro,Italy
Piotti,🇮🇹,Luigi,Italy
Pirocchi,🇮🇹,Renato,Italy
Pirro,🇮🇹,Emanuele,Italy
Prinoth,🇮🇹,Ernesto,Italy
Rol,🇮🇹,Franco,Italy
Russo,🇮🇹,Giacomo,Italy
Sanesi,🇮🇹,Consalvo,Italy
Scarfiotti,🇮🇹,Ludovico,Italy
Scarlatti,🇮🇹,Giorgio,Italy
Schiattarella,🇮🇹,Domenico,Italy
Scotti,🇮🇹,Piero,Italy
Serafini,🇮🇹,Dorino,Italy
Sospiri,🇮🇹,Vincenzo,Italy
Starrabba,🇮🇹,Gaetano,Italy
Stohr,🇮🇹,Siegfried,Italy
Taramazzo,🇮🇹,Luigi,Italy
Tarquini,🇮🇹,Gabriele,Italy
Taruffi,🇮🇹,Piero,Italy
Trulli,🇮🇹,Jarno,Italy
Vaccarella,🇮🇹,Nino,Italy
Villoresi,🇮🇹,Luigi,Italy
Zanardi,🇮🇹,Alessandro,Italy
Zorzi,🇮🇹,Renzo,Italy
de Adamich,🇮🇹,Andrea,Italy
de Angelis,🇮🇹,Elio,Italy
de Cesaris,🇮🇹,Andrea,Italy
de Filippis,🇮🇹,Maria,Italy
de Riu,🇮🇹,Giovanni,Italy
