raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
196001,Argentine Grand Prix,1,ar,1960,1960-02-07T00:00:00.000Z,galvez,,🇦🇷,Argentina
196002,Monaco Grand Prix,2,mc,1960,1960-05-29T00:00:00.000Z,monaco,,🇲🇨,Monaco
196003,Indianapolis 500,3,us,1960,1960-05-30T00:00:00.000Z,indianapolis,,🇺🇸,USA
196004,Dutch Grand Prix,4,nl,1960,1960-06-06T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
196005,Belgian Grand Prix,5,be,1960,1960-06-19T00:00:00.000Z,spa,,🇧🇪,Belgium
196006,French Grand Prix,6,fr,1960,1960-07-03T00:00:00.000Z,reims,,🇫🇷,France
196007,British Grand Prix,7,gb,1960,1960-07-16T00:00:00.000Z,silverstone,,🇬🇧,UK
196008,Portuguese Grand Prix,8,pt,1960,1960-08-14T00:00:00.000Z,boavista,,🇵🇹,Portugal
196009,Italian Grand Prix,9,it,1960,1960-09-04T00:00:00.000Z,monza,,🇮🇹,Italy
196010,United States Grand Prix,10,us,1960,1960-11-20T00:00:00.000Z,riverside,,🇺🇸,USA
