name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1973 French Grand Prix 🇫🇷,8,5,54,Team Lotus 🇬🇧,1973-07-01,1,1:41:36.52,1973,Ronnie Peterson 🇸🇪
1973 German Grand Prix 🇩🇪,11,2,0,Tyrrell 🇬🇧,1973-08-05,R,,1973,Jackie Stewart 🇬🇧
1973 Italian Grand Prix 🇮🇹,13,1,55,Team Lotus 🇬🇧,1973-09-09,1,1:29:17.0,1973,Ronnie Peterson 🇸🇪
1973 Monaco Grand Prix 🇲🇨,6,2,77,Tyrrell 🇬🇧,1973-06-03,3,,1973,Jackie Stewart 🇬🇧
1973 South African Grand Prix 🇿🇦,3,4,73,Tyrrell 🇬🇧,1973-03-03,11,,1973,Jackie Stewart 🇬🇧
1973 Spanish Grand Prix 🇪🇸,4,1,56,Team Lotus 🇬🇧,1973-04-29,R,,1973,Emerson Fittipaldi 🇧🇷
1973 Swedish Grand Prix 🇸🇪,7,1,80,McLaren 🇬🇧,1973-06-17,2,+4.039,1973,Denny Hulme 🇳🇿
1973 United States Grand Prix 🇺🇸,15,1,59,Team Lotus 🇬🇧,1973-10-07,1,1:41:15.779,1973,Ronnie Peterson 🇸🇪
1974 Argentine Grand Prix 🇦🇷,1,1,48,McLaren 🇬🇧,1974-01-13,13,,1974,Denny Hulme 🇳🇿
1974 Austrian Grand Prix 🇦🇹,12,6,45,Brabham 🇬🇧,1974-08-18,R,,1974,Carlos Reutemann 🇦🇷
1974 Belgian Grand Prix 🇧🇪,5,5,56,McLaren 🇬🇧,1974-05-12,R,,1974,Emerson Fittipaldi 🇧🇷
1974 Brazilian Grand Prix 🇧🇷,2,4,31,McLaren 🇬🇧,1974-01-27,6,,1974,Emerson Fittipaldi 🇧🇷
1974 British Grand Prix 🇬🇧,10,2,73,Tyrrell 🇬🇧,1974-07-20,10,,1974,Jody Scheckter 🇿🇦
1974 Canadian Grand Prix 🇨🇦,14,10,80,McLaren 🇬🇧,1974-09-22,3,+14.494,1974,Emerson Fittipaldi 🇧🇷
1974 Dutch Grand Prix 🇳🇱,8,10,73,Ferrari 🇮🇹,1974-06-23,8,,1974,Niki Lauda 🇦🇹
1974 French Grand Prix 🇫🇷,9,2,80,Team Lotus 🇬🇧,1974-07-07,1,1:21:55.02,1974,Ronnie Peterson 🇸🇪
1974 German Grand Prix 🇩🇪,11,8,14,Ferrari 🇮🇹,1974-08-04,4,+1:24.2,1974,Clay Regazzoni 🇨🇭
1974 Italian Grand Prix 🇮🇹,13,7,52,Team Lotus 🇬🇧,1974-09-08,1,1:22:56.6,1974,Ronnie Peterson 🇸🇪
1974 Monaco Grand Prix 🇲🇨,6,3,78,Team Lotus 🇬🇧,1974-05-26,1,1:58:03.7,1974,Ronnie Peterson 🇸🇪
1974 South African Grand Prix 🇿🇦,3,16,2,Brabham 🇬🇧,1974-03-30,R,,1974,Carlos Reutemann 🇦🇷
1974 Spanish Grand Prix 🇪🇸,4,2,23,Ferrari 🇮🇹,1974-04-28,R,,1974,Niki Lauda 🇦🇹
1974 Swedish Grand Prix 🇸🇪,7,5,8,Tyrrell 🇬🇧,1974-06-09,R,,1974,Jody Scheckter 🇿🇦
1974 United States Grand Prix 🇺🇸,15,19,52,Brabham 🇬🇧,1974-10-06,R,,1974,Carlos Reutemann 🇦🇷
1975 Argentine Grand Prix 🇦🇷,1,11,15,McLaren 🇬🇧,1975-01-12,R,,1975,Emerson Fittipaldi 🇧🇷
1975 Austrian Grand Prix 🇦🇹,12,13,29,March 🇬🇧,1975-08-17,5,+1:23.33,1975,Vittorio Brambilla 🇮🇹
1975 Belgian Grand Prix 🇧🇪,6,14,36,Ferrari 🇮🇹,1975-05-25,R,,1975,Niki Lauda 🇦🇹
1975 Brazilian Grand Prix 🇧🇷,2,16,38,Brabham 🇬🇧,1975-01-26,15,,1975,Carlos Pace 🇧🇷
1975 British Grand Prix 🇬🇧,10,16,7,McLaren 🇬🇧,1975-07-19,R,,1975,Emerson Fittipaldi 🇧🇷
1975 Dutch Grand Prix 🇳🇱,8,16,69,Hesketh 🇬🇧,1975-06-22,15,,1975,James Hunt 🇬🇧
1975 French Grand Prix 🇫🇷,9,17,54,Ferrari 🇮🇹,1975-07-06,10,+1:36.02,1975,Niki Lauda 🇦🇹
1975 German Grand Prix 🇩🇪,11,18,1,Brabham 🇬🇧,1975-08-03,R,,1975,Carlos Reutemann 🇦🇷
1975 Italian Grand Prix 🇮🇹,13,11,1,Ferrari 🇮🇹,1975-09-07,R,,1975,Clay Regazzoni 🇨🇭
1975 Monaco Grand Prix 🇲🇨,5,4,75,Ferrari 🇮🇹,1975-05-11,4,+38.45,1975,Niki Lauda 🇦🇹
1975 South African Grand Prix 🇿🇦,3,8,77,Tyrrell 🇬🇧,1975-03-01,10,,1975,Jody Scheckter 🇿🇦
1975 Spanish Grand Prix 🇪🇸,4,12,23,McLaren 🇬🇧,1975-04-27,R,,1975,Jochen Mass 🇩🇪
1975 Swedish Grand Prix 🇸🇪,7,9,79,Ferrari 🇮🇹,1975-06-08,9,,1975,Niki Lauda 🇦🇹
1975 United States Grand Prix 🇺🇸,14,14,59,Ferrari 🇮🇹,1975-10-05,5,+49.986,1975,Niki Lauda 🇦🇹
1976 Austrian Grand Prix 🇦🇹,11,3,54,Penske 🇺🇸,1976-08-15,6,+34.34,1976,John Watson 🇬🇧
1976 Belgian Grand Prix 🇧🇪,5,10,16,Ferrari 🇮🇹,1976-05-16,R,,1976,Niki Lauda 🇦🇹
1976 Brazilian Grand Prix 🇧🇷,1,18,10,Ferrari 🇮🇹,1976-01-25,R,,1976,Niki Lauda 🇦🇹
1976 British Grand Prix 🇬🇧,9,7,60,Ferrari 🇮🇹,1976-07-18,R,,1976,Niki Lauda 🇦🇹
1976 Canadian Grand Prix 🇨🇦,14,2,79,McLaren 🇬🇧,1976-10-03,9,,1976,James Hunt 🇬🇧
1976 Dutch Grand Prix 🇳🇱,12,1,52,McLaren 🇬🇧,1976-08-29,R,,1976,James Hunt 🇬🇧
1976 French Grand Prix 🇫🇷,8,6,51,McLaren 🇬🇧,1976-07-04,19,,1976,James Hunt 🇬🇧
1976 German Grand Prix 🇩🇪,10,11,0,McLaren 🇬🇧,1976-08-01,R,,1976,James Hunt 🇬🇧
1976 Italian Grand Prix 🇮🇹,13,8,52,March 🇬🇧,1976-09-12,1,1:30:35.6,1976,Ronnie Peterson 🇸🇪
1976 Japanese Grand Prix 🇯🇵,16,9,0,Team Lotus 🇬🇧,1976-10-24,R,,1976,Mario Andretti 🇺🇸
1976 Monaco Grand Prix 🇲🇨,6,3,26,Ferrari 🇮🇹,1976-05-30,R,,1976,Niki Lauda 🇦🇹
1976 South African Grand Prix 🇿🇦,2,13,15,Ferrari 🇮🇹,1976-03-06,R,,1976,Niki Lauda 🇦🇹
1976 Spanish Grand Prix 🇪🇸,4,16,11,McLaren 🇬🇧,1976-05-02,R,,1976,James Hunt 🇬🇧
1976 Swedish Grand Prix 🇸🇪,7,9,72,Tyrrell 🇬🇧,1976-06-13,7,+1:03.493,1976,Jody Scheckter 🇿🇦
1976 United States Grand Prix West 🇺🇸,3,6,77,Ferrari 🇮🇹,1976-03-28,10,,1976,Clay Regazzoni 🇨🇭
1976 United States Grand Prix 🇺🇸,15,3,12,McLaren 🇬🇧,1976-10-10,R,,1976,James Hunt 🇬🇧
1977 Argentine Grand Prix 🇦🇷,1,14,28,Wolf 🇨🇦,1977-01-09,R,,1977,Jody Scheckter 🇿🇦
1977 Austrian Grand Prix 🇦🇹,12,15,54,Shadow 🇬🇧,1977-08-14,5,+72.09,1977,Alan Jones 🇦🇺
1977 Belgian Grand Prix 🇧🇪,7,8,70,Team Lotus 🇬🇧,1977-06-05,3,+19.95,1977,Gunnar Nilsson 🇸🇪
1977 Brazilian Grand Prix 🇧🇷,2,8,12,Ferrari 🇮🇹,1977-01-23,R,,1977,Carlos Reutemann 🇦🇷
1977 British Grand Prix 🇬🇧,10,16,3,McLaren 🇬🇧,1977-07-16,R,,1977,James Hunt 🇬🇧
1977 Canadian Grand Prix 🇨🇦,16,3,34,Wolf 🇨🇦,1977-10-09,R,,1977,Jody Scheckter 🇿🇦
1977 Dutch Grand Prix 🇳🇱,13,7,18,Ferrari 🇮🇹,1977-08-28,R,,1977,Niki Lauda 🇦🇹
1977 French Grand Prix 🇫🇷,9,17,77,Team Lotus 🇬🇧,1977-07-03,12,,1977,Mario Andretti 🇺🇸
1977 German Grand Prix 🇩🇪,11,14,42,Ferrari 🇮🇹,1977-07-31,9,,1977,Niki Lauda 🇦🇹
1977 Italian Grand Prix 🇮🇹,14,12,52,Team Lotus 🇬🇧,1977-09-11,6,+1:19.22,1977,Mario Andretti 🇺🇸
1977 Japanese Grand Prix 🇯🇵,17,18,5,McLaren 🇬🇧,1977-10-23,R,,1977,James Hunt 🇬🇧
1977 Monaco Grand Prix 🇲🇨,6,4,10,Wolf 🇨🇦,1977-05-22,R,,1977,Jody Scheckter 🇿🇦
1977 South African Grand Prix 🇿🇦,3,7,5,Ferrari 🇮🇹,1977-03-05,R,,1977,Niki Lauda 🇦🇹
