name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1961 United States Grand Prix 🇺🇸,2:13:45.8,8,100,Lotus-Climax 🇬🇧,1961-10-08T00:00:00.000Z,Innes Ireland 🇬🇧,1961
1962 United States Grand Prix 🇺🇸,2:07:13.0,8,100,Lotus-Climax 🇬🇧,1962-10-07T00:00:00.000Z,Jim Clark 🇬🇧,1962
1963 United States Grand Prix 🇺🇸,2:19:22.1,8,110,BRM 🇬🇧,1963-10-06T00:00:00.000Z,Graham Hill 🇬🇧,1963
1964 United States Grand Prix 🇺🇸,2:16:38.0,9,110,BRM 🇬🇧,1964-10-04T00:00:00.000Z,Graham Hill 🇬🇧,1964
1965 United States Grand Prix 🇺🇸,2:20:36.1,9,110,BRM 🇬🇧,1965-10-03T00:00:00.000Z,Graham Hill 🇬🇧,1965
1966 United States Grand Prix 🇺🇸,2:09:40.11,8,108,Lotus-BRM 🇬🇧,1966-10-02T00:00:00.000Z,Jim Clark 🇬🇧,1966
1967 United States Grand Prix 🇺🇸,2:03:13.2,10,108,Lotus-Ford 🇬🇧,1967-10-01T00:00:00.000Z,Jim Clark 🇬🇧,1967
1968 United States Grand Prix 🇺🇸,1:59:20.29,11,108,Matra-Ford 🇫🇷,1968-10-06T00:00:00.000Z,Jackie Stewart 🇬🇧,1968
1969 United States Grand Prix 🇺🇸,1:57:56.84,10,108,Lotus-Ford 🇬🇧,1969-10-05T00:00:00.000Z,Jochen Rindt 🇦🇹,1969
1970 United States Grand Prix 🇺🇸,1:57:32.79,12,108,Team Lotus 🇬🇧,1970-10-04T00:00:00.000Z,Emerson Fittipaldi 🇧🇷,1970
1971 United States Grand Prix 🇺🇸,1:43:51.991,11,59,Tyrrell 🇬🇧,1971-10-03T00:00:00.000Z,François Cevert 🇫🇷,1971
1972 United States Grand Prix 🇺🇸,1:41:45.354,12,59,Tyrrell 🇬🇧,1972-10-08T00:00:00.000Z,Jackie Stewart 🇬🇧,1972
1973 United States Grand Prix 🇺🇸,1:41:15.779,15,59,Team Lotus 🇬🇧,1973-10-07T00:00:00.000Z,Ronnie Peterson 🇸🇪,1973
1974 United States Grand Prix 🇺🇸,1:40:21.439,15,59,Brabham 🇬🇧,1974-10-06T00:00:00.000Z,Carlos Reutemann 🇦🇷,1974
1975 United States Grand Prix 🇺🇸,1:42:58.175,14,59,Ferrari 🇮🇹,1975-10-05T00:00:00.000Z,Niki Lauda 🇦🇹,1975
1976 United States Grand Prix 🇺🇸,1:42:40.742,15,59,McLaren 🇬🇧,1976-10-10T00:00:00.000Z,James Hunt 🇬🇧,1976
1977 United States Grand Prix 🇺🇸,1:58:23.267,15,59,McLaren 🇬🇧,1977-10-02T00:00:00.000Z,James Hunt 🇬🇧,1977
1978 United States Grand Prix 🇺🇸,1:40:48.800,15,59,Ferrari 🇮🇹,1978-10-01T00:00:00.000Z,Carlos Reutemann 🇦🇷,1978
1979 United States Grand Prix 🇺🇸,1:52:17.734,15,59,Ferrari 🇮🇹,1979-10-07T00:00:00.000Z,Gilles Villeneuve 🇨🇦,1979
1980 United States Grand Prix 🇺🇸,1:34:36.05,14,59,Williams 🇬🇧,1980-10-05T00:00:00.000Z,Alan Jones 🇦🇺,1980
