position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,friesacher,0.0,10,fr,21,3.0,444444,1B1D1D,Patrick Friesacher 🇦🇹,🇫🇷,France
,massa,0.0,10,fr,12,7.0,A17A5D,0736A5,Felipe Massa 🇧🇷,🇫🇷,France
,montoya,0.0,19,cn,4,60.0,0D1D20,FCA13B,Juan Pablo Montoya 🇨🇴,🇨🇳,China
,karthikeyan,0.0,19,cn,18,5.0,444444,FFFF01,Narain Karthikeyan 🇮🇳,🇨🇳,China
,sato,0.0,19,cn,23,1.0,444444,FFFFFF,Takuma Sato 🇯🇵,🇨🇳,China
,sato,0.0,18,jp,23,1.0,444444,FFFFFF,Takuma Sato 🇯🇵,🇯🇵,Japan
,montoya,0.0,18,jp,4,60.0,0D1D20,FCA13B,Juan Pablo Montoya 🇨🇴,🇯🇵,Japan
,trulli,0.0,18,jp,6,43.0,444444,D70028,Jarno Trulli 🇮🇹,🇯🇵,Japan
,pizzonia,0.0,18,jp,22,2.0,082957,EAE4ED,Antônio Pizzonia 🇧🇷,🇯🇵,Japan
,coulthard,0.0,17,br,12,21.0,FDCC2F,121D32,David Coulthard 🇬🇧,🇧🇷,Brazil
,pizzonia,0.0,17,br,22,2.0,082957,EAE4ED,Antônio Pizzonia 🇧🇷,🇧🇷,Brazil
,doornbos,0.0,17,br,25,0.0,444444,1B1D1D,Robert Doornbos 🇳🇱,🇧🇷,Brazil
,webber,0.0,17,br,10,29.0,082957,EAE4ED,Mark Webber 🇦🇺,🇧🇷,Brazil
,monteiro,0.0,17,br,15,7.0,444444,FFFF01,Tiago Monteiro 🇵🇹,🇧🇷,Brazil
,fisichella,0.0,16,be,6,41.0,424B52,FDE139,Giancarlo Fisichella 🇮🇹,🇧🇪,Belgium
,michael_schumacher,0.0,16,be,3,55.0,16191A,EB212E,Michael Schumacher 🇩🇪,🇧🇪,Belgium
,coulthard,0.0,16,be,12,21.0,FDCC2F,121D32,David Coulthard 🇬🇧,🇧🇪,Belgium
