name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
2016 European Grand Prix 🇦🇿,1:32:52.366,8,51,Mercedes 🇩🇪,2016-06-19,Baku City Circuit,Nico Rosberg 🇩🇪,2016
2017 Azerbaijan Grand Prix 🇦🇿,2:03:55.573,8,51,Red Bull 🇦🇹,2017-06-25,Baku City Circuit,Daniel Ricciardo 🇦🇺,2017
