surname,flag,forename,country
Cantoni,🇺🇾,Eitel,Uruguay
Fontes,🇺🇾,Azdrubal,Uruguay
González,🇺🇾,Óscar,Uruguay
Uria,🇺🇾,Alberto,Uruguay
