raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
197901,Argentine Grand Prix,1,ar,1979,1979-01-21T00:00:00.000Z,galvez,,🇦🇷,Argentina
197902,Brazilian Grand Prix,2,br,1979,1979-02-04T00:00:00.000Z,interlagos,,🇧🇷,Brazil
197903,South African Grand Prix,3,za,1979,1979-03-03T00:00:00.000Z,kyalami,,🇿🇦,South Africa
197904,United States Grand Prix West,4,us,1979,1979-04-08T00:00:00.000Z,long_beach,,🇺🇸,USA
197905,Spanish Grand Prix,5,es,1979,1979-04-29T00:00:00.000Z,jarama,,🇪🇸,Spain
197906,Belgian Grand Prix,6,be,1979,1979-05-13T00:00:00.000Z,zolder,,🇧🇪,Belgium
197907,Monaco Grand Prix,7,mc,1979,1979-05-27T00:00:00.000Z,monaco,,🇲🇨,Monaco
197908,French Grand Prix,8,fr,1979,1979-07-01T00:00:00.000Z,dijon,,🇫🇷,France
197909,British Grand Prix,9,gb,1979,1979-07-14T00:00:00.000Z,silverstone,,🇬🇧,UK
197910,German Grand Prix,10,de,1979,1979-07-29T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
197911,Austrian Grand Prix,11,at,1979,1979-08-12T00:00:00.000Z,osterreichring,,🇦🇹,Austria
197912,Dutch Grand Prix,12,nl,1979,1979-08-26T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
197913,Italian Grand Prix,13,it,1979,1979-09-09T00:00:00.000Z,monza,,🇮🇹,Italy
197914,Canadian Grand Prix,14,ca,1979,1979-09-30T00:00:00.000Z,villeneuve,,🇨🇦,Canada
197915,United States Grand Prix,15,us,1979,1979-10-07T00:00:00.000Z,watkins_glen,,🇺🇸,USA
