name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2014 British Grand Prix 🇬🇧,9,10,51,Mercedes 🇩🇪,2014-07-06,10,,2014,Lewis Hamilton 🇬🇧
2014 Canadian Grand Prix 🇨🇦,7,8,70,Red Bull 🇦🇹,2014-06-08,8,+28.026,2014,Daniel Ricciardo 🇦🇺
2014 Chinese Grand Prix 🇨🇳,4,9,53,Mercedes 🇩🇪,2014-04-20,12,,2014,Lewis Hamilton 🇬🇧
2014 German Grand Prix 🇩🇪,10,13,66,Mercedes 🇩🇪,2014-07-20,13,,2014,Nico Rosberg 🇩🇪
2014 Hungarian Grand Prix 🇭🇺,11,8,70,Red Bull 🇦🇹,2014-07-27,9,+58.527,2014,Daniel Ricciardo 🇦🇺
2014 Italian Grand Prix 🇮🇹,13,12,53,Mercedes 🇩🇪,2014-09-07,13,+1:13.093,2014,Lewis Hamilton 🇬🇧
2014 Japanese Grand Prix 🇯🇵,15,20,44,Mercedes 🇩🇪,2014-10-05,9,+2:07.638,2014,Lewis Hamilton 🇬🇧
2014 Malaysian Grand Prix 🇲🇾,2,9,18,Mercedes 🇩🇪,2014-03-30,R,,2014,Lewis Hamilton 🇬🇧
2014 Monaco Grand Prix 🇲🇨,6,7,50,Mercedes 🇩🇪,2014-05-25,R,,2014,Nico Rosberg 🇩🇪
2014 Russian Grand Prix 🇷🇺,16,9,53,Mercedes 🇩🇪,2014-10-12,13,+1:37.295,2014,Lewis Hamilton 🇬🇧
2014 Singapore Grand Prix 🇸🇬,14,12,60,Mercedes 🇩🇪,2014-09-21,6,+56.801,2014,Lewis Hamilton 🇬🇧
2014 Spanish Grand Prix 🇪🇸,5,21,24,Mercedes 🇩🇪,2014-05-11,R,,2014,Lewis Hamilton 🇬🇧
2014 United States Grand Prix 🇺🇸,17,14,56,Mercedes 🇩🇪,2014-11-02,10,+1:48.863,2014,Lewis Hamilton 🇬🇧
