raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
200801,Australian Grand Prix,1,au,2008,2008-03-16T00:00:00.000Z,albert_park,04:30:00,🇦🇺,Australia
200802,Malaysian Grand Prix,2,my,2008,2008-03-23T00:00:00.000Z,sepang,07:00:00,🇲🇾,Malaysia
200803,Bahrain Grand Prix,3,bh,2008,2008-04-06T00:00:00.000Z,bahrain,11:30:00,🇧🇭,Bahrain
200804,Spanish Grand Prix,4,es,2008,2008-04-27T00:00:00.000Z,catalunya,12:00:00,🇪🇸,Spain
200805,Turkish Grand Prix,5,tr,2008,2008-05-11T00:00:00.000Z,istanbul,12:00:00,🇹🇷,Turkey
200806,Monaco Grand Prix,6,mc,2008,2008-05-25T00:00:00.000Z,monaco,12:00:00,🇲🇨,Monaco
200807,Canadian Grand Prix,7,ca,2008,2008-06-08T00:00:00.000Z,villeneuve,17:00:00,🇨🇦,Canada
200808,French Grand Prix,8,fr,2008,2008-06-22T00:00:00.000Z,magny_cours,12:00:00,🇫🇷,France
200809,British Grand Prix,9,gb,2008,2008-07-06T00:00:00.000Z,silverstone,12:00:00,🇬🇧,UK
200810,German Grand Prix,10,de,2008,2008-07-20T00:00:00.000Z,hockenheimring,12:00:00,🇩🇪,Germany
200811,Hungarian Grand Prix,11,hu,2008,2008-08-03T00:00:00.000Z,hungaroring,12:00:00,🇭🇺,Hungary
200812,European Grand Prix,12,es,2008,2008-08-24T00:00:00.000Z,valencia,12:00:00,🇪🇸,Spain
200813,Belgian Grand Prix,13,be,2008,2008-09-07T00:00:00.000Z,spa,12:00:00,🇧🇪,Belgium
200814,Italian Grand Prix,14,it,2008,2008-09-14T00:00:00.000Z,monza,12:00:00,🇮🇹,Italy
200815,Singapore Grand Prix,15,sg,2008,2008-09-28T00:00:00.000Z,marina_bay,12:00:00,🇸🇬,Singapore
200816,Japanese Grand Prix,16,jp,2008,2008-10-12T00:00:00.000Z,fuji,04:30:00,🇯🇵,Japan
200817,Chinese Grand Prix,17,cn,2008,2008-10-19T00:00:00.000Z,shanghai,07:00:00,🇨🇳,China
200818,Brazilian Grand Prix,18,br,2008,2008-11-02T00:00:00.000Z,interlagos,17:00:00,🇧🇷,Brazil
