raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
200201,Australian Grand Prix,1,au,2002,2002-03-03T00:00:00.000Z,albert_park,,🇦🇺,Australia
200202,Malaysian Grand Prix,2,my,2002,2002-03-17T00:00:00.000Z,sepang,,🇲🇾,Malaysia
200203,Brazilian Grand Prix,3,br,2002,2002-03-31T00:00:00.000Z,interlagos,,🇧🇷,Brazil
200204,San Marino Grand Prix,4,it,2002,2002-04-14T00:00:00.000Z,imola,,🇮🇹,Italy
200205,Spanish Grand Prix,5,es,2002,2002-04-28T00:00:00.000Z,catalunya,,🇪🇸,Spain
200206,Austrian Grand Prix,6,at,2002,2002-05-12T00:00:00.000Z,osterreichring,,🇦🇹,Austria
200207,Monaco Grand Prix,7,mc,2002,2002-05-26T00:00:00.000Z,monaco,,🇲🇨,Monaco
200208,Canadian Grand Prix,8,ca,2002,2002-06-09T00:00:00.000Z,villeneuve,,🇨🇦,Canada
200209,European Grand Prix,9,de,2002,2002-06-23T00:00:00.000Z,nurburgring,,🇩🇪,Germany
200210,British Grand Prix,10,gb,2002,2002-07-07T00:00:00.000Z,silverstone,,🇬🇧,UK
200211,French Grand Prix,11,fr,2002,2002-07-21T00:00:00.000Z,magny_cours,,🇫🇷,France
200212,German Grand Prix,12,de,2002,2002-07-28T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
200213,Hungarian Grand Prix,13,hu,2002,2002-08-18T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
200214,Belgian Grand Prix,14,be,2002,2002-09-01T00:00:00.000Z,spa,,🇧🇪,Belgium
200215,Italian Grand Prix,15,it,2002,2002-09-15T00:00:00.000Z,monza,,🇮🇹,Italy
200216,United States Grand Prix,16,us,2002,2002-09-29T00:00:00.000Z,indianapolis,,🇺🇸,USA
200217,Japanese Grand Prix,17,jp,2002,2002-10-13T00:00:00.000Z,suzuka,,🇯🇵,Japan
