name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1990 Italian Grand Prix 🇮🇹,1:17:57.878,12,53,McLaren 🇬🇧,1990-09-09,Ayrton Senna 🇧🇷,1990
1991 Italian Grand Prix 🇮🇹,1:17:54.319,12,53,Williams 🇬🇧,1991-09-08,Nigel Mansell 🇬🇧,1991
1992 Italian Grand Prix 🇮🇹,1:18:15.349,13,53,McLaren 🇬🇧,1992-09-13,Ayrton Senna 🇧🇷,1992
1993 Italian Grand Prix 🇮🇹,1:17:07.509,13,53,Williams 🇬🇧,1993-09-12,Damon Hill 🇬🇧,1993
1994 Italian Grand Prix 🇮🇹,1:18:03.2,12,53,Williams 🇬🇧,1994-09-11,Damon Hill 🇬🇧,1994
1995 Italian Grand Prix 🇮🇹,1:18:27.916,12,53,Benetton 🇮🇹,1995-09-10,Johnny Herbert 🇬🇧,1995
1996 Italian Grand Prix 🇮🇹,1:17:43.632,14,53,Ferrari 🇮🇹,1996-09-08,Michael Schumacher 🇩🇪,1996
1997 Italian Grand Prix 🇮🇹,1:17:04.609,13,53,McLaren 🇬🇧,1997-09-07,David Coulthard 🇬🇧,1997
1998 Italian Grand Prix 🇮🇹,1:17:10.3,14,53,Ferrari 🇮🇹,1998-09-13,Michael Schumacher 🇩🇪,1998
1999 Italian Grand Prix 🇮🇹,1:17:02.923,13,53,Jordan 🇮🇪,1999-09-12,Heinz-Harald Frentzen 🇩🇪,1999
2000 Italian Grand Prix 🇮🇹,1:27:31.638,14,53,Ferrari 🇮🇹,2000-09-10,Michael Schumacher 🇩🇪,2000
2001 Italian Grand Prix 🇮🇹,1:16:58.493,15,53,Williams 🇬🇧,2001-09-16,Juan Pablo Montoya 🇨🇴,2001
2002 Italian Grand Prix 🇮🇹,1:16:19.982,15,53,Ferrari 🇮🇹,2002-09-15,Rubens Barrichello 🇧🇷,2002
2003 Italian Grand Prix 🇮🇹,1:14:19.838,14,53,Ferrari 🇮🇹,2003-09-14,Michael Schumacher 🇩🇪,2003
2004 Italian Grand Prix 🇮🇹,1:15:18.448,15,53,Ferrari 🇮🇹,2004-09-12,Rubens Barrichello 🇧🇷,2004
2005 Italian Grand Prix 🇮🇹,1:14:28.659,15,53,McLaren 🇬🇧,2005-09-04,Juan Pablo Montoya 🇨🇴,2005
2006 Italian Grand Prix 🇮🇹,1:14:51.975,15,53,Ferrari 🇮🇹,2006-09-10,Michael Schumacher 🇩🇪,2006
2007 Italian Grand Prix 🇮🇹,1:18:37.806,13,53,McLaren 🇬🇧,2007-09-09,Fernando Alonso 🇪🇸,2007
2008 Italian Grand Prix 🇮🇹,1:26:47.494,14,53,Toro Rosso 🇮🇹,2008-09-14,Sebastian Vettel 🇩🇪,2008
2009 Italian Grand Prix 🇮🇹,1:16:21.706,13,53,Brawn 🇬🇧,2009-09-13,Rubens Barrichello 🇧🇷,2009
2010 Italian Grand Prix 🇮🇹,1:16:24.572,14,53,Ferrari 🇮🇹,2010-09-12,Fernando Alonso 🇪🇸,2010
2011 Italian Grand Prix 🇮🇹,1:20:46.172,13,53,Red Bull 🇦🇹,2011-09-11,Sebastian Vettel 🇩🇪,2011
2012 Italian Grand Prix 🇮🇹,1:19:41.221,13,53,McLaren 🇬🇧,2012-09-09,Lewis Hamilton 🇬🇧,2012
2013 Italian Grand Prix 🇮🇹,1:18:33.352,12,53,Red Bull 🇦🇹,2013-09-08,Sebastian Vettel 🇩🇪,2013
2014 Italian Grand Prix 🇮🇹,1:19:10.236,13,53,Mercedes 🇩🇪,2014-09-07,Lewis Hamilton 🇬🇧,2014
2015 Italian Grand Prix 🇮🇹,1:18:00.688,12,53,Mercedes 🇩🇪,2015-09-06,Lewis Hamilton 🇬🇧,2015
2016 Italian Grand Prix 🇮🇹,1:17:28.089,14,53,Mercedes 🇩🇪,2016-09-04,Nico Rosberg 🇩🇪,2016
2017 Italian Grand Prix 🇮🇹,,13,,,2017-09-03,,2017
