raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
199101,United States Grand Prix,1,us,1991,1991-03-10T00:00:00.000Z,phoenix,,🇺🇸,USA
199102,Brazilian Grand Prix,2,br,1991,1991-03-24T00:00:00.000Z,interlagos,,🇧🇷,Brazil
199103,San Marino Grand Prix,3,it,1991,1991-04-28T00:00:00.000Z,imola,,🇮🇹,Italy
199104,Monaco Grand Prix,4,mc,1991,1991-05-12T00:00:00.000Z,monaco,,🇲🇨,Monaco
199105,Canadian Grand Prix,5,ca,1991,1991-06-02T00:00:00.000Z,villeneuve,,🇨🇦,Canada
199106,Mexican Grand Prix,6,mx,1991,1991-06-16T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
199107,French Grand Prix,7,fr,1991,1991-07-07T00:00:00.000Z,magny_cours,,🇫🇷,France
199108,British Grand Prix,8,gb,1991,1991-07-14T00:00:00.000Z,silverstone,,🇬🇧,UK
199109,German Grand Prix,9,de,1991,1991-07-28T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
199110,Hungarian Grand Prix,10,hu,1991,1991-08-11T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
199111,Belgian Grand Prix,11,be,1991,1991-08-25T00:00:00.000Z,spa,,🇧🇪,Belgium
199112,Italian Grand Prix,12,it,1991,1991-09-08T00:00:00.000Z,monza,,🇮🇹,Italy
199113,Portuguese Grand Prix,13,pt,1991,1991-09-22T00:00:00.000Z,estoril,,🇵🇹,Portugal
199114,Spanish Grand Prix,14,es,1991,1991-09-29T00:00:00.000Z,catalunya,,🇪🇸,Spain
199115,Japanese Grand Prix,15,jp,1991,1991-10-20T00:00:00.000Z,suzuka,,🇯🇵,Japan
199116,Australian Grand Prix,16,au,1991,1991-11-03T00:00:00.000Z,adelaide,,🇦🇺,Australia
