name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2013 Bahrain Grand Prix 🇧🇭,4,12,57,Red Bull 🇦🇹,2013-04-21,6,+35.998,2013,Sebastian Vettel 🇩🇪
2013 Belgian Grand Prix 🇧🇪,11,13,44,Red Bull 🇦🇹,2013-08-25,11,+1:21.936,2013,Sebastian Vettel 🇩🇪
2013 Brazilian Grand Prix 🇧🇷,19,19,71,Red Bull 🇦🇹,2013-11-24,6,+44.051,2013,Sebastian Vettel 🇩🇪
2013 British Grand Prix 🇬🇧,8,13,46,Mercedes 🇩🇪,2013-06-30,20,,2013,Nico Rosberg 🇩🇪
2013 Canadian Grand Prix 🇨🇦,7,12,69,Red Bull 🇦🇹,2013-06-09,11,,2013,Sebastian Vettel 🇩🇪
2013 Chinese Grand Prix 🇨🇳,3,12,56,Ferrari 🇮🇹,2013-04-14,11,+1:03.860,2013,Fernando Alonso 🇪🇸
2013 German Grand Prix 🇩🇪,9,13,60,Red Bull 🇦🇹,2013-07-07,8,+38.306,2013,Sebastian Vettel 🇩🇪
2013 Hungarian Grand Prix 🇭🇺,10,9,69,Mercedes 🇩🇪,2013-07-28,9,,2013,Lewis Hamilton 🇬🇧
2013 Indian Grand Prix 🇮🇳,16,9,60,Red Bull 🇦🇹,2013-10-27,5,+43.829,2013,Sebastian Vettel 🇩🇪
2013 Italian Grand Prix 🇮🇹,12,8,53,Red Bull 🇦🇹,2013-09-08,12,+39.765,2013,Sebastian Vettel 🇩🇪
2013 Japanese Grand Prix 🇯🇵,15,11,52,Red Bull 🇦🇹,2013-10-13,15,,2013,Sebastian Vettel 🇩🇪
2013 Korean Grand Prix 🇰🇷,14,10,55,Red Bull 🇦🇹,2013-10-06,10,+35.155,2013,Sebastian Vettel 🇩🇪
2013 Malaysian Grand Prix 🇲🇾,2,9,56,Red Bull 🇦🇹,2013-03-24,9,+1:12.357,2013,Sebastian Vettel 🇩🇪
2013 Monaco Grand Prix 🇲🇨,6,7,72,Mercedes 🇩🇪,2013-05-26,16,,2013,Nico Rosberg 🇩🇪
2013 Singapore Grand Prix 🇸🇬,13,14,61,Red Bull 🇦🇹,2013-09-22,8,+1:23.820,2013,Sebastian Vettel 🇩🇪
