participations,name,points,races_finished,did_not_start,podiums,championships,poles,seasons,subchampionships,top_ten,flag,wins,finished_in_points,did_not_finish,country
112,Romain Grosjean,326.0,81,0,10,0,0,7,0,44,🇫🇷,0,44,31,France
117,Daniel Ricciardo,708.0,103,1,22,0,1,7,0,68,🇦🇺,5,68,13,Australia
123,Sergio Pérez,411.0,107,0,7,0,0,7,0,69,🇲🇽,0,69,16,Mexico
125,Nico Hülkenberg,380.0,103,0,0,0,1,7,0,70,🇩🇪,0,70,22,Germany
17,Esteban Ocon,35.0,17,0,0,0,0,2,0,7,🇫🇷,0,7,0,France
187,Sebastian Vettel,2261.0,161,0,92,4,47,11,1,150,🇩🇪,45,149,26,Germany
196,Lewis Hamilton,2386.0,173,0,109,3,66,11,2,163,🇬🇧,56,160,23,UK
2,Antonio Giovinazzi,0.0,1,0,0,0,0,1,0,0,🇮🇹,0,0,1,Italy
260,Felipe Massa,1144.0,218,1,41,0,16,15,1,178,🇧🇷,11,156,41,Brazil
261,Kimi Räikkönen,1433.0,205,0,86,1,17,15,2,189,🇫🇮,20,177,56,Finland
27,Pascal Wehrlein,6.0,21,0,0,0,0,2,0,3,🇩🇪,0,3,6,Germany
281,Fernando Alonso,1834.0,232,0,97,2,22,16,3,196,🇪🇸,32,189,49,Spain
29,Jolyon Palmer,1.0,20,0,0,0,0,2,0,1,🇬🇧,0,1,9,UK
309,Jenson Button,1235.0,242,0,50,1,8,18,1,180,🇬🇧,15,162,67,UK
48,Max Verstappen,298.0,37,1,8,0,0,3,0,31,🇳🇱,1,31,10,Netherlands
48,Carlos Sainz,93.0,35,0,0,0,0,3,0,23,🇪🇸,0,23,13,Spain
49,Kevin Magnussen,73.0,41,0,1,0,0,4,0,17,🇩🇰,0,17,8,Denmark
64,Marcus Ericsson,9.0,48,0,0,0,0,4,0,5,🇸🇪,0,5,16,Sweden
67,Daniil Kvyat,132.0,50,0,2,0,0,4,0,26,🇷🇺,0,26,17,Russia
8,Lance Stroll,17.0,5,0,1,0,0,1,0,2,🇨🇦,0,2,3,Canada
86,Valtteri Bottas,522.0,78,1,14,0,1,5,0,53,🇫🇮,1,53,7,Finland
9,Stoffel Vandoorne,1.0,5,0,0,0,0,2,0,1,🇧🇪,0,1,4,Belgium
