raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198701,Brazilian Grand Prix,1,br,1987,1987-04-12T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
198702,San Marino Grand Prix,2,it,1987,1987-05-03T00:00:00.000Z,imola,,🇮🇹,Italy
198703,Belgian Grand Prix,3,be,1987,1987-05-17T00:00:00.000Z,spa,,🇧🇪,Belgium
198704,Monaco Grand Prix,4,mc,1987,1987-05-31T00:00:00.000Z,monaco,,🇲🇨,Monaco
198705,Detroit Grand Prix,5,us,1987,1987-06-21T00:00:00.000Z,detroit,,🇺🇸,USA
198706,French Grand Prix,6,fr,1987,1987-07-05T00:00:00.000Z,ricard,,🇫🇷,France
198707,British Grand Prix,7,gb,1987,1987-07-12T00:00:00.000Z,silverstone,,🇬🇧,UK
198708,German Grand Prix,8,de,1987,1987-07-26T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198709,Hungarian Grand Prix,9,hu,1987,1987-08-09T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
198710,Austrian Grand Prix,10,at,1987,1987-08-16T00:00:00.000Z,osterreichring,,🇦🇹,Austria
198711,Italian Grand Prix,11,it,1987,1987-09-06T00:00:00.000Z,monza,,🇮🇹,Italy
198712,Portuguese Grand Prix,12,pt,1987,1987-09-20T00:00:00.000Z,estoril,,🇵🇹,Portugal
198713,Spanish Grand Prix,13,es,1987,1987-09-27T00:00:00.000Z,jerez,,🇪🇸,Spain
198714,Mexican Grand Prix,14,mx,1987,1987-10-18T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
198715,Japanese Grand Prix,15,jp,1987,1987-11-01T00:00:00.000Z,suzuka,,🇯🇵,Japan
198716,Australian Grand Prix,16,au,1987,1987-11-15T00:00:00.000Z,adelaide,,🇦🇺,Australia
