name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
2016 European Grand Prix 🇦🇿,1:32:52.366,8,51,Mercedes 🇩🇪,2016-06-19,Nico Rosberg 🇩🇪,2016
2017 Azerbaijan Grand Prix 🇦🇿,,8,,,2017-06-25,,2017
