name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1958 Portuguese Grand Prix 🇵🇹,2:11:27.80,9,50,Vanwall 🇬🇧,1958-08-24,Circuito da Boavista,Stirling Moss 🇬🇧,1958
1959 Portuguese Grand Prix 🇵🇹,2:11:55.41,7,62,Cooper-Climax 🇬🇧,1959-08-23,Monsanto Park Circuit,Stirling Moss 🇬🇧,1959
1960 Portuguese Grand Prix 🇵🇹,2:19:00.03,8,55,Cooper-Climax 🇬🇧,1960-08-14,Circuito da Boavista,Jack Brabham 🇦🇺,1960
1984 Portuguese Grand Prix 🇵🇹,1:41:11.753,16,70,McLaren 🇬🇧,1984-10-21,Autódromo do Estoril,Alain Prost 🇫🇷,1984
1985 Portuguese Grand Prix 🇵🇹,2:00:28.006,2,67,Team Lotus 🇬🇧,1985-04-21,Autódromo do Estoril,Ayrton Senna 🇧🇷,1985
1986 Portuguese Grand Prix 🇵🇹,1:37:21.900,14,70,Williams 🇬🇧,1986-09-21,Autódromo do Estoril,Nigel Mansell 🇬🇧,1986
1987 Portuguese Grand Prix 🇵🇹,1:37:03.906,12,70,McLaren 🇬🇧,1987-09-20,Autódromo do Estoril,Alain Prost 🇫🇷,1987
1988 Portuguese Grand Prix 🇵🇹,1:37:40.958,13,70,McLaren 🇬🇧,1988-09-25,Autódromo do Estoril,Alain Prost 🇫🇷,1988
1989 Portuguese Grand Prix 🇵🇹,1:36:48.546,13,71,Ferrari 🇮🇹,1989-09-24,Autódromo do Estoril,Gerhard Berger 🇦🇹,1989
1990 Portuguese Grand Prix 🇵🇹,1:22:11.014,13,61,Ferrari 🇮🇹,1990-09-23,Autódromo do Estoril,Nigel Mansell 🇬🇧,1990
1991 Portuguese Grand Prix 🇵🇹,1:35:42.304,13,71,Williams 🇬🇧,1991-09-22,Autódromo do Estoril,Riccardo Patrese 🇮🇹,1991
1992 Portuguese Grand Prix 🇵🇹,1:34:46.659,14,71,Williams 🇬🇧,1992-09-27,Autódromo do Estoril,Nigel Mansell 🇬🇧,1992
1993 Portuguese Grand Prix 🇵🇹,1:32:46.309,14,71,Benetton 🇮🇹,1993-09-26,Autódromo do Estoril,Michael Schumacher 🇩🇪,1993
1994 Portuguese Grand Prix 🇵🇹,1:45:10.1,13,71,Williams 🇬🇧,1994-09-25,Autódromo do Estoril,Damon Hill 🇬🇧,1994
1995 Portuguese Grand Prix 🇵🇹,1:41:52.145,13,71,Williams 🇬🇧,1995-09-24,Autódromo do Estoril,David Coulthard 🇬🇧,1995
1996 Portuguese Grand Prix 🇵🇹,1:40:22.915,15,70,Williams 🇬🇧,1996-09-22,Autódromo do Estoril,Jacques Villeneuve 🇨🇦,1996
