raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
196401,Monaco Grand Prix,1,mc,1964,1964-05-10T00:00:00.000Z,monaco,,🇲🇨,Monaco
196402,Dutch Grand Prix,2,nl,1964,1964-05-24T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
196403,Belgian Grand Prix,3,be,1964,1964-06-14T00:00:00.000Z,spa,,🇧🇪,Belgium
196404,French Grand Prix,4,fr,1964,1964-06-28T00:00:00.000Z,essarts,,🇫🇷,France
196405,British Grand Prix,5,gb,1964,1964-07-11T00:00:00.000Z,brands_hatch,,🇬🇧,UK
196406,German Grand Prix,6,de,1964,1964-08-02T00:00:00.000Z,nurburgring,,🇩🇪,Germany
196407,Austrian Grand Prix,7,at,1964,1964-08-23T00:00:00.000Z,zeltweg,,🇦🇹,Austria
196408,Italian Grand Prix,8,it,1964,1964-09-06T00:00:00.000Z,monza,,🇮🇹,Italy
196409,United States Grand Prix,9,us,1964,1964-10-04T00:00:00.000Z,watkins_glen,,🇺🇸,USA
196410,Mexican Grand Prix,10,mx,1964,1964-10-25T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
