name,race_duration,round,season,laps_completed
South African Grand Prix,1:38:45.082,1,1993,72
South African Grand Prix,1:36:45.320,1,1992,72
South African Grand Prix,1:28:22.866,15,1985,75
South African Grand Prix,1:29:23.430,2,1984,75
South African Grand Prix,1:33:25.708,15,1983,77
South African Grand Prix,1:32:08.401,1,1982,77
South African Grand Prix,1:36:52.54,3,1980,78
South African Grand Prix,1:41:49.96,3,1979,78
South African Grand Prix,1:42:15.767,3,1978,78
South African Grand Prix,1:42:21.6,3,1977,78
South African Grand Prix,1:42:18.4,2,1976,78
South African Grand Prix,1:43:16.90,3,1975,78
South African Grand Prix,1:42:40.96,3,1974,78
South African Grand Prix,1:43:11.07,3,1973,79
South African Grand Prix,1:45:49.1,2,1972,79
South African Grand Prix,1:47:35.5,1,1971,79
South African Grand Prix,1:49:35.4,1,1970,80
South African Grand Prix,1:50:39.1,1,1969,80
South African Grand Prix,1:53:56.6,1,1968,80
South African Grand Prix,2:05:45.9,1,1967,80
South African Grand Prix,2:06:46.0,1,1965,85
South African Grand Prix,2:10:36.9,10,1963,85
South African Grand Prix,2:08:03.3,9,1962,82
