raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
201701,Australian Grand Prix,1,au,2017,2017-03-26T00:00:00.000Z,albert_park,05:00:00,🇦🇺,Australia
201702,Chinese Grand Prix,2,cn,2017,2017-04-09T00:00:00.000Z,shanghai,06:00:00,🇨🇳,China
201703,Bahrain Grand Prix,3,bh,2017,2017-04-16T00:00:00.000Z,bahrain,15:00:00,🇧🇭,Bahrain
201704,Russian Grand Prix,4,ru,2017,2017-04-30T00:00:00.000Z,sochi,12:00:00,🇷🇺,Russia
201705,Spanish Grand Prix,5,es,2017,2017-05-14T00:00:00.000Z,catalunya,12:00:00,🇪🇸,Spain
201706,Monaco Grand Prix,6,mc,2017,2017-05-28T00:00:00.000Z,monaco,12:00:00,🇲🇨,Monaco
201707,Canadian Grand Prix,7,ca,2017,2017-06-11T00:00:00.000Z,villeneuve,18:00:00,🇨🇦,Canada
201708,Azerbaijan Grand Prix,8,az,2017,2017-06-25T00:00:00.000Z,BAK,13:00:00,🇦🇿,Azerbaijan
201709,Austrian Grand Prix,9,at,2017,2017-07-09T00:00:00.000Z,red_bull_ring,12:00:00,🇦🇹,Austria
201710,British Grand Prix,10,gb,2017,2017-07-16T00:00:00.000Z,silverstone,12:00:00,🇬🇧,UK
201711,Hungarian Grand Prix,11,hu,2017,2017-07-30T00:00:00.000Z,hungaroring,12:00:00,🇭🇺,Hungary
201712,Belgian Grand Prix,12,be,2017,2017-08-27T00:00:00.000Z,spa,12:00:00,🇧🇪,Belgium
201713,Italian Grand Prix,13,it,2017,2017-09-03T00:00:00.000Z,monza,12:00:00,🇮🇹,Italy
201714,Singapore Grand Prix,14,sg,2017,2017-09-17T00:00:00.000Z,marina_bay,12:00:00,🇸🇬,Singapore
201715,Malaysian Grand Prix,15,my,2017,2017-10-01T00:00:00.000Z,sepang,07:00:00,🇲🇾,Malaysia
201716,Japanese Grand Prix,16,jp,2017,2017-10-08T00:00:00.000Z,suzuka,05:00:00,🇯🇵,Japan
201717,United States Grand Prix,17,us,2017,2017-10-22T00:00:00.000Z,americas,19:00:00,🇺🇸,USA
201718,Mexican Grand Prix,18,mx,2017,2017-10-29T00:00:00.000Z,rodriguez,19:00:00,🇲🇽,Mexico
201719,Brazilian Grand Prix,19,br,2017,2017-11-12T00:00:00.000Z,interlagos,16:00:00,🇧🇷,Brazil
201720,Abu Dhabi Grand Prix,20,ae,2017,2017-11-26T00:00:00.000Z,yas_marina,17:00:00,🇦🇪,UAE
