position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,bira,0.0,5,fr,61,0.0,444444,888888,Prince Bira 🇹🇭,🇫🇷,France
,macklin,0.0,9,it,75,0.0,444444,888888,Lance Macklin 🇬🇧,🇮🇹,Italy
,claes,0.0,9,it,53,0.0,444444,888888,Johnny Claes 🇧🇪,🇮🇹,Italy
,fitch,0.0,9,it,104,0.0,444444,888888,John Fitch 🇺🇸,🇮🇹,Italy
,bayol,0.0,9,it,83,0.0,444444,888888,Élie Bayol 🇫🇷,🇮🇹,Italy
,landi,0.0,9,it,71,0.0,444444,C0BEC3,Chico Landi 🇧🇷,🇮🇹,Italy
,salvadori,0.0,9,it,81,0.0,444444,888888,Roy Salvadori 🇬🇧,🇮🇹,Italy
,carini,0.0,9,it,97,0.0,16191A,EB212E,Piero Carini 🇮🇹,🇮🇹,Italy
,mcalpine,0.0,9,it,57,0.0,444444,888888,Kenneth McAlpine 🇬🇧,🇮🇹,Italy
,manzon,0.0,1,ar,11,0.0,444444,888888,Robert Manzon 🇫🇷,🇦🇷,Argentina
,fangio,0.0,1,ar,12,0.0,444444,C0BEC3,Juan Fangio 🇦🇷,🇦🇷,Argentina
,bonetto,0.0,1,ar,13,0.0,444444,C0BEC3,Felice Bonetto 🇮🇹,🇦🇷,Argentina
,farina,0.0,1,ar,14,0.0,16191A,EB212E,Nino Farina 🇮🇹,🇦🇷,Argentina
,birger,0.0,1,ar,16,0.0,444444,888888,Pablo Birger 🇦🇷,🇦🇷,Argentina
,cruz,0.0,1,ar,17,0.0,444444,273027,Adolfo Cruz 🇦🇷,🇦🇷,Argentina
,wharton,0.0,9,it,26,0.0,444444,273027,Ken Wharton 🇬🇧,🇮🇹,Italy
,fairman,0.0,9,it,79,0.0,444444,888888,Jack Fairman 🇬🇧,🇮🇹,Italy
,graffenried,0.0,9,it,8,7.0,444444,C0BEC3,Toulo de Graffenried 🇨🇭,🇮🇹,Italy
,marimon,0.0,9,it,11,4.0,444444,C0BEC3,Onofre Marimón 🇦🇷,🇮🇹,Italy
,bonetto,0.0,9,it,9,6.5,444444,C0BEC3,Felice Bonetto 🇮🇹,🇮🇹,Italy
,ascari,0.0,9,it,1,34.5,16191A,EB212E,Alberto Ascari 🇮🇹,🇮🇹,Italy
,fangio,0.0,8,ch,3,20.5,444444,C0BEC3,Juan Fangio 🇦🇷,🇨🇭,Switzerland
,rosier,0.0,8,ch,24,0.0,16191A,EB212E,Louis Rosier 🇫🇷,🇨🇭,Switzerland
,swaters,0.0,8,ch,28,0.0,16191A,EB212E,Jacques Swaters 🇺🇸,🇨🇭,Switzerland
,frere,0.0,8,ch,42,0.0,444444,888888,Paul Frère 🇧🇪,🇨🇭,Switzerland
,hirt,0.0,8,ch,76,0.0,16191A,EB212E,Peter Hirt 🇨🇭,🇨🇭,Switzerland
,macklin,0.0,8,ch,70,0.0,444444,888888,Lance Macklin 🇬🇧,🇨🇭,Switzerland
,bonetto,0.0,8,ch,9,6.5,444444,C0BEC3,Felice Bonetto 🇮🇹,🇨🇭,Switzerland
,behra,0.0,8,ch,21,0.0,444444,888888,Jean Behra 🇫🇷,🇨🇭,Switzerland
,trintignant,0.0,8,ch,14,2.0,444444,888888,Maurice Trintignant 🇫🇷,🇨🇭,Switzerland
,marimon,0.0,8,ch,11,4.0,444444,C0BEC3,Onofre Marimón 🇦🇷,🇨🇭,Switzerland
,graffenried,0.0,8,ch,8,7.0,444444,C0BEC3,Toulo de Graffenried 🇨🇭,🇨🇭,Switzerland
,landi,0.0,8,ch,66,0.0,444444,C0BEC3,Chico Landi 🇧🇷,🇨🇭,Switzerland
,teague,0.0,2,us,44,0.0,444444,D33949,Marshall Teague 🇺🇸,🇺🇸,USA
,webb,0.0,2,us,47,0.0,444444,D33949,Travis Webb 🇺🇸,🇺🇸,USA
,sweikert,0.0,2,us,48,0.0,444444,C4333B,Bob Sweikert 🇺🇸,🇺🇸,USA
,nazaruk,0.0,2,us,49,0.0,444444,888888,Mike Nazaruk 🇺🇸,🇺🇸,USA
,flaherty,0.0,2,us,50,0.0,444444,C4333B,Pat Flaherty 🇺🇸,🇺🇸,USA
,hoyt,0.0,2,us,51,0.0,444444,D33949,Jerry Hoyt 🇺🇸,🇺🇸,USA
,darter,0.0,2,us,7,2.0,444444,888888,Duane Carter 🇺🇸,🇺🇸,USA
,paul_russo,0.0,2,us,11,1.5,444444,D33949,Paul Russo 🇺🇸,🇺🇸,USA
,parsons,0.0,2,us,52,0.0,444444,D33949,Johnnie Parsons 🇺🇸,🇺🇸,USA
,freeland,0.0,2,us,53,0.0,444444,FC8881,Don Freeland 🇺🇸,🇺🇸,USA
,hartley,0.0,2,us,22,0.0,444444,D33949,Gene Hartley 🇺🇸,🇺🇸,USA
,stevenson,0.0,2,us,21,0.0,444444,C4333B,Chuck Stevenson 🇺🇸,🇺🇸,USA
,niday,0.0,2,us,54,0.0,444444,D33949,Cal Niday 🇺🇸,🇺🇸,USA
,bob_scott,0.0,2,us,27,0.0,444444,888888,Bob Scott 🇺🇸,🇺🇸,USA
,thomson,0.0,2,us,45,0.0,444444,888888,Johnny Thomson 🇺🇸,🇺🇸,USA
,linden,0.0,2,us,32,0.0,444444,888888,Andy Linden 🇺🇸,🇺🇸,USA
,ascari,1.0,7,de,1,33.5,16191A,EB212E,Alberto Ascari 🇮🇹,🇩🇪,Germany
,loof,0.0,7,de,98,0.0,444444,888888,Ernst Loof 🇩🇪,🇩🇪,Germany
,hans_stuck,0.0,7,de,97,0.0,444444,888888,Hans von Stuck 🇩🇪,🇩🇪,Germany
,bauer,0.0,7,de,96,0.0,444444,888888,Erwin Bauer 🇩🇪,🇩🇪,Germany
,salvadori,0.0,7,de,72,0.0,444444,888888,Roy Salvadori 🇬🇧,🇩🇪,Germany
,trintignant,0.0,7,de,14,2.0,444444,888888,Maurice Trintignant 🇫🇷,🇩🇪,Germany
,bechem,0.0,7,de,94,0.0,444444,888888,Günther Bechem 🇩🇪,🇩🇪,Germany
,adolff,0.0,7,de,93,0.0,16191A,EB212E,Kurt Adolff 🇩🇪,🇩🇪,Germany
,fitzau,0.0,7,de,91,0.0,444444,888888,Theo Fitzau 🇩🇪,🇩🇪,Germany
,bira,0.0,7,de,25,0.0,444444,888888,Prince Bira 🇹🇭,🇩🇪,Germany
,thomson,0.0,2,us,45,0.0,444444,D33949,Johnny Thomson 🇺🇸,🇺🇸,USA
,holmes,0.0,2,us,46,0.0,444444,D33949,Jackie Holmes 🇺🇸,🇺🇸,USA
,stevenson,0.0,2,us,21,0.0,444444,D33949,Chuck Stevenson 🇺🇸,🇺🇸,USA
,linden,0.0,2,us,32,0.0,444444,D33949,Andy Linden 🇺🇸,🇺🇸,USA
,schell,0.0,7,de,22,0.0,444444,888888,Harry Schell 🇺🇸,🇩🇪,Germany
,behra,0.0,7,de,20,0.0,444444,888888,Jean Behra 🇫🇷,🇩🇪,Germany
,heeks,0.0,7,de,86,0.0,444444,888888,Willi Heeks 🇩🇪,🇩🇪,Germany
,karch,0.0,7,de,84,0.0,444444,888888,Oswald Karch 🇩🇪,🇩🇪,Germany
,claes,0.0,7,de,45,0.0,444444,888888,Johnny Claes 🇧🇪,🇩🇪,Germany
,barth,0.0,7,de,79,0.0,444444,888888,Edgar Barth 🇩🇪,🇩🇪,Germany
,marimon,0.0,7,de,11,4.0,444444,C0BEC3,Onofre Marimón 🇦🇷,🇩🇪,Germany
,alan_brown,0.0,7,de,32,0.0,444444,273027,Alan Brown 🇬🇧,🇩🇪,Germany
,villoresi,0.0,7,de,6,13.0,16191A,EB212E,Luigi Villoresi 🇮🇹,🇩🇪,Germany
,villoresi,1.0,3,nl,3,7.0,16191A,EB212E,Luigi Villoresi 🇮🇹,🇳🇱,Netherlands
,mcalpine,0.0,3,nl,45,0.0,444444,888888,Kenneth McAlpine 🇬🇧,🇳🇱,Netherlands
,schell,0.0,3,nl,20,0.0,444444,888888,Harry Schell 🇺🇸,🇳🇱,Netherlands
