name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1984 Portuguese Grand Prix 🇵🇹,1:41:11.753,16,70,McLaren 🇬🇧,1984-10-21T00:00:00.000Z,Alain Prost 🇫🇷,1984
1985 Portuguese Grand Prix 🇵🇹,2:00:28.006,2,67,Team Lotus 🇬🇧,1985-04-21T00:00:00.000Z,Ayrton Senna 🇧🇷,1985
1986 Portuguese Grand Prix 🇵🇹,1:37:21.900,14,70,Williams 🇬🇧,1986-09-21T00:00:00.000Z,Nigel Mansell 🇬🇧,1986
1987 Portuguese Grand Prix 🇵🇹,1:37:03.906,12,70,McLaren 🇬🇧,1987-09-20T00:00:00.000Z,Alain Prost 🇫🇷,1987
1988 Portuguese Grand Prix 🇵🇹,1:37:40.958,13,70,McLaren 🇬🇧,1988-09-25T00:00:00.000Z,Alain Prost 🇫🇷,1988
1989 Portuguese Grand Prix 🇵🇹,1:36:48.546,13,71,Ferrari 🇮🇹,1989-09-24T00:00:00.000Z,Gerhard Berger 🇦🇹,1989
1990 Portuguese Grand Prix 🇵🇹,1:22:11.014,13,61,Ferrari 🇮🇹,1990-09-23T00:00:00.000Z,Nigel Mansell 🇬🇧,1990
1991 Portuguese Grand Prix 🇵🇹,1:35:42.304,13,71,Williams 🇬🇧,1991-09-22T00:00:00.000Z,Riccardo Patrese 🇮🇹,1991
1992 Portuguese Grand Prix 🇵🇹,1:34:46.659,14,71,Williams 🇬🇧,1992-09-27T00:00:00.000Z,Nigel Mansell 🇬🇧,1992
1993 Portuguese Grand Prix 🇵🇹,1:32:46.309,14,71,Benetton 🇮🇹,1993-09-26T00:00:00.000Z,Michael Schumacher 🇩🇪,1993
1994 Portuguese Grand Prix 🇵🇹,1:45:10.1,13,71,Williams 🇬🇧,1994-09-25T00:00:00.000Z,Damon Hill 🇬🇧,1994
1995 Portuguese Grand Prix 🇵🇹,1:41:52.145,13,71,Williams 🇬🇧,1995-09-24T00:00:00.000Z,David Coulthard 🇬🇧,1995
1996 Portuguese Grand Prix 🇵🇹,1:40:22.915,15,70,Williams 🇬🇧,1996-09-22T00:00:00.000Z,Jacques Villeneuve 🇨🇦,1996
