raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
196501,South African Grand Prix,1,za,1965,1965-01-01T00:00:00.000Z,george,,🇿🇦,South Africa
196502,Monaco Grand Prix,2,mc,1965,1965-05-30T00:00:00.000Z,monaco,,🇲🇨,Monaco
196503,Belgian Grand Prix,3,be,1965,1965-06-13T00:00:00.000Z,spa,,🇧🇪,Belgium
196504,French Grand Prix,4,fr,1965,1965-06-27T00:00:00.000Z,charade,,🇫🇷,France
196505,British Grand Prix,5,gb,1965,1965-07-10T00:00:00.000Z,silverstone,,🇬🇧,UK
196506,Dutch Grand Prix,6,nl,1965,1965-07-18T00:00:00.000Z,zandvoort,,🇳🇱,Netherlands
196507,German Grand Prix,7,de,1965,1965-08-01T00:00:00.000Z,nurburgring,,🇩🇪,Germany
196508,Italian Grand Prix,8,it,1965,1965-09-12T00:00:00.000Z,monza,,🇮🇹,Italy
196509,United States Grand Prix,9,us,1965,1965-10-03T00:00:00.000Z,watkins_glen,,🇺🇸,USA
196510,Mexican Grand Prix,10,mx,1965,1965-10-24T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
