position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,jack_brabham,0.0,4,fr,20,0.0,444444,273027,Jack Brabham 🇦🇺,🇫🇷,France
,piotti,0.0,8,it,36,0.0,444444,C0BEC3,Luigi Piotti 🇮🇹,🇮🇹,Italy
,bonnier,0.0,8,it,27,0.0,444444,C0BEC3,Jo Bonnier 🇸🇪,🇮🇹,Italy
,schell,0.0,8,it,7,10.0,444444,C0BEC3,Harry Schell 🇺🇸,🇮🇹,Italy
,halford,0.0,8,it,38,0.0,444444,C0BEC3,Bruce Halford 🇬🇧,🇮🇹,Italy
,behra,0.0,8,it,11,6.0,444444,C0BEC3,Jean Behra 🇫🇷,🇮🇹,Italy
,lewis-evans,0.0,8,it,12,5.0,444444,336667,Stuart Lewis-Evans 🇬🇧,🇮🇹,Italy
,collins,0.0,8,it,9,8.0,16191A,EB212E,Peter Collins 🇬🇧,🇮🇹,Italy
,piotti,0.0,7,it,34,0.0,444444,C0BEC3,Luigi Piotti 🇮🇹,🇮🇹,Italy
,gould,0.0,7,it,52,0.0,444444,C0BEC3,Horace Gould 🇬🇧,🇮🇹,Italy
,castellotti,0.0,1,ar,14,0.0,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇦🇷,Argentina
,hawthorn,0.0,1,ar,15,0.0,16191A,EB212E,Mike Hawthorn 🇬🇧,🇦🇷,Argentina
,musso,0.0,1,ar,16,0.0,16191A,EB212E,Luigi Musso 🇮🇹,🇦🇷,Argentina
,brooks,0.0,7,it,5,10.0,444444,336667,Tony Brooks 🇬🇧,🇮🇹,Italy
,salvadori,0.0,7,it,17,2.0,444444,273027,Roy Salvadori 🇬🇧,🇮🇹,Italy
,behra,0.0,7,it,11,6.0,444444,C0BEC3,Jean Behra 🇫🇷,🇮🇹,Italy
,bonnier,0.0,7,it,27,0.0,444444,C0BEC3,Jo Bonnier 🇸🇪,🇮🇹,Italy
,halford,0.0,7,it,36,0.0,444444,C0BEC3,Bruce Halford 🇬🇧,🇮🇹,Italy
,godia,0.0,7,it,49,0.0,444444,C0BEC3,Paco Godia 🇪🇸,🇮🇹,Italy
