name,race_duration,round,laps_completed,winning_constructor,date,winning_driver,season
1950 French Grand Prix 🇫🇷,2:57:52.8,6,64,Alfa Romeo 🇮🇹,1950-07-02T00:00:00.000Z,Juan Fangio 🇦🇷,1950
1951 French Grand Prix 🇫🇷,3:22:11.0,4,77,Alfa Romeo 🇮🇹,1951-07-01T00:00:00.000Z,Juan Fangio 🇦🇷,1951
1953 French Grand Prix 🇫🇷,2:44:18.6,5,60,Ferrari 🇮🇹,1953-07-05T00:00:00.000Z,Mike Hawthorn 🇬🇧,1953
1954 French Grand Prix 🇫🇷,2:42:47.9,4,61,Mercedes 🇩🇪,1954-07-04T00:00:00.000Z,Juan Fangio 🇦🇷,1954
1956 French Grand Prix 🇫🇷,2:34:23.4,5,61,Ferrari 🇮🇹,1956-07-01T00:00:00.000Z,Peter Collins 🇬🇧,1956
1958 French Grand Prix 🇫🇷,2:03:21.3,6,50,Ferrari 🇮🇹,1958-07-06T00:00:00.000Z,Mike Hawthorn 🇬🇧,1958
1959 French Grand Prix 🇫🇷,2:01:26.5,4,50,Ferrari 🇮🇹,1959-07-05T00:00:00.000Z,Tony Brooks 🇬🇧,1959
1960 French Grand Prix 🇫🇷,1:57:24.9,6,50,Cooper-Climax 🇬🇧,1960-07-03T00:00:00.000Z,Jack Brabham 🇦🇺,1960
1961 French Grand Prix 🇫🇷,2:14:17.5,4,52,Ferrari 🇮🇹,1961-07-02T00:00:00.000Z,Giancarlo Baghetti 🇮🇹,1961
1963 French Grand Prix 🇫🇷,2:10:54.3,4,53,Lotus-Climax 🇬🇧,1963-06-30T00:00:00.000Z,Jim Clark 🇬🇧,1963
1966 French Grand Prix 🇫🇷,1:48:31.3,3,48,Brabham-Repco 🇬🇧,1966-07-03T00:00:00.000Z,Jack Brabham 🇦🇺,1966
